15-163701,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59779223.jpg?fitin=700:700,61600.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーYAM エクシーガ 2.5 NA 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
YA5 エクシーガ 2.0 ターボボディ型式 ： DBA-YA5エンジン型式 ： EJ20年式 ： H22.08～ YA9 エクシーガ 2.5 NAボディ型式 ： DBA-YA9エンジン型式 ： EJ25年式 ： H21.12～H24.07 YA4 エクシーガ 2.0 NA 2WDボディ型式 ： DBA-YA4エンジン型式 ： EJ20年式 ： H20.06～H24.07 YAM エクシーガ 2.5 NA 4WDボディ型式 ： DBA-YAMエンジン型式 ： FB25年式 ： H24.07～ 
<BR><BR>
特記事項

リヤバンパースカート（スタンダード）「E5617YC000##」装着車共通",FGK（フジツボ）オーソライズＳマフラーYAM エクシーガ 2.5 NA 4WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーYAM エクシーガ 2.5 NA 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーYAM エクシーガ 2.5 NA 4WD[rn]
15-163722,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59417134.jpg?fitin=700:700,25088.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーL375S タント カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
<BR>L575A ピクシス スペース カスタム ターボ 2WDボディ型式 ： CBA-L575Aエンジン型式 ： KF年式 ： H23.09～H24.04 L455F ルクラ カスタム ターボ 2WDボディ型式 ： CBA-L455Fエンジン型式 ： KF-DET,KF年式 ： H22.04～H24.05 L375S タント カスタム NA 2WDボディ型式 ： DBA-L375Sエンジン型式 ： KF-VE年式 ： H19.12～H23.06 L455S タント エグゼ カスタム ターボ 2WDボディ型式 ： CBA-L455Sエンジン型式 ： KF-DET,KF年式 ： H21.12～H24.05 L375S タント カスタム ターボ 2WDボディ型式 ： CBA,DBA-L375Sエンジン型式 ： KF-DET,KF年式 ： H19.12～ L175S ムーヴ カスタム ターボ 2WDボディ型式 ： CBA-L175Sエンジン型式 ： KF-DET年式 ： H18.10～H22.12 L175S ムーヴ カスタム ＮＡ 2WDボディ型式 ： DBA-L175Sエンジン型式 ： KF-VE年式 ： H18.10～H22.12 L575S ムーヴ コンテ カスタム ターボ 2WDボディ型式 ： CBA-L575Sエンジン型式 ： KF-DET,KF年式 ： H20.08～H24.04 L575S ムーヴ コンテ カスタム NA 2WDボディ型式 ： DBA-L575Sエンジン型式 ： KF-VE年式 ： H20.08～H23.06<BR><BR>特記事項

<BR>

CVT車、AT車共通、カスタム専用",FGK（フジツボ）オーソライズKマフラーL375S タント カスタム ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーL375S タント カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーL375S タント カスタム ターボ 2WD[rn]
15-163723,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/imgrc0062315247.jpg?fitin=700:700,30688.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーMR31S ハスラー ターボ 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"MR31S ハスラー ターボ 2WD
    ボディ型式 ： DBA-MR31S
    エンジン型式 ： R06A
    年式 ： H26.01～ 

MR31S ハスラー ターボ 4WD
    ボディ型式 ： DBA-MR31S
    エンジン型式 ： R06A
    年式 ： H26.01～ 

特記事項 ※単品写真は類似品のものです
※詳細データは2WDのものです",FGK（フジツボ）オーソライズKマフラーMR31S ハスラー ターボ 4WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーMR31S ハスラー ターボ 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーMR31S ハスラー ターボ 4WD[rn]
15-163724,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/imgrc0062315247.jpg?fitin=700:700,30688.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーMR31S ハスラー ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"MR31S ハスラー ターボ 2WD
    ボディ型式 ： DBA-MR31S
    エンジン型式 ： R06A
    年式 ： H26.01～ 

MR31S ハスラー ターボ 4WD
    ボディ型式 ： DBA-MR31S
    エンジン型式 ： R06A
    年式 ： H26.01～ 

特記事項 ※単品写真は類似品のものです
※詳細データは2WDのものです",FGK（フジツボ）オーソライズKマフラーMR31S ハスラー ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーMR31S ハスラー ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーMR31S ハスラー ターボ 2WD[rn]
15-163725,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59779223.jpg?fitin=700:700,61600.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーYA9 エクシーガ 2.5 NA,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
YA5 エクシーガ 2.0 ターボボディ型式 ： DBA-YA5エンジン型式 ： EJ20年式 ： H22.08～ YA9 エクシーガ 2.5 NAボディ型式 ： DBA-YA9エンジン型式 ： EJ25年式 ： H21.12～H24.07 YA4 エクシーガ 2.0 NA 2WDボディ型式 ： DBA-YA4エンジン型式 ： EJ20年式 ： H20.06～H24.07 YAM エクシーガ 2.5 NA 4WDボディ型式 ： DBA-YAMエンジン型式 ： FB25年式 ： H24.07～ 
<BR><BR>
特記事項

リヤバンパースカート（スタンダード）「E5617YC000##」装着車共通",FGK（フジツボ）オーソライズＳマフラーYA9 エクシーガ 2.5 NA：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーYA9 エクシーガ 2.5 NA,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーYA9 エクシーガ 2.5 NA[rn]
15-163726,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59417138.jpg?fitin=700:700,30800.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーL455S タント エグゼ カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"L275S ミラ カスタム NA 2WD
L275S ミラ カスタム ターボ 2WD
L175S ムーヴ カスタム ターボ 2WD
L175S ムーヴ カスタム ＮＡ 2WD
L375S タント カスタム NA 2WD
L575S ムーヴ コンテ カスタム NA 2WD
L575S ムーヴ コンテ カスタム ターボ 2WD
L375S タント カスタム ターボ 2WD
L675S ミラ ココア NA 2WD
L455S タント エグゼ カスタム ターボ 2WD
L455F ルクラ カスタム ターボ 2WD
L575A ピクシス スペース カスタム ターボ 2WD

特記事項

CVT車、AT車共通、カスタム専用 
マッドガード（カスタム用・リア）装着車共通",FGK（フジツボ）オーソライズKマフラーL455S タント エグゼ カスタム ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーL455S タント エグゼ カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーL455S タント エグゼ カスタム ターボ 2WD[rn]
15-163727,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58483151.jpg?fitin=700:700,61600.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーYA9 エクシーガ 2.5 NA,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>
YA5 エクシーガ 2.0 ターボボディ型式 ： DBA-YA5エンジン型式 ： EJ20年式 ： H22.08～ 
<BR>YA9 エクシーガ 2.5 NAボディ型式 ： DBA-YA9エンジン型式 ： EJ25年式 ： H21.12～ 
<BR>YA4 エクシーガ 2.0 NA 2WDボディ型式 ： DBA-YA4エンジン型式 ： EJ20年式 ： H20.06～ 

<BR><BR>
リヤバンパースカート（スタンダード）<BR>「E5617YC000##」装着車共通",FGK（フジツボ）オーソライズＳマフラーYA9 エクシーガ 2.5 NA：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーYA9 エクシーガ 2.5 NA,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーYA9 エクシーガ 2.5 NA[rn]
15-163728,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59542673.jpg?fitin=700:700,30688.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーMH23S ワゴンR スティングレー NA 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"HE22S アルト ラパン NA 2WDボディ型式 ： DBA-HE22Sエンジン型式 ： K6A年式 ： H20.11～ MH23S ワゴンR NA 2WDボディ型式 ： DBA-MH23Sエンジン型式 ： K6A年式 ： H20.09～ MH23S ワゴンR スティングレー NA 2WDボディ型式 ： DBA-MH23Sエンジン型式 ： K6A年式 ： H20.09～ 

<BR>

特記事項
AT/CVT/MT共通 
ワゴンR：FX・FXアイドリングストップ・スティングレーX・スティングレーリミテッド グレード共通 
ラパン：G・X グレード共通",FGK（フジツボ）オーソライズKマフラーMH23S ワゴンR スティングレー NA 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーMH23S ワゴンR スティングレー NA 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーMH23S ワゴンR スティングレー NA 2WD[rn]
15-163729,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58720598.jpg?fitin=700:700,86800.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーZ34 フェアレディZ,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR><BR>
Z34 フェアレディZボディ型式 ： CBA-Z34エンジン型式 ： VQ37VHR年式 ： H20.12～ <BR><BR>

特記事項

<BR>

<BR>
備考
<BR><BR>
規定の回転数に達しない為、近接排気騒音は4450rpmにて測定",FGK（フジツボ）オーソライズＲマフラーZ34 フェアレディZ：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーZ34 フェアレディZ,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーZ34 フェアレディZ[rn]
15-163730,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58634342.jpg?fitin=700:700,30800.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーVY12 ADエキスパート 1.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"VY12 ADエキスパート 1.5 2WDボディ型式 ： DBF-VY12エンジン型式 ： HR15DE年式 ： H19.01～ 

<BR><BR>
VY12 ADバン 1.5 2WDボディ型式 ： DBF-VY12エンジン型式 ： HR15DE年式 ： H19.01～",FGK（フジツボ）オーソライズＳマフラーVY12 ADエキスパート 1.5 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーVY12 ADエキスパート 1.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーVY12 ADエキスパート 1.5 2WD[rn]
15-163731,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59275944.jpg?fitin=700:700,35280.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーSJ5 フォレスター 2.0 NA,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>
SJ5 フォレスター 2.0 NAボディ型式 ： DBA-SJ5エンジン型式 ： FB20年式 ： H24.11～ 

<BR><BR>
特記事項

<BR>
CVT車専用",FGK（フジツボ）オーソライズＳマフラーSJ5 フォレスター 2.0 NA：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーSJ5 フォレスター 2.0 NA,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーSJ5 フォレスター 2.0 NA[rn]
15-163732,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/imgrc0061980794.jpg?fitin=700:700,32480.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲMマフラー JG1 N-ONE ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR>
JG1 N-ONE ターボ 2WD
    ボディ型式 ： DBA-JG1
    エンジン型式 ： S07A
    年式 ： H24.11～ 



<BR>特記事項 プレミアムツアラー2WD 共通。
N-ONE OWNER`S CUP 認定部品。
備考 規定の回転数に達しない為、近接排気騒音は4000rpmにて測定。
N-ONE OWNER`S CUP に参加(サーキット走行)される方は保証対象外となります。",FGK（フジツボ）オーソライズＲMマフラー JG1 N-ONE ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲMマフラー JG1 N-ONE ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲMマフラー JG1 N-ONE ターボ 2WD[rn]
15-163733,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58637834.jpg?fitin=700:700,34720.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーCWEFWN ラフェスタ ハイウェイスター 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"CWEFWN ラフェスタ ハイウェイスター 2WDボディ型式 ： DBA-CWEFWNエンジン型式 ： LF-VD,LF-VDS年式 ： H23.06～ 

<BR><BR>


<BR>特記事項

<BR>アイドリングストップシステム装備車(LF-VDS) 共通",FGK（フジツボ）オーソライズＳマフラーCWEFWN ラフェスタ ハイウェイスター 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーCWEFWN ラフェスタ ハイウェイスター 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーCWEFWN ラフェスタ ハイウェイスター 2WD[rn]
15-163734,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59305807.jpg?fitin=700:700,33600.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーH92W オッティ NA 4WD マイナー後,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
<BR>H92W オッティ NA 2WDボディ型式 ： DBA-H92Wエンジン型式 ： 3G83年式 ： H18.10～H20.09 H92W オッティ NA 4WDボディ型式 ： DBA-H92Wエンジン型式 ： 3G83年式 ： H18.10～H20.09 H92W オッティ NA 2WD マイナー後ボディ型式 ： DBA-H92Wエンジン型式 ： 3G83年式 ： H20.09～H20.12 H92W オッティ NA 4WD マイナー後ボディ型式 ： DBA-H92Wエンジン型式 ： 3G83年式 ： H20.09～H20.12 H82W eKワゴン 2WDボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H18.09～H20.08 H82W eKワゴン 4WDボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H18.09～H20.08 H82W ekワゴン 2WD マイナー後ボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H20.08～H20.12 H82W ekワゴン 4WD マイナー後ボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H20.08～H20.12 H82W ekワゴン 2WD マイナー後ボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H20.12～ H82W ekワゴン 4WD マイナー後ボディ型式 ： DBA-H82Wエンジン型式 ： 3G83年式 ： H20.12～  <BR><BR>特記事項

<BR>2WD、4WD共通 
4AT車、5MT車共通",FGK（フジツボ）オーソライズKマフラーH92W オッティ NA 4WD マイナー後：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーH92W オッティ NA 4WD マイナー後,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーH92W オッティ NA 4WD マイナー後[rn]
15-163735,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58637725.jpg?fitin=700:700,46480.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーFC26 セレナ ハイウェイスター 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"CC25 セレナ ハイウェイスター 2WDボディ型式 ： DBA-CC25エンジン型式 ： MR20DE年式 ： H18.06～H19.12 <BR><BR>CC25 セレナ ハイウェイスター 2WD マイナー後ボディ型式 ： DBA-CC25エンジン型式 ： MR20DE年式 ： H19.12～<BR><BR> FC26 セレナ ハイウェイスター 2WDボディ型式 ： DBA-FC26エンジン型式 ： MR20DD年式 ： H22.11～ 

<BR><BR>


<BR>特記事項

<BR>詳細データはCC25のもの",FGK（フジツボ）オーソライズＳマフラーFC26 セレナ ハイウェイスター 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーFC26 セレナ ハイウェイスター 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーFC26 セレナ ハイウェイスター 2WD[rn]
15-163736,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/imgrc0062094587.jpg?fitin=700:700,56000.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲMマフラーK13改 マーチ ニスモ,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR>
K13改 マーチ ニスモ
ボディ型式 ： DBA-K13改
エンジン型式 ： HR15DE
年式 ： H25.12～
<BR>

NISMO S 1.5MT車専用
備考ステンレス＋カーボンモデル",FGK（フジツボ）オーソライズＲMマフラーK13改 マーチ ニスモ：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲMマフラーK13改 マーチ ニスモ,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲMマフラーK13改 マーチ ニスモ[rn]
15-163737,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59305794.jpg?fitin=700:700,32480.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）レガリスKマフラーH81W eKワゴン 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
H81W eKワゴン 2WDボディ型式 ： LA,UA,CBA-H81Wエンジン型式 ： 3G83年式 ： H13.10～H16.12 <BR><BR>",FGK（フジツボ）レガリスKマフラーH81W eKワゴン 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）レガリスKマフラーH81W eKワゴン 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）レガリスKマフラーH81W eKワゴン 2WD[rn]
15-163738,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58484670.jpg?fitin=700:700,28000.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーGH2 インプレッサ 1.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>
GH2 インプレッサ 1.5 2WDボディ型式 ： DBA-GH2エンジン型式 ： EL15年式 ： H19.06～ 
<BR>

GH3 インプレッサ 1.5 4WDボディ型式 ： DBA-GH3エンジン型式 ： EL15年式 ： H19.06～ <BR><BR>
特記事項

<BR>AT車/MT車 共通",FGK（フジツボ）オーソライズＳマフラーGH2 インプレッサ 1.5 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーGH2 インプレッサ 1.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーGH2 インプレッサ 1.5 2WD[rn]
15-163739,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img60581080.jpg?fitin=700:700,87360.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＶマフラーZN6 86 2.0,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
ZN6 86 2.0ボディ型式 ： DBA-ZN6エンジン型式 ： FA20年式 ： H24.04～ ZC6 BRZ 2.0ボディ型式 ： DBA-ZC6エンジン型式 ： FA20年式 ： H24.03～ 
 
<BR><BR>
特記事項

特記事項
AT/MT共通 
 右側シングル出し
 

備考
詳細データは ZN6 AT車のもの 

 パワーデータはバルブ開のデータです。 
 音量データはバルブ閉の状態です。 
 （バルブ開の参考音量：近接-94dB、3000rpm-78dB、5000rpm-88dB、4000&#12316;6000rpmレスポンス-101dB） 

 純正バンパーのマフラー開口部（助手席側）をドレスアップする、オプションバンパーカバー（073-23112）がオススメ。 
。",FGK（フジツボ）オーソライズＶマフラーZN6 86 2.0：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＶマフラーZN6 86 2.0,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＶマフラーZN6 86 2.0[rn]
15-163740,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img60703751.jpg?fitin=700:700,38080.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＥマフラーGPE XV ハイブリッド 2.0 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>

GPE XV ハイブリッド 2.0 4WD
    ボディ型式 ： DAA-GPE
    エンジン型式 ： FB20
    年式 ： H25.06～ 

<BR><BR>
特記事項

<BR>",FGK（フジツボ）オーソライズＥマフラーGPE XV ハイブリッド 2.0 4WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＥマフラーGPE XV ハイブリッド 2.0 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＥマフラーGPE XV ハイブリッド 2.0 4WD[rn]
15-163741,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59417138.jpg?fitin=700:700,30800.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーL175S ムーヴ カスタム ＮＡ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"L275S ミラ カスタム NA 2WD
L275S ミラ カスタム ターボ 2WD
L175S ムーヴ カスタム ターボ 2WD
L175S ムーヴ カスタム ＮＡ 2WD
L375S タント カスタム NA 2WD
L575S ムーヴ コンテ カスタム NA 2WD
L575S ムーヴ コンテ カスタム ターボ 2WD
L375S タント カスタム ターボ 2WD
L675S ミラ ココア NA 2WD
L455S タント エグゼ カスタム ターボ 2WD
L455F ルクラ カスタム ターボ 2WD
L575A ピクシス スペース カスタム ターボ 2WD

特記事項

CVT車、AT車共通、カスタム専用 
マッドガード（カスタム用・リア）装着車共通",FGK（フジツボ）オーソライズKマフラーL175S ムーヴ カスタム ＮＡ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーL175S ムーヴ カスタム ＮＡ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーL175S ムーヴ カスタム ＮＡ 2WD[rn]
