15-163801,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58462887.jpg?fitin=700:700,87360.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーBRG レガシィ ツーリングワゴン 2.0 GT DIT,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
BR9 レガシィ ツーリングワゴン 2.5 GT
ボディ型式 ： DBA-BR9
エンジン型式 ： EJ25
年式 ： H21.05～ 
適合車両 
BRG レガシィ ツーリングワゴン 2.0 GT DIT
ボディ型式 ： DBA-BRG
エンジン型式 ： FA20
年式 ： H24.05～ 
出口形状   
117φラウンドスラッシュ（II・R.L） 
備考  
AT/MT(BRG)、CVT(BRG)共通",FGK（フジツボ）オーソライズＲマフラーBRG レガシィ ツーリングワゴン 2.0 GT DIT：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーBRG レガシィ ツーリングワゴン 2.0 GT DIT,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーBRG レガシィ ツーリングワゴン 2.0 GT DIT[rn]
15-163833,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img60964912.jpg?fitin=700:700,54880.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーGK5 フィット 1.5 2WD RS,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>



GK5 フィット 1.5 2WD RS
    ボディ型式 ： DBA-GK5
    エンジン型式 ： L15B
    年式 ： H25.09～


<BR><BR>
特記事項 

RSグレード専用
CVT車/MT車共通
備考 規定の回転数に達しない為、近接排気騒音は4800rpmにて測定",FGK（フジツボ）オーソライズＲマフラーGK5 フィット 1.5 2WD RS：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーGK5 フィット 1.5 2WD RS,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーGK5 フィット 1.5 2WD RS[rn]
15-163834,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59476708.jpg?fitin=700:700,49840.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーL455S タント エグゼ カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"L575A ピクシス スペース カスタム ターボ 2WDボディ型式 ： CBA-L575Aエンジン型式 ： KF年式 ： H23.09～H24.04 L455F ルクラ カスタム ターボ 2WDボディ型式 ： CBA-L455Fエンジン型式 ： KF-DET,KF年式 ： H22.04～H24.05 L455S タント エグゼ カスタム ターボ 2WDボディ型式 ： CBA-L455Sエンジン型式 ： KF-DET,KF年式 ： H21.12～H24.05 L375S タント カスタム ターボ 2WDボディ型式 ： CBA,DBA-L375Sエンジン型式 ： KF-DET,KF年式 ： H19.12～ L175S ムーヴ カスタム ターボ 2WDボディ型式 ： CBA-L175Sエンジン型式 ： KF-DET年式 ： H18.10～H22.12 L575S ムーヴ コンテ カスタム ターボ 2WDボディ型式 ： CBA-L575Sエンジン型式 ： KF-DET,KF年式 ： H20.08～H24.04 

特記事項
カスタム(CVT車)専用
 

備考
詳細データはL175S ムーヴ カスタム ターボ 2WDのものです",FGK（フジツボ）オーソライズKマフラーL455S タント エグゼ カスタム ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーL455S タント エグゼ カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーL455S タント エグゼ カスタム ターボ 2WD[rn]
15-163835,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58475234.jpg?fitin=700:700,33488.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーNCP131 ヴィッツ RS G's 1.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR>NCP131 ヴィッツ RS 1.5 2WDボディ型式 ： DBA-NCP131エンジン型式 ： 1NZ-FE年式 ： H22.12～ 

<BR>NCP131 ヴィッツ RS G's 1.5 2WDボディ型式 ： DBA-NCP131エンジン型式 ： 1NZ-FE年式 ： H23.12～",FGK（フジツボ）オーソライズＲマフラーNCP131 ヴィッツ RS G's 1.5 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーNCP131 ヴィッツ RS G's 1.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーNCP131 ヴィッツ RS G's 1.5 2WD[rn]
15-163836,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59476718.jpg?fitin=700:700,27384.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーL575A ピクシス スペース カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"L575A ピクシス スペース カスタム ターボ 2WDボディ型式 ： CBA-L575Aエンジン型式 ： KF年式 ： H23.09～H24.04 L455F ルクラ カスタム ターボ 2WDボディ型式 ： CBA-L455Fエンジン型式 ： KF-DET,KF年式 ： H22.04～H24.05 L375S タント カスタム ターボ 2WDボディ型式 ： CBA-L375Sエンジン型式 ： KF-DET,KF年式 ： H19.12～H24.05 L375S タント カスタム NA 2WDボディ型式 ： DBA-L375Sエンジン型式 ： KF-VE年式 ： H19.12～H23.06 L455S タント エグゼ カスタム ターボ 2WDボディ型式 ： CBA-L455Sエンジン型式 ： KF-DET,KF年式 ： H21.12～H24.05 L675S ミラ ココア NA 2WDボディ型式 ： DBA-L675Sエンジン型式 ： KF-VE,KF年式 ： H21.08～H24.04 L175S ムーヴ カスタム ターボ 2WDボディ型式 ： CBA-L175Sエンジン型式 ： KF-DET年式 ： H18.10～H22.12 L175S ムーヴ カスタム ＮＡ 2WDボディ型式 ： DBA-L175Sエンジン型式 ： KF-VE年式 ： H18.10～H22.12 L575S ムーヴ コンテ カスタム ターボ 2WDボディ型式 ： CBA-L575Sエンジン型式 ： KF-DET,KF年式 ： H20.08～H24.04 
特記事項
カスタム専用 
AT車、CVT車 共通",FGK（フジツボ）オーソライズKマフラーL575A ピクシス スペース カスタム ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーL575A ピクシス スペース カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーL575A ピクシス スペース カスタム ターボ 2WD[rn]
15-163837,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59417138.jpg?fitin=700:700,30800.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーL455F ルクラ カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"L275S ミラ カスタム NA 2WD
L275S ミラ カスタム ターボ 2WD
L175S ムーヴ カスタム ターボ 2WD
L175S ムーヴ カスタム ＮＡ 2WD
L375S タント カスタム NA 2WD
L575S ムーヴ コンテ カスタム NA 2WD
L575S ムーヴ コンテ カスタム ターボ 2WD
L375S タント カスタム ターボ 2WD
L675S ミラ ココア NA 2WD
L455S タント エグゼ カスタム ターボ 2WD
L455F ルクラ カスタム ターボ 2WD
L575A ピクシス スペース カスタム ターボ 2WD

特記事項

CVT車、AT車共通、カスタム専用 
マッドガード（カスタム用・リア）装着車共通",FGK（フジツボ）オーソライズKマフラーL455F ルクラ カスタム ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーL455F ルクラ カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーL455F ルクラ カスタム ターボ 2WD[rn]
15-163838,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58720608.jpg?fitin=700:700,68880.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーRK5 ステップワゴン スパーダ 2.0 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR><BR>
RK1 ステップワゴン 2.0 2WDボディ型式 ： DBA-RK1エンジン型式 ： R20A年式 ： H21.10～  <BR><BR>
RK5 ステップワゴン スパーダ 2.0 2WDボディ型式 ： DBA-RK5エンジン型式 ： R20A年式 ： H21.10～ 

 <BR><BR>


特記事項

<BR>
リヤバンパー内側カバー要取外し
<BR>
備考
<BR><BR>
規定回転に達しない為、測定可能な3950rpmにて測定",FGK（フジツボ）オーソライズＲマフラーRK5 ステップワゴン スパーダ 2.0 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーRK5 ステップワゴン スパーダ 2.0 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーRK5 ステップワゴン スパーダ 2.0 2WD[rn]
15-163839,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59275996.jpg?fitin=700:700,29120.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＥマフラーNHP10 アクア 1.5 2WD (H24.8～),送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>
NHP10 アクア 1.5 2WD (H24.8&#12316;)ボディ型式 ： DAA-NHP10エンジン型式 ： 1NZ-FXE年式 ： H24.08～ 

<BR><BR>
特記事項

<BR>
G、S、L グレード共通
<BR>
規定の回転数に達しない為、近接排気騒音は2500rpmにて測定 
車台番号：NHP10-2098375以降もしくはNHP10-6075116以降の車両専用。 
これ以前の車両は取付不可。",FGK（フジツボ）オーソライズＥマフラーNHP10 アクア 1.5 2WD (H24.8～)：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＥマフラーNHP10 アクア 1.5 2WD (H24.8～),送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＥマフラーNHP10 アクア 1.5 2WD (H24.8～)[rn]
15-163840,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img60410414.jpg?fitin=700:700,50400.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーMH23S ワゴンR スティングレー ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両<BR>
MH23S ワゴンR スティングレー ターボ 2WDボディ型式 ： CBA-MH23Sエンジン型式 ： K6A年式 ： H20.09～H22.08  <BR><BR>
特記事項

<BR>Wテール左右出し 
T・TSグレード共通。1型専用",FGK（フジツボ）オーソライズＳマフラーMH23S ワゴンR スティングレー ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーMH23S ワゴンR スティングレー ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーMH23S ワゴンR スティングレー ターボ 2WD[rn]
15-163841,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58649210.jpg?fitin=700:700,47600.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲMマフラーGE8 フィット RS 1.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR>GE8 フィット RS 1.5 2WDボディ型式 ： DBA-GE8エンジン型式 ： L15A年式 ： H19.10～H22.10

<BR><BR>

特記事項
<BR>
 
RS専用 
CVT車専用
<BR>

備考
規定の回転数に達しない為、近接排気騒音は3950rpmにて測定",FGK（フジツボ）オーソライズＲMマフラーGE8 フィット RS 1.5 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲMマフラーGE8 フィット RS 1.5 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲMマフラーGE8 フィット RS 1.5 2WD[rn]
15-163842,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59416988.jpg?fitin=700:700,30688.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーMK21S パレット SW ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
<BR>ML21S ルークス ハイウェイスター ターボ 2WDボディ型式 ： CBA・DBA-ML21Sエンジン型式 ： K6A年式 ： H21.12～H25.03 MK21S パレット SW ターボ 2WDボディ型式 ： CBA・DBA-MK21Sエンジン型式 ： K6A年式 ： H21.09～H25.03 <BR><BR>特記事項

<BR>
詳細データはML21Sのもの",FGK（フジツボ）オーソライズKマフラーMK21S パレット SW ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーMK21S パレット SW ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーMK21S パレット SW ターボ 2WD[rn]
15-163843,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58646642.jpg?fitin=700:700,222880.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲMマフラーZ34 フェアレディZ,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR>Z34 フェアレディZボディ型式 ： CBA-Z34エンジン型式 ： VQ37VHR年式 ： H20.12～

<BR><BR>

特記事項
<BR>
 
オールチタニウムモデル


<BR>

備考

 規定の回転数に達しない為、近接排気騒音は4450rpmにて測定 
詳細データはMT車のもの",FGK（フジツボ）オーソライズＲMマフラーZ34 フェアレディZ：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲMマフラーZ34 フェアレディZ,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲMマフラーZ34 フェアレディZ[rn]
15-163844,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59275916.jpg?fitin=700:700,30688.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーMH34S ワゴンR NA 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
<BR>MJ34S フレア カスタムスタイル NA 2WDボディ型式 ： DBA-MJ34Sエンジン型式 ： R06A年式 ： H24.10～ <BR><BR>
MH34S ワゴンR NA 2WDボディ型式 ： DBA-MH34Sエンジン型式 ： R06A年式 ： H24.09～",FGK（フジツボ）オーソライズKマフラーMH34S ワゴンR NA 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーMH34S ワゴンR NA 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーMH34S ワゴンR NA 2WD[rn]
15-163845,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58468010.jpg?fitin=700:700,44800.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーKE2AW CX-5 2.2 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種

KE2AW CX-5 2.2 4WDボディ型式 ： LDA-KE2AWエンジン型式 ： SH-VPTS年式 ： H24.02～",FGK（フジツボ）オーソライズＳマフラーKE2AW CX-5 2.2 4WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーKE2AW CX-5 2.2 4WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーKE2AW CX-5 2.2 4WD[rn]
15-163846,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59417138.jpg?fitin=700:700,30800.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーL575S ムーヴ コンテ カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"L275S ミラ カスタム NA 2WD
L275S ミラ カスタム ターボ 2WD
L175S ムーヴ カスタム ターボ 2WD
L175S ムーヴ カスタム ＮＡ 2WD
L375S タント カスタム NA 2WD
L575S ムーヴ コンテ カスタム NA 2WD
L575S ムーヴ コンテ カスタム ターボ 2WD
L375S タント カスタム ターボ 2WD
L675S ミラ ココア NA 2WD
L455S タント エグゼ カスタム ターボ 2WD
L455F ルクラ カスタム ターボ 2WD
L575A ピクシス スペース カスタム ターボ 2WD

特記事項

CVT車、AT車共通、カスタム専用 
マッドガード（カスタム用・リア）装着車共通",FGK（フジツボ）オーソライズKマフラーL575S ムーヴ コンテ カスタム ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーL575S ムーヴ コンテ カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーL575S ムーヴ コンテ カスタム ターボ 2WD[rn]
15-163847,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58734422.jpg?fitin=700:700,61600.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＲマフラーCZ4A ランサーエボリューション Ｘ AT,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"適合車両
<BR><BR>
CZ4A ランサーエボリューション Ｘ MTボディ型式 ： ＣＢＡ-ＣＺ4Ａエンジン型式 ： 4Ｂ11年式 ： H19.10～ 
 <BR><BR>
CZ4A ランサーエボリューション Ｘ ATボディ型式 ： ＣＢＡ-ＣＺ4Ａエンジン型式 ： 4Ｂ11年式 ： H19.11～  
<BR><BR>

特記事項

<BR>
AT車・MT車共通 
<BR>
備考
<BR><BR>",FGK（フジツボ）オーソライズＲマフラーCZ4A ランサーエボリューション Ｘ AT：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＲマフラーCZ4A ランサーエボリューション Ｘ AT,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＲマフラーCZ4A ランサーエボリューション Ｘ AT[rn]
15-163848,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58634355.jpg?fitin=700:700,32480.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーNHP10 アクア 1.5 2WD (H23.12&#12316;H24.8),送料無料(沖縄・離島除く）代引手数料無料 納期確認,"NHP10 アクア 1.5 2WD (H23.12&#12316;H24.8)ボディ型式 ： DAA-NHP10エンジン型式 ： 1NZ-FXE年式 ： H23.12～H24.08 


<BR>特記事項

<BR><BR>G、S、Lグレード 共通


<BR>

備考
<BR><BR>規定の回転数に達しない為、近接排気騒音は2500rpmにて測定 
車台番号：NHP10-2098374または 
　　　　　NHP10-6075115までの車両専用。 
　　　　　これ以降の車両は取付不可。",FGK（フジツボ）オーソライズＳマフラーNHP10 アクア 1.5 2WD (H23.12&amp;#12316;H24.8)：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーNHP10 アクア 1.5 2WD (H23.12&amp;#12316;H24.8),送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーNHP10 アクア 1.5 2WD (H23.12&amp;#12316;H24.8)[rn]
15-163849,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img58634359.jpg?fitin=700:700,32480.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＳマフラーNHP10 アクア 1.5 2WD (H24.8&#12316;),送料無料(沖縄・離島除く）代引手数料無料 納期確認,"NHP10 アクア 1.5 2WD (H24.8&#12316;)ボディ型式 ： DAA-NHP10エンジン型式 ： 1NZ-FXE年式 ： H24.08～ 


<BR>特記事項

<BR><BR>G、S、Lグレード 共通


<BR>

備考
<BR><BR>詳細データは 340-21061 のもの 
車台番号：NHP10-2098375以降もしくは 
　　　　　NHP10-6075116以降の車両専用。 
　　　　　これ以前の車両は取付不可。",FGK（フジツボ）オーソライズＳマフラーNHP10 アクア 1.5 2WD (H24.8&amp;#12316;)：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＳマフラーNHP10 アクア 1.5 2WD (H24.8&amp;#12316;),送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＳマフラーNHP10 アクア 1.5 2WD (H24.8&amp;#12316;)[rn]
15-163850,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img60580849.jpg?fitin=700:700,60480.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズＶマフラーZC32S スイフトスポーツ,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"対応車種
ZC32S スイフトスポーツボディ型式 ： CBA-ZC32Sエンジン型式 ： M16A年式 ： H23.12～  

 
<BR><BR>
特記事項

特記事項
MT車専用 
バルブ全閉時は右側のみの排気となります。
 

備考
パワーデータはバルブ開のデータです。 
 音量データはバルブ閉の状態です。 
 （バルブ開の参考音量：近接-94dB、3000rpm-80dB、5000rpm-87dB、3000&#12316;5000rpmレスポンス-100dB）",FGK（フジツボ）オーソライズＶマフラーZC32S スイフトスポーツ：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズＶマフラーZC32S スイフトスポーツ,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズＶマフラーZC32S スイフトスポーツ[rn]
15-163851,http://tshop.r10s.jp/carshop-nagano-no2/cabinet/haiki/03186506/img59417138.jpg?fitin=700:700,30800.0000,,車用品・バイク用品 > カー用品 > 排気系パーツ > マフラー > マツダ用,FGK（フジツボ）オーソライズKマフラーL275S ミラ カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認,"L275S ミラ カスタム NA 2WD
L275S ミラ カスタム ターボ 2WD
L175S ムーヴ カスタム ターボ 2WD
L175S ムーヴ カスタム ＮＡ 2WD
L375S タント カスタム NA 2WD
L575S ムーヴ コンテ カスタム NA 2WD
L575S ムーヴ コンテ カスタム ターボ 2WD
L375S タント カスタム ターボ 2WD
L675S ミラ ココア NA 2WD
L455S タント エグゼ カスタム ターボ 2WD
L455F ルクラ カスタム ターボ 2WD
L575A ピクシス スペース カスタム ターボ 2WD

特記事項

CVT車、AT車共通、カスタム専用 
マッドガード（カスタム用・リア）装着車共通",FGK（フジツボ）オーソライズKマフラーL275S ミラ カスタム ターボ 2WD：カーショップナガノ２号店,アクセラスイフトエルグランドアルファードサスブリッツPIVOTフィットHKS関西メーターHKSマフラーコルトカーショップMPV車高調エスティマトラストベロフカーショップナガノFGK（フジツボ）オーソライズKマフラーL275S ミラ カスタム ターボ 2WD,送料無料(沖縄・離島除く）代引手数料無料 納期確認。FGK（フジツボ）オーソライズKマフラーL275S ミラ カスタム ターボ 2WD[rn]
