19-21701,http://tshop.r10s.jp/yminfo/cabinet/00045328/10381182015.jpg?fitin=700:700,5501.6000,,花・ガーデン・DIY > DIY・工具 > その他,送水ホース（穴付）32ｍｍ×30ｍ,使いやすい送水ホース！,,送水ホース（穴付）32ｍｍ&times;30ｍ：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング送水ホース（穴付）32ｍｍ&times;30ｍ,使いやすい送水ホース！。送水ホース（穴付）32ｍｍ&times;30ｍ[rn]
19-21729,http://tshop.r10s.jp/edenki/cabinet/too/ed1287638.jpg?fitin=700:700,564.0000,,花・ガーデン・DIY > DIY・工具 > その他,富田刃物（仁作／nisaku） ［1830］ ステンレス製 レジャーナイフ ミニ,,【商品説明】 根の張った土面を掘るのに最適です。 掘り起こし、切断作業に。山菜採りにも最適です。 ■刃物用ステンレス鋼総焼入加工ですので、頑強、研ぎ直し使用可能です。 サイズ ■刃巾：側部120mm ■全長：255mm 材質 ■刃部材質：総焼入ステンレススチール製（HRC52゜) ■柄部材質：ポリプロピレン,富田刃物（仁作／nisaku） ［1830］ ステンレス製 レジャーナイフ ミニ：測定器・工具のイーデンキ,測定器工具電気工事士試験絶縁抵抗計ヘッドセット 不満エーモン工業半田ごてブラウン 洗浄液カートリッジ検電器電気工事士 技能試験セット工具箱ワットチェッカー照度計土壌酸度計半田ごてツールバッグ腰袋ブラケット 照明防塵マスクホーザン富田刃物（仁作／nisaku） ［1830］ ステンレス製 レジャーナイフ ミニ,富田刃物（仁作／nisaku） ［1830］ ステンレス製 レジャーナイフ ミニ[rn]
19-21730,http://tshop.r10s.jp/edenki/cabinet/too/ed1287633.jpg?fitin=700:700,1823.2000,,花・ガーデン・DIY > DIY・工具 > その他,富田刃物（仁作／nisaku） ［210］ ステンレス製 万能ホー 茶柄付,,【商品説明】 耕作作業に。 ■刃物用ステンレス鋼総焼入加工ですので、頑強、研ぎ直し使用可能です。 サイズ ■刃巾：210mm ■木柄長：1200mm 材質 ■刃部材質：総焼入ステンレススチール製（HRC54゜) ■柄部材質：ラミン材 無塗装仕上,富田刃物（仁作／nisaku） ［210］ ステンレス製 万能ホー 茶柄付：測定器・工具のイーデンキ,測定器工具電気工事士試験絶縁抵抗計ヘッドセット 不満エーモン工業半田ごてブラウン 洗浄液カートリッジ検電器電気工事士 技能試験セット工具箱ワットチェッカー照度計土壌酸度計半田ごてツールバッグ腰袋ブラケット 照明防塵マスクホーザン富田刃物（仁作／nisaku） ［210］ ステンレス製 万能ホー 茶柄付,富田刃物（仁作／nisaku） ［210］ ステンレス製 万能ホー 茶柄付[rn]
19-21731,http://tshop.r10s.jp/akibaoo-r/cabinet/gi451/4986956008207.jpg?fitin=700:700,1150.4000,,花・ガーデン・DIY > DIY・工具 > その他,【富田刃物 Nisaku】仁作 FIELD OUTDOORKNIFE フィールドアウトドアナイフ 水刀 No.820,納期:取寄品 出荷:約3-5日,釣りや貝類の採取、水辺でのキャンプなどに幅広くお使いいただけます。<br>刃身は全体焼入れ製で頑強で鋭い切れ味です。<br>電解研磨仕上げで耐腐食性を向上させています。<br>一体形で仕上た堅牢なグリップは縦方向だけでなく、横方向にも力を入れやすい形状で機能的な刃身に高い作業性を与えます。<br>波刃は植物の根や枝木やロープまで軽々と切断できる、鋭利な波刃加工。<br>チゼル型刃身は、岩に張り付いた貝類などの剥ぎ取りやコマセなどの粉砕に。<br>ガットフックはロープや蔓などの切断、布類の裂き切りに。<br><br>用途:釣りや貝類の採取、水辺でのキャンプ<br>サイズ:ナイフ330×61×30mm、シース含332×61×42mm<br>質量:ナイフ190g、シース含280g<br>刃部全長:110mm+90mm<br>刃:波刃、チゼル型刃身、ガットフック付<br>刃厚:3mm<br><br>材質<br>SUS420J2(刀身)、エラストマー、ABS樹脂、ポリプロピレン,【富田刃物 Nisaku】仁作 FIELD OUTDOORKNIFE フィールドアウトドアナイフ 水刀 No.820：あきばお～楽天市場支店,メモリーブルーレイDVDテレビレコーダー安同人オタクアキバフィギュアスマートフォンiPhone電池充電おもちゃ空気清浄機家電オーディオカー雑貨【富田刃物 Nisaku】仁作 FIELD OUTDOORKNIFE フィールドアウトドアナイフ 水刀 No.820,納期:取寄品 出荷:約3-5日。【富田刃物 Nisaku】仁作 FIELD OUTDOORKNIFE フィールドアウトドアナイフ 水刀 No.820[rn]
19-21732,http://tshop.r10s.jp/edenki/cabinet/too/ed1287659.jpg?fitin=700:700,693.6000,,花・ガーデン・DIY > DIY・工具 > その他,富田刃物（仁作／nisaku） ［922］ ステンレス製 首長鎌【焼木柄】,,【商品説明】 雑草の刈り込み作業に。 ■刃物用ステンレス鋼総焼入加工ですので、頑強、研ぎ直し使用可能です。 サイズ ■刃巾：115mm ■木柄長：300mm 材質 ■刃部材質：総焼入ステンレススチール製（HRC54゜) ■柄部材質：たも材 焼木仕上,富田刃物（仁作／nisaku） ［922］ ステンレス製 首長鎌【焼木柄】：測定器・工具のイーデンキ,測定器工具電気工事士試験絶縁抵抗計ヘッドセット 不満エーモン工業半田ごてブラウン 洗浄液カートリッジ検電器電気工事士 技能試験セット工具箱ワットチェッカー照度計土壌酸度計半田ごてツールバッグ腰袋ブラケット 照明防塵マスクホーザン富田刃物（仁作／nisaku） ［922］ ステンレス製 首長鎌【焼木柄】,富田刃物（仁作／nisaku） ［922］ ステンレス製 首長鎌【焼木柄】[rn]
19-21733,http://tshop.r10s.jp/yminfo/cabinet/00045328/img57963701.jpg?fitin=700:700,1181.6000,,花・ガーデン・DIY > DIY・工具 > その他,40%OFF！【smtb-TK】【頑張って送料無料！】LEDシグナルライト R-04,防犯・警備に便利です,,40%OFF！【smtb-TK】【頑張って送料無料！】LEDシグナルライト R-04：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング40%OFF！【smtb-TK】【頑張って送料無料！】LEDシグナルライト R-04,防犯・警備に便利です。40%OFF！【smtb-TK】【頑張って送料無料！】LEDシグナルライト R-04[rn]
19-21734,http://tshop.r10s.jp/yminfo/cabinet/00762487/img59997753.jpg?fitin=700:700,438.4000,,花・ガーデン・DIY > DIY・工具 > その他,雪スベロー160g,塗るだけで皿の滑りがよみがえります,"【ここがポイント！】 
 「雪スベロー」はパラフィンが主成分でスコップ・除雪器具等の頑固な雪の付着を未然に防ぎます。
 
 スコップ、スノーダンプ、敷居、家具の引き出しになどの鉄部や木部に塗るだけで滑りがよみがえります。  
 
 
　【商品詳細】 
材質 パラフィン 
容量 約160g",雪スベロー160g：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング雪スベロー160g,塗るだけで皿の滑りがよみがえります。雪スベロー160g[rn]
19-21735,http://tshop.r10s.jp/arimas/cabinet/2011arimas17/ip3610616.jpg?fitin=700:700,1467.2000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】【シンワ測定】下地センサーBasic 78575【TG】【TC】【下地探し 内装工事用チェッカ 測量用品 シンワ測定 下地センサー 送料無料】 P19Jul15,下地センサー シンワ 壁裏センサー 下地探し,●幅(mm):56●高さ(mm):136●厚み(mm):35●壁裏の間柱を点滅と電子音で知らせます。●壁に当ててスイッチを押すだけで、簡単に間柱が探知できます。●使いやすいシンプル設計です。enetshop1207-B  enetshop1207-Bg<br><br><font color=red>※商品仕様等のお問い合わせは、メーカー：シンワ測定（株）にお問い合わせ下さい。</font><br><br><font color=red>※画像はイメージです。リニューアル等により実物と異なる場合がありますので、メーカーHP等でご確認の上お買い求め下さい。</font>,【送料無料】【シンワ測定】下地センサーBasic 78575【TG】【TC】【下地探し 内装工事用チェッカ 測量用品 シンワ測定 下地センサー 送料無料】 P19Jul15：工具ワールド　ＡＲＩＭＡＳ,工具ニッパレンチステンレスドライバーボールポイントハンマースパッタシートネジ電動六角清掃キャスターコンテナスパッタシート作業ペンチ日曜大工機械現場【送料無料】【シンワ測定】下地センサーBasic 78575【TG】【TC】【下地探し 内装工事用チェッカ 測量用品 シンワ測定 下地センサー 送料無料】 P19Jul15,下地センサー シンワ 壁裏センサー 下地探し。【送料無料】【シンワ測定】下地センサーBasic 78575【TG】【TC】【下地探し 内装工事用チェッカ 測量用品 シンワ測定 下地センサー 送料無料】 P19Jul15[rn]
19-21736,http://tshop.r10s.jp/akibaoo-r/cabinet/gi442/4960910785922.jpg?fitin=700:700,637.6000,,花・ガーデン・DIY > DIY・工具 > その他,【シンワ測定】下地探し どこ太 Smart 35mm マグネット付 78592,納期:取寄品 出荷:約3-4日,スリムでコンパクトな下地探しの決定版<br>壁裏の間柱を簡単・確実に探せる下地探し<br>携帯に便利なポケットサイズです。<br>便利な目盛付です。<br>安全ロック付です。<br>本体内部に替針2本入り。<br>強力マグネットで金属下地も探知します。<br>注意:下地探しの目的以外使用禁止。電気配線付近では感電の恐れがありますので、十分に注意して下さい。<br><br>仕様1:測定範囲:壁厚35mm以内<br>仕様2:測定範囲(マグネット):壁面約13mmまで<br>仕様3:測定範囲(マグネット):天井約12mmまで<br><br>材質<br>材質:本体:ABS樹脂(抗菌剤入り)・針:ステンレス・可動カバー:ポリカーボネート樹脂,【シンワ測定】下地探し どこ太 Smart 35mm マグネット付 78592：あきばお～楽天市場支店,メモリーブルーレイDVDテレビレコーダー安同人オタクアキバフィギュアスマートフォンiPhone電池充電おもちゃ空気清浄機家電オーディオカー雑貨【シンワ測定】下地探し どこ太 Smart 35mm マグネット付 78592,納期:取寄品 出荷:約3-4日。【シンワ測定】下地探し どこ太 Smart 35mm マグネット付 78592[rn]
19-21737,http://tshop.r10s.jp/nonaka/cabinet/ikou_20090818/img10532772943.jpg?fitin=700:700,720.0000,,花・ガーデン・DIY > DIY・工具 > その他,天井、壁の下地探しに！ワンプッシュ,,"<P>額・時計・照明器具・カーテンレール・ブラインドの取り付けに、<BR>            下地材の有無をワンプッシュで、探しだす！<BR>            石膏ボードや合板に便利です。<BR>
<BR>            針のスペア2本付き。　保護キャップ付き。<BR> 対応壁厚　約15ミリ。<BR>
<BR>※こちらの商品は、以前は、<BR> 　「製造元：サンブリッヂ工業、販売元：セキスイ」でしたが、<BR> 　現在は、<BR> 　「製造元・販売元ともにサンブリッヂ工業」となっております。<BR>
<BR> 　本体のカラーは紺色からグレーに変わりましたが、<BR> 　その他の機能などに違いはございません。<BR>
<BR>            【関連商品】もっと本格的な下地をさがす商品→壁裏センサー<BR>調べてみて下地がなかった場合、下地を作る→スピードミニ</P>",天井、壁の下地探しに！ワンプッシュ：ノナカ金物店,日曜大工DIYホームセンター金物屋野中金物店ダボレール突っ張り棒つっぱり棒棚受けレールワイングラスホルダーガチャ柱チャンネルサポート涙目天井、壁の下地探しに！ワンプッシュ,天井、壁の下地探しに！ワンプッシュ[rn]
19-21738,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4741722.jpg?fitin=700:700,801.6000,,花・ガーデン・DIY > DIY・工具 > その他,シンワ　下地探しどこ太Ｓｍａｒｔ　３５ｍｍ（マグネット付）　７８５９２,,■用途<br>●壁裏の間柱や下地材を探します。<br>●壁裏の間柱や下地材を探します。<br><br>■特長<br>●事故を防ぐため、LOCKとFREEの切替がしっかり固定される安全設計です。<br>●壁厚４５ｍｍまで探知可能で学校・病院など耐火壁のスタンダードになりつつある２１ｍｍ厚のボード２枚貼りにも対応可能です。<br>●携帯に便利なポケットサイズ（クリップ付）です。<br>●壁の厚さが分かる目盛付です。<br><br>■仕様<br>●先端径(mm):0.7<br>●全長(mm):161.5<br>●探知壁厚(mm):35<br>●ネイルキャッチ:あり<br>●縦x横x奥行(ｍｍ):161.5x17.5x21<br>●探知壁厚:針35ｍｍマグネット13ｍｍ(壁面)12ｍｍ(天井)<br><br>■材質・仕上げ<br>●本体：ABS樹脂<br>●針：ステンレス<br>●磁石：ネオジム,シンワ　下地探しどこ太Ｓｍａｒｔ　３５ｍｍ（マグネット付）　７８５９２：GAOS　楽天市場店,シンワ　下地探しどこ太Ｓｍａｒｔ　３５ｍｍ（マグネット付）　７８５９２,シンワ　下地探しどこ太Ｓｍａｒｔ　３５ｍｍ（マグネット付）　７８５９２[rn]
19-21739,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs33/trs4741714.jpg?fitin=700:700,549.6000,,花・ガーデン・DIY > DIY・工具 > その他,シンワ　下地探しどこ太Ｓｍａｒｔ　３５ｍｍ　78586,【業務用】 オレンジブック2017掲載,<b>メーカー／シンワ測定（株）</b><br><br>【特長】<br>●事故を防ぐため、LOCKとFREEの切替がしっかり固定される安全設計です。●壁厚４５ｍｍまで探知可能で学校・病院など耐火壁のスタンダードになりつつある２１ｍｍ厚のボード２枚貼りにも対応可能です。●携帯に便利なポケットサイズ（クリップ付）です。●壁の厚さが分かる目盛付です。<br><br>【用途】<br>●壁裏の間柱や下地材を探します。●壁裏の間柱や下地材を探します。<br><br>【仕様】<br>●先端径(mm):0.7●全長(mm):133●探知壁厚(mm):35●ネイルキャッチ:なし●縦x横x奥行(ｍｍ):133x17.5x21●探知壁厚:35ｍｍ<br><br>【材質／仕上】<br>●本体：ABS樹脂●針：ステンレス<br><br>【原産国】　中国<br><br>【質量】　20G<br><br>【2017　オレンジブック掲載】　4 2176ページ,シンワ　下地探しどこ太Ｓｍａｒｔ　３５ｍｍ　78586：工具箱　楽天市場店,シンワ　下地探しどこ太Ｓｍａｒｔ　３５ｍｍ　78586,【業務用】 オレンジブック2017掲載。シンワ　下地探しどこ太Ｓｍａｒｔ　３５ｍｍ　78586[rn]
19-21740,http://tshop.r10s.jp/my-koguya/cabinet/01648847/02297072/img59757248.jpg?fitin=700:700,5420.8000,,花・ガーデン・DIY > DIY・工具 > その他,【4/15 10:00～4/22 9:59 PCからエントリーでポイント10倍】【タジマ】 パーフェクト壁裏キャッチ PW-KUC [下地探し] 【TAJIMA】,,"<b>[製品情報]</b><br>
製品重量：178g(乾電池含む)<br>
<br>
<b>[特長]</b><br>
<b>電子下地材探知器</b><br>
●1台で木材またはプラスチック・金属の両方を探知する両機能一体型<br>
●壁、天井などの表面材で隠れて見えない下地材を探知します<br>
●感度2段切替式(通常・高感度)＋簡易金属探知機能付<br>
●自動初期設定機能付<br>
●DC9V乾電池1個付<br>
●携帯ストラップ付<br>
●用途：クーラー、カーテンレール、照明器具、壁掛け等の各取付け、ガス・水道管の検知",【4/15 10:00～4/22 9:59 PCからエントリーでポイント10倍】【タジマ】 パーフェクト壁裏キャッチ PW-KUC [下地探し] 【TAJIMA】：Working Pro 楽天市場店,【4/15 10:00～4/22 9:59 PCからエントリーでポイント10倍】【タジマ】 パーフェクト壁裏キャッチ PW-KUC [下地探し] 【TAJIMA】,【4/15 10:00～4/22 9:59 PCからエントリーでポイント10倍】【タジマ】 パーフェクト壁裏キャッチ PW-KUC [下地探し] 【TAJIMA】[rn]
19-21741,http://tshop.r10s.jp/yminfo/cabinet/eigertool/4986449030609.jpg?fitin=700:700,1656.0000,,花・ガーデン・DIY > DIY・工具 > その他,アイガーねたままチャイム　ホワイト×シアン　NC36,コード配線不要で家中に使えます！,"<P><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/ichioshi/img55764579.gif border=0><BR>
<FONT size=-1><BR>
【ここがポイント！】<BR>
コード配線不要で家中に使えます！子供部屋やお年寄りの部屋からチャイムで連絡<BR>
店舗用として説明員の呼び出し用などにも使えます。<BR>
<BR>
【商品詳細】<BR>ワイヤレスタイプ<BR>
電源（受信チャイム部）：単三電池　2本使用<BR>
電源（呼び出しボタン）：A23 1本使用<BR>
使用期間：新品アルカリ電池で約6ヶ月<BR>
電波の届く範囲：約100m<BR>
音の切り替え：36種類<BR>
サイズ<BR>受信チャイム部：W57mm×H100mm×D30mm<BR>
呼び出しボタン部：W43mm×H73mm×D20mm<BR>
重量<BR>
受信チャイム部：80g<BR>
呼び出しボタン部：30g<BR>
材質：プラスチック<BR>
付属品：電池23A 1本、両面テープ</FONT></P>",アイガーねたままチャイム　ホワイト&times;シアン　NC36：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングアイガーねたままチャイム　ホワイト&times;シアン　NC36,コード配線不要で家中に使えます！。アイガーねたままチャイム　ホワイト&times;シアン　NC36[rn]
19-21742,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334368.jpg?fitin=700:700,1219.2000,,花・ガーデン・DIY > DIY・工具 > その他,【ネコポス可能】3.peaks　ショ－トリ－ドペンチ　　140mmSP-36,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● 鉄の同等製品と比較し47%もの軽量化。曲げる・つかむ・つまむ・ひっぱる作業に。 
● 食品工場、水産加工、園芸、釣り、アウトドアなど水回りに安心して使えます。 
 

【商品仕様】 
サイズ 140mm 
重量 50g 
材質 ステンレス鋼 
硬さHRC 48～53（本体） 
 
 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと",【ネコポス可能】3.peaks　ショ&minus;トリ&minus;ドペンチ　　140mmSP-36：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】3.peaks　ショ&minus;トリ&minus;ドペンチ　　140mmSP-36,熟練の職人達がつくる3.peaksの商品です。【ネコポス可能】3.peaks　ショ&minus;トリ&minus;ドペンチ　　140mmSP-36[rn]
19-21743,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334416.jpg?fitin=700:700,2172.0000,,花・ガーデン・DIY > DIY・工具 > その他,3.peaks　Ｒ型ウォ－タ－ポンププライヤ－　ビニールグリップ付　250mmWPP-250RG,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● 3枚合わせ構造で確実につかみ固定します。指をはさみにくいストッパー付 
 
【商品仕様】 
サイズ 250mm 
重量 390g 
材質 クロムバナジウム鋼 
硬さHRC 50～58（くわえ部） 
 
 
【使用範囲】 
六角ネジ 5.5～41mm 
パイプ φ5～43mm",3.peaks　Ｒ型ウォ&minus;タ&minus;ポンププライヤ&minus;　ビニールグリップ付　250mmWPP-250RG：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング3.peaks　Ｒ型ウォ&minus;タ&minus;ポンププライヤ&minus;　ビニールグリップ付　250mmWPP-250RG,熟練の職人達がつくる3.peaksの商品です。3.peaks　Ｒ型ウォ&minus;タ&minus;ポンププライヤ&minus;　ビニールグリップ付　250mmWPP-250RG[rn]
19-21744,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334397.jpg?fitin=700:700,6956.8000,,花・ガーデン・DIY > DIY・工具 > その他,3.peaks　ジュエリ－カッタ－　　220mmJC-220　貴金属専用,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● 集めの刃で確実に切断。テコの原理を応用した強力切断カッター 
 
【商品仕様】 
サイズ 220mm 
重量 280g 
材質 パナジウム鋼 
硬さHRC 60～65（刃部） 
刃角度 28° 
 
 
【切断能力】 
鉄線 可能 
銅線・真鍮線 可能 
金・銀・洋白線 φ4.0mm 
ピアノ線・ステン線 不可 
IV線 不可",3.peaks　ジュエリ&minus;カッタ&minus;　　220mmJC-220　貴金属専用：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング3.peaks　ジュエリ&minus;カッタ&minus;　　220mmJC-220　貴金属専用,熟練の職人達がつくる3.peaksの商品です。3.peaks　ジュエリ&minus;カッタ&minus;　　220mmJC-220　貴金属専用[rn]
19-21745,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334412.jpg?fitin=700:700,2628.8000,,花・ガーデン・DIY > DIY・工具 > その他,3.peaks　ワイヤ－クランプカッタ－　　200mmWCC-200,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● ワイヤーロープ1.5mm切断可能。鋭利な刃で強力に切断 
● 3種類の先端穴で各種クランプ管を圧着します 
 
【商品仕様】 
サイズ 200mm 
重量 285g 
材質 パナジウム鋼 
硬さHRC 60～65（刃部） 
穴サイズ 1.3、2.0、2.6mm 
 
 
【切断能力】 
ワイヤーロープ φ1.5mm",3.peaks　ワイヤ&minus;クランプカッタ&minus;　　200mmWCC-200：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング3.peaks　ワイヤ&minus;クランプカッタ&minus;　　200mmWCC-200,熟練の職人達がつくる3.peaksの商品です。3.peaks　ワイヤ&minus;クランプカッタ&minus;　　200mmWCC-200[rn]
19-21746,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57331008.jpg?fitin=700:700,1508.8000,,花・ガーデン・DIY > DIY・工具 > その他,【ネコポス可能】3.peaks　新サイズペンチ　　エラストマー（ゴム質）成形グリップ付　140mmCP-140Z,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● エラストマー樹脂グリップで長時間でも疲れにくく、JIS規格にはない中間サイズ。 
● 切断能力や耐久性はワンサイズ上のJIS規格品と同等。 
● 鉄・銅・より線など、さまざまな潜在に対応。 
 
 
【商品仕様】 
サイズ 140mm 
重量 175g 
材質 S58C 
硬さHRC 56～64（刃部） 
 
 
【切断能力】 
鉄線 φ2.2mm 
銅線 φ3.0mm 
ピアノ線・ステンレス線 不可 
ブラスチック 可能 
VVF3芯 不可 
より線 5.5mm2",【ネコポス可能】3.peaks　新サイズペンチ　　エラストマー（ゴム質）成形グリップ付　140mmCP-140Z：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】3.peaks　新サイズペンチ　　エラストマー（ゴム質）成形グリップ付　140mmCP-140Z,熟練の職人達がつくる3.peaksの商品です。【ネコポス可能】3.peaks　新サイズペンチ　　エラストマー（ゴム質）成形グリップ付　140mmCP-140Z[rn]
19-21747,http://tshop.r10s.jp/yminfo/cabinet/3peaks/img57334367.jpg?fitin=700:700,1249.6000,,花・ガーデン・DIY > DIY・工具 > その他,【ネコポス可能】3.peaks　先曲りリ－ドペンチ　　150mmSP-35,熟練の職人達がつくる3.peaksの商品です,"【ここがポイント！】 
● 鉄の同等製品と比較し47%もの軽量化。先端角度45°拾う・つまむ・並べる作業に。 
● 食品工場、水産加工、園芸、釣り、アウトドアなど水回りに安心して使えます。 
 

【商品仕様】 
サイズ 150mm 
重量 55g 
材質 ステンレス鋼 
硬さHRC 48～53（本体） 
 
 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと",【ネコポス可能】3.peaks　先曲りリ&minus;ドペンチ　　150mmSP-35：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】3.peaks　先曲りリ&minus;ドペンチ　　150mmSP-35,熟練の職人達がつくる3.peaksの商品です。【ネコポス可能】3.peaks　先曲りリ&minus;ドペンチ　　150mmSP-35[rn]
19-21748,http://tshop.r10s.jp/yminfo/cabinet/denkowakui/img56181112.jpg?fitin=700:700,880.0000,,花・ガーデン・DIY > DIY・工具 > その他,切れ味優れるセンターカッティングシリーズDENKO（涌井製作所製）ペンチ175mm　CP-175,切れ味が優れ、極薄物もくわえることができる特許品！,"【ここがポイント!】 
● シャーリング切断で切味が鋭い！ 
● 線材の切断面がクリーン！ 
● 先端の隙間が薄く、極薄物もくわえられる！ 
● 耐久性抜群！ 
● 切断片が飛ばないので安全！ 

■製品仕様　CP-175 
サイズ 175ｍｍ 
重　量 255ｇ 
切断能力 鉄φ2.0　銅φ2.6 
生産国 日本（涌井製作所製） 
発送の目安 午前中の注文で即日発送",切れ味優れるセンターカッティングシリーズDENKO（涌井製作所製）ペンチ175mm　CP-175：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング切れ味優れるセンターカッティングシリーズDENKO（涌井製作所製）ペンチ175mm　CP-175,切れ味が優れ、極薄物もくわえることができる特許品！。切れ味優れるセンターカッティングシリーズDENKO（涌井製作所製）ペンチ175mm　CP-175[rn]
19-21749,http://tshop.r10s.jp/yminfo/cabinet/denkowakui/img56181112.jpg?fitin=700:700,991.2000,,花・ガーデン・DIY > DIY・工具 > その他,切れ味優れるセンターカッティングシリーズDENKO（涌井製作所製）ペンチ200mm　CP-200,切れ味が優れ、極薄物もくわえることができる特許品！,"【ここがポイント!】 
● シャーリング切断で切味が鋭い！ 
● 線材の切断面がクリーン！ 
● 先端の隙間が薄く、極薄物もくわえられる！ 
● 耐久性抜群！ 
● 切断片が飛ばないので安全！ 
■製品仕様　CP-200 
サイズ 200ｍｍ 
重　量 325ｇ 
切断能力 鉄φ2.6　銅φ3.2 
生産国 日本（涌井製作所製） 
発送の目安 午前中の注文で即日発送",切れ味優れるセンターカッティングシリーズDENKO（涌井製作所製）ペンチ200mm　CP-200：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング切れ味優れるセンターカッティングシリーズDENKO（涌井製作所製）ペンチ200mm　CP-200,切れ味が優れ、極薄物もくわえることができる特許品！。切れ味優れるセンターカッティングシリーズDENKO（涌井製作所製）ペンチ200mm　CP-200[rn]
19-21750,http://tshop.r10s.jp/yminfo/cabinet/denkowakui/img56181111.jpg?fitin=700:700,720.0000,,花・ガーデン・DIY > DIY・工具 > その他,切れ味優れるセンターカッティングシリーズニッパー150mm　CN-150,切れ味が優れている特許品！,"【ここがポイント!】 
● シャーリング切断で切味が鋭い！ 
● 線材の切断面がクリーン！ 
● 先端の隙間が薄く、極薄物もくわえられる！ 
● 耐久性抜群！ 
● 切断片が飛ばないので安全！ 

■製品仕様　CN-150 
サイズ 150ｍｍ 
重　量 145ｇ 
切断能力 鉄φ1.6　銅φ2.0 
生産国 日本（涌井製作所製） 
発送の目安 午前中の注文で即日発送",切れ味優れるセンターカッティングシリーズニッパー150mm　CN-150：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング切れ味優れるセンターカッティングシリーズニッパー150mm　CN-150,切れ味が優れている特許品！。切れ味優れるセンターカッティングシリーズニッパー150mm　CN-150[rn]
