17-149999,http://tshop.r10s.jp/bandpower/cabinet/cd-1069.jpg?fitin=700:700,1372.0000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,【お取り寄せします　約5日間】スタンダードブラス Green！　SHOBIz POPS ORCHESTRA【吹奏楽 / ポップス CD】BOCD-7211,　,"＜国内盤＞<br>
収録曲：<br>
1.銀河鉄道999／タキガワ・ユキヒデ(arr.樽屋雅徳)<br>
2.アメージング・グレース／伝承曲(arr.八木澤教司)<br>
3.ティアーズ・オブ・ムーン（サックスバラード）／織田浩司(arr.樽屋雅徳)<br>
4.クリスマスシーモ！(クリスマスソングの名曲メドレー)／(arr.金山徹)<br>
5.銀河鉄道999（コーラス付き）／タキガワ・ユキヒデ(arr.樽屋雅徳)<br>
6.ティアーズ・オブ・ムーン（カラオケVersion）／織田浩司(arr.樽屋雅徳)<br>",【お取り寄せします　約5日間】スタンダードブラス Green！　SHOBIz POPS ORCHESTRA【吹奏楽 / ポップス CD】BOCD-7211：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい【お取り寄せします　約5日間】スタンダードブラス Green！　SHOBIz POPS ORCHESTRA【吹奏楽 / ポップス CD】BOCD-7211,　。【お取り寄せします　約5日間】スタンダードブラス Green！　SHOBIz POPS ORCHESTRA【吹奏楽 / ポップス CD】BOCD-7211[rn]
17-150051,http://tshop.r10s.jp/bandpower/cabinet/08/cd-1011.jpg?fitin=700:700,2133.6000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,スピリット・オブ・セントルイス　清水大輔作品集 vol.1　The Spirit of St.Louis～S.D.Works vol.1【吹奏楽 CD】SBPCD-5040,,"■収録曲<br>
1.セレブレイト【6：55】<br>
2.スピリット・オブ・セントルイス【7：49】<br>
3.I will...～ウインドアンサンブルのための～【6：18】<br>
4.マーチ「ギヴ・ア・プレイズ・トゥ・ウィナー！」【3：55】<br>
5.タングルウッド・オーヴァーチュア【10：42】<br>
6.ネクスト・エンジェルス（アルトサクソフォーンとウィンドアンサンブルのための）【6：05】<br>
7.仲間たちへ　～シャクルトン、伝説の南極遠征～【9：47】<br>",スピリット・オブ・セントルイス　清水大輔作品集 vol.1　The Spirit of St.Louis～S.D.Works vol.1【吹奏楽 CD】SBPCD-5040：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいいスピリット・オブ・セントルイス　清水大輔作品集 vol.1　The Spirit of St.Louis～S.D.Works vol.1【吹奏楽 CD】SBPCD-5040,スピリット・オブ・セントルイス　清水大輔作品集 vol.1　The Spirit of St.Louis～S.D.Works vol.1【吹奏楽 CD】SBPCD-5040[rn]
17-150052,http://tshop.r10s.jp/bandpower/cabinet/cd-1077.jpg?fitin=700:700,2133.6000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,【お取り寄せします　約5日間】ニュー・オリジナル・コレクションVol.2　祈り～その時、彼女は何を想ったのか～ ドゥブロフカ劇場(モスクワ)2002.10.26【吹奏楽 CD】BOCD-7172,,"<p>※タイミングによってメーカー・出版社にて完売、廃盤の場合はご容赦ください。<br>※取り寄せ商品と通常商品を同時にご注文されますと、お届けは商品入荷後の一括発送になりますのでご注意ください。</p>
＜国内盤＞<br>
収録曲：<br>
1.ナスカ －地上に描かれた遥かなる銀河／八木澤教司<br>
2.抑圧から開放へ／天野正道<br>
3.マーチ「ウィンド・フォー・ウィンド」／高橋伸哉<br>
4.序曲「サーリセルカの森」／高橋宏樹<br>
5.百年祭／福島弘和<br>
6.三つのクレヨン画／松尾善雄<br>
7.Flying High／石毛里佳<br>
8.ライト・フライヤー／高橋伸哉<br>
9.祈り - その時、彼女は何を想ったのか - ドゥブロフカ劇場(モスクワ)2002.10.26／飯島俊成<br>",【お取り寄せします　約5日間】ニュー・オリジナル・コレクションVol.2　祈り～その時、彼女は何を想ったのか～ ドゥブロフカ劇場(モスクワ)2002.10.26【吹奏楽 CD】BOCD-7172：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい【お取り寄せします　約5日間】ニュー・オリジナル・コレクションVol.2　祈り～その時、彼女は何を想ったのか～ ドゥブロフカ劇場(モスクワ)2002.10.26【吹奏楽 CD】BOCD-7172,【お取り寄せします　約5日間】ニュー・オリジナル・コレクションVol.2　祈り～その時、彼女は何を想ったのか～ ドゥブロフカ劇場(モスクワ)2002.10.26【吹奏楽 CD】BOCD-7172[rn]
17-150053,http://tshop.r10s.jp/bandpower/cabinet/cd-1094.jpg?fitin=700:700,2133.6000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,【お取り寄せします　約5日間】ニュー・アレンジ・コレクション Vol.4　喜歌劇「ロシアの皇太子」セレクション　New Arrangement Collection Vol.4【吹奏楽 CD】BOCD-7173,,"★注意！必ずご一読の上、ご購入下さい★<br>
<br>
※こちらの商品はお取り寄せ対応商品です。<br>
<br>
当店に在庫はございませんので、商品のお届けは商品が当店に入荷した後になります。<br>
決済後、おおよそで、商品名欄に記載の日数がかかりますので、ご注意ください。<br>
<br>
※取り寄せ商品と通常商品を同時にご注文されますと、<br>
お届けは商品入荷後の一括発送になりますのでご注意ください。<br>
<br>
※タイミングによってメーカー・出版社にて完売、廃盤の場合はご容赦ください。<br>
<br>
通常商品を別途お求めご希望の場合は、<br>
取り寄せ商品のみを購入後（決済終了後）再度、別注文としてお買い求めください。<br><br><br><br>
収録曲：<br>
1. 喜歌劇「ロシアの皇太子」セレクション／フランツ・レハール(arr. 鈴木英史)<br>
2. 歌劇「フェドーラ」より／ウンベルト・ジョルダーノ(arr. 鈴木英史)<br>
3. 前奏曲 変ホ長調／ヨハン・セバスティアン・バッハ(arr. 田村文生)<br>
4. 「弦楽四重奏第2番」より 第2楽章／ベラ・バルトーク(arr. 高　昌帥) <br>
5. 小組曲／クロード・ドビュッシー(arr. 建部知弘)<br>
6. パガニーニの主題による狂詩曲／セルゲイ・ラフマニノフ(arr. 森田一浩)",【お取り寄せします　約5日間】ニュー・アレンジ・コレクション Vol.4　喜歌劇「ロシアの皇太子」セレクション　New Arrangement Collection Vol.4【吹奏楽 CD】BOCD-7173：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい【お取り寄せします　約5日間】ニュー・アレンジ・コレクション Vol.4　喜歌劇「ロシアの皇太子」セレクション　New Arrangement Collection Vol.4【吹奏楽 CD】BOCD-7173,【お取り寄せします　約5日間】ニュー・アレンジ・コレクション Vol.4　喜歌劇「ロシアの皇太子」セレクション　New Arrangement Collection Vol.4【吹奏楽 CD】BOCD-7173[rn]
17-150054,http://tshop.r10s.jp/bandpower/cabinet/cd-1314.jpg?fitin=700:700,1904.8000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,【お取り寄せします　約7-21日間】必勝コンクール！レッドライン・タンゴ　東京佼成ウインドオーケストラ【吹奏楽 CD】TOCF-56077,,"★注意！必ずご一読の上、ご購入下さい★<br>
<br>
※こちらの商品はお取り寄せ対応商品です。<br>
<br>
当店に在庫はございませんので、商品のお届けは商品が当店に入荷した後になります。<br>
決済後、おおよそで、商品名欄に記載の日数がかかりますので、ご注意ください。<br>
<br>
※取り寄せ商品と通常商品を同時にご注文されますと、<br>
お届けは商品入荷後の一括発送になりますのでご注意ください。<br>
<br>
※タイミングによってメーカー・出版社にて完売、廃盤の場合はご容赦ください。<br>
<br>
通常商品を別途お求めご希望の場合は、<br>
取り寄せ商品のみを購入後（決済終了後）再度、別注文としてお買い求めください。<br>
<br>
<br>
■収録曲：<br>
<br>
1. レッドライン・タンゴ／ジョン・マッキー<br>
2. 目覚める天使たち／デヴィッド・ギリングハム<br>
3. 浅葱の空～吹奏楽による憧憬的音詩～／中橋愛生<br>
4. ローザの為の楽章／マーク・キャンプハウス<br>
5. センチュリア／ジェームズ・スウェアリンジェン<br>
6. 風雅／櫛田てつのすけ<br>
7. アリランと赤とんぼ／高 昌師<br>
8. 伝説のアイルランド／ロバート・W・スミス",【お取り寄せします　約7-21日間】必勝コンクール！レッドライン・タンゴ　東京佼成ウインドオーケストラ【吹奏楽 CD】TOCF-56077：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい【お取り寄せします　約7-21日間】必勝コンクール！レッドライン・タンゴ　東京佼成ウインドオーケストラ【吹奏楽 CD】TOCF-56077,【お取り寄せします　約7-21日間】必勝コンクール！レッドライン・タンゴ　東京佼成ウインドオーケストラ【吹奏楽 CD】TOCF-56077[rn]
17-150055,http://tshop.r10s.jp/bandpower/cabinet/02/cd-1416.jpg?fitin=700:700,2133.6000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,【お取り寄せします　約5日間】ニュー・オリジナル・コレクションVol.3　吹奏楽のためのゴシック　陸上自衛隊中央音楽隊【吹奏楽 CD】BOCD-7182,,"収録曲：<br>
1. ダンス・セレブレーション／建部知弘【2：58】<br>
2. 波の通り道／酒井 格【7：15】<br>
3. 日本の旋律による三つの情景／櫛田てつ之扶【6：35】<br>
4. Alas de Hierro／天野正道【16：47】<br>
5. 海峡の歌／高橋伸哉【9：48】<br>
6. 瞬間（とき）は煌めいて／真島俊夫【7：08】<br>
7. 吹奏楽のための「ゴシック」／木下牧子【9：31】(グレード：5)",【お取り寄せします　約5日間】ニュー・オリジナル・コレクションVol.3　吹奏楽のためのゴシック　陸上自衛隊中央音楽隊【吹奏楽 CD】BOCD-7182：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい【お取り寄せします　約5日間】ニュー・オリジナル・コレクションVol.3　吹奏楽のためのゴシック　陸上自衛隊中央音楽隊【吹奏楽 CD】BOCD-7182,【お取り寄せします　約5日間】ニュー・オリジナル・コレクションVol.3　吹奏楽のためのゴシック　陸上自衛隊中央音楽隊【吹奏楽 CD】BOCD-7182[rn]
17-150056,http://tshop.r10s.jp/bandpower/cabinet/02/cd-1461.jpg?fitin=700:700,2133.6000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,【お取り寄せします　約5日間】ニュー・アレンジ・コレクション Vol.5　喜歌劇「伯爵夫人マリツァ」セレクション　陸上自衛隊中央音楽隊　New Arrangement Collection Vol.5【吹奏楽 CD】BOCD-7183,,"＜国内盤＞<br>
収録曲：<br>
1.喜歌劇「伯爵夫人マリツァ」セレクション／カールマン（arr.鈴木英史）<br>
2.歌劇「イーゴリ公」よりポーロヴェツ人の踊り／ボロディン（arr.黒川圭一）<br>
3.歌劇「はかなき人生」セレクション／ファリャ（arr.森田一浩）<br>
4.喜歌劇「軽騎兵」序曲／スッペ（arr.中橋愛生）<br>
5.歌劇「トゥーランドット」より／プッチーニ（arr.後藤洋）<br>
6.ラシーヌ賛歌／フォーレ（arr.鈴木英史）<br>
7.楽劇「ニュルンベルクのマイスタージンガー」セレクション／ワーグナー（arr.森田一浩）",【お取り寄せします　約5日間】ニュー・アレンジ・コレクション Vol.5　喜歌劇「伯爵夫人マリツァ」セレクション　陸上自衛隊中央音楽隊　New Arrangement Collection Vol.5【吹奏楽 CD】BOCD-7183：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい【お取り寄せします　約5日間】ニュー・アレンジ・コレクション Vol.5　喜歌劇「伯爵夫人マリツァ」セレクション　陸上自衛隊中央音楽隊　New Arrangement Collection Vol.5【吹奏楽 CD】BOCD-7183,【お取り寄せします　約5日間】ニュー・アレンジ・コレクション Vol.5　喜歌劇「伯爵夫人マリツァ」セレクション　陸上自衛隊中央音楽隊　New Arrangement Collection Vol.5【吹奏楽 CD】BOCD-7183[rn]
17-150057,http://tshop.r10s.jp/bandpower/cabinet/02/cd-1465.jpg?fitin=700:700,1837.6000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,吹奏楽ベスト・セレクションズ～ダブリン・ダンス Dublin Dances：Best Selections for Concert Band【吹奏楽 CD】DHR 02-042-3,,"＜輸入盤＞<br>
収録曲：<br>
1. ガリレオ／ドス【6：12】<br>
2. ダブリン・ダンシズ／ヴァンデルロースト【8：16】<br>
3. アンダルシア／田中久美子【4：54】<br>
4. オリンピック・セレブレーション／バックリィ【7：11】<br>
5. プッチーニ・ハイライツ／プッチーニ(arr.ヴァンデルベーク)【9：13】<br>
6. フィールズ／デハーン【9：18】<br>
8. コール・オブ・ザ・クランス／ホーベン【9：33】<br>
13. キャンディマン／アギレラ（arr.スハールス）【3：38】 <br>
ほか",吹奏楽ベスト・セレクションズ～ダブリン・ダンス Dublin Dances：Best Selections for Concert Band【吹奏楽 CD】DHR 02-042-3：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい吹奏楽ベスト・セレクションズ～ダブリン・ダンス Dublin Dances：Best Selections for Concert Band【吹奏楽 CD】DHR 02-042-3,吹奏楽ベスト・セレクションズ～ダブリン・ダンス Dublin Dances：Best Selections for Concert Band【吹奏楽 CD】DHR 02-042-3[rn]
17-150058,http://tshop.r10s.jp/bandpower/cabinet/02/cdi-0071.jpg?fitin=700:700,2133.6000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,【お取り寄せします　約3-5日間】CAFUAセレクション2008　吹奏楽コンクール自由曲選「バンドのための民話」【吹奏楽 CD】CACG-0110,,"★注意！必ずご一読の上、ご購入下さい★<br>
<br>
※こちらの商品はお取り寄せ対応商品です。<br>
<br>
当店に在庫はございませんので、商品のお届けは商品が当店に入荷した後になります。<br>
決済後、おおよそで、商品名欄に記載の日数がかかりますので、ご注意ください。<br>
<br>
※取り寄せ商品と通常商品を同時にご注文されますと、<br>
お届けは商品入荷後の一括発送になりますのでご注意ください。<br>
<br>
※タイミングによってメーカー・出版社にて完売、廃盤の場合はご容赦ください。<br>
<br>
通常商品を別途お求めご希望の場合は、<br>
取り寄せ商品のみを購入後（決済終了後）再度、別注文としてお買い求めください。<br><br><br>
<p>・演奏団体：航空自衛隊西部航空音楽隊(Japan Air Self Defense Force Western Air Band)<br>
  ・指揮者：加養浩幸(Hiroyuki Kayo)、浦川 薫 音楽隊長(Kaoru Urakawa)<br>
  <br>
  ・発売元：CAFUA<br>
  <br>
  ※2008年1月30、31日：福岡・春日市ふれあい文化センター スプリングホールにて収録</p>
<p>1. <font color=""#000099"">序曲「謝肉祭」 ／アントニン・ドヴォルザーク(arr.鈴木英史)</font> 【9：36】Gr.5<br>
  　　 “CARNIVAL” Overture／Antonin Dvorak(arr.Eiji Suzuki) <br>
  <br>
  2. <font color=""#000099"">「GR」シンフォニック・セレクション (中編成版)／天野正道</font> 【11：49】Gr.4+<br>
  　　 「GR」 Selection for Medium Formation／Masamicz Amano<br>
  <br>
  3. <font color=""#000099"">バンドのための民話＜小編成対応＞／ジム・アンディ・コーディル</font> 【5：41】Gr.2+<br>
  　　 Forklore for Band／Jim Andy Caudill</p>
<p>　　　楽譜セット購入⇒（吹奏楽）</p>
<p>4. <font color=""#000099"">クラーク・カウンティ・セレブレーション＜小編成対応＞／ジェイムズ・スウェアリンジェン</font> 
  【4：44】Gr.2<br>
  　　 Clark County Celebration／James Swearingen</p>

<p>　　　楽譜セット購入⇒（吹奏楽）</p>
<p> 5. <font color=""#000099"">スター・ウォーズ／ジョン・ウィリアムズ(tran.スティーヴン・ブラ)</font> 【5：31】Gr.5<br>
  　　 STAR WARS／John Williams(tran.Stephen Bulla)<br>
  <br>
  6. <font color=""#000099"">スネーク川の冒険＜小編成対応＞／コリン・J. ブライエン</font> 【3：18】Gr.1+<br>
  　　 Adventure on Snake River／Colin J. Brien</p>
<p>　　　楽譜セット購入⇒（吹奏楽）</p>
<p>7. <font color=""#000099"">ブロードウェイの開幕＜小編成対応＞／(arr.マイケル・ブラウン)</font> 【5：55】Gr.3+<br>
  　　 Opening Night on Broadway／(arr.Michael Brown)<br>
  <br>
  8. <font color=""#000099"">トム・ティット・トット＜小編成対応＞／樽屋雅徳</font> 【6：37】Gr.3+<br>
  　　 Tom Tit Tot／Masanori Taruya<br>
  <br>
  9. <font color=""#000099"">懐かしいケンタッキーの歌＜小編成対応＞／ブラント・キャリック</font> 【6：00】Gr.2+<br>
  　　 Songs of Old Kentucky／Brant Karrick</p>
<p>　　　楽譜セット購入⇒（吹奏楽）</p>
  
<p>10. <font color=""#000099"">プリオシンコーストの幻想／福島弘和</font> 【6：29】Gr.3+<br>
  　　 The Memory of Pliocene Coast／Hirokazu Fukushima<br>
  <br>
  11. <font color=""#000099"">失われた地への哀歌＜小編成対応＞／ロバート・シェルドン</font> 【4：38】Gr.3<br>
  　　 Requiem to a Land Forgotten／Robert Sheldon<br>
</p>

<p>12. <font color=""#000099"">ノーブル・エレメント／ティモシー・マー</font> 【7：41】Gr.5+<br>
  　　 Noble Element／Timothy Mahr </p>
<p>　　　楽譜セット購入⇒（吹奏楽）</p>",【お取り寄せします　約3-5日間】CAFUAセレクション2008　吹奏楽コンクール自由曲選「バンドのための民話」【吹奏楽 CD】CACG-0110：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい【お取り寄せします　約3-5日間】CAFUAセレクション2008　吹奏楽コンクール自由曲選「バンドのための民話」【吹奏楽 CD】CACG-0110,【お取り寄せします　約3-5日間】CAFUAセレクション2008　吹奏楽コンクール自由曲選「バンドのための民話」【吹奏楽 CD】CACG-0110[rn]
17-150059,http://tshop.r10s.jp/bandpower/cabinet/03/cd-1489.jpg?fitin=700:700,1904.8000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,【お取り寄せします　約5日間】小編成レパートリーコレクション Vol.1 「サンデー・マーケット」　フィルハーモニック・ウインズ 大阪【吹奏楽 CD】BOCD-7185,,"★注意！必ずご一読の上、ご購入下さい★<br>
<br>
※こちらの商品はお取り寄せ対応商品です。<br>
<br>
当店に在庫はございませんので、商品のお届けは商品が当店に入荷した後になります。<br>
決済後、おおよそで、商品名欄に記載の日数がかかりますので、ご注意ください。<br>
<br>
※取り寄せ商品と通常商品を同時にご注文されますと、<br>
お届けは商品入荷後の一括発送になりますのでご注意ください。<br>
<br>
※タイミングによってメーカー・出版社にて完売、廃盤の場合はご容赦ください。<br>
<br>
通常商品を別途お求めご希望の場合は、<br>
取り寄せ商品のみを購入後（決済終了後）再度、別注文としてお買い求めください。<br>
<br>
<br>
■収録曲：<br>
<br>
1. 春に寄せて　～風は光り、春はひらめく～／福島弘和【7：13】<br>
2. サンデー・マーケット／高橋伸哉【7：17】<br>
3. ハンガリーの風景／ベラ・バルトーク（arr.黒川圭一）【12：01】<br>
4. 喜歌劇「メリー・ウィドウ」セレクション（小編成版）／レハール（arr.鈴木英史）【9：15】<br>
5. 吹奏楽のための音詩「輝きの海へ」（小編成版）／八木澤教司【7：04】<br>
6. ポロヌプ（大原野）／酒井格【6：11】<br>
7. ケルト民謡による組曲（小編成版）／ケルト民謡（arr.建部知弘）【9：26】",【お取り寄せします　約5日間】小編成レパートリーコレクション Vol.1 「サンデー・マーケット」　フィルハーモニック・ウインズ 大阪【吹奏楽 CD】BOCD-7185：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい【お取り寄せします　約5日間】小編成レパートリーコレクション Vol.1 「サンデー・マーケット」　フィルハーモニック・ウインズ 大阪【吹奏楽 CD】BOCD-7185,【お取り寄せします　約5日間】小編成レパートリーコレクション Vol.1 「サンデー・マーケット」　フィルハーモニック・ウインズ 大阪【吹奏楽 CD】BOCD-7185[rn]
17-150060,http://tshop.r10s.jp/bandpower/cabinet/03/cd-1546.jpg?fitin=700:700,1904.8000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,【お取り寄せします　約7日間】碧き宇宙―生命の雫　ウインドアート・ニュー・コレクション2008　Blue Outer Space - Droplet Of Life【吹奏楽 CD】WACD-0003,,"★注意！必ずご一読の上、ご購入下さい★<br>
<br>
※こちらの商品はお取り寄せ対応商品です。<br>
<br>
当店に在庫はございませんので、商品のお届けは商品が当店に入荷した後になります。<br>
決済後、おおよそで、商品名欄に記載の日数がかかりますので、ご注意ください。<br>
<br>
※取り寄せ商品と通常商品を同時にご注文されますと、<br>
お届けは商品入荷後の一括発送になりますのでご注意ください。<br>
<br>
※タイミングによってメーカー・出版社にて完売、廃盤の場合はご容赦ください。<br>
<br>
通常商品を別途お求めご希望の場合は、<br>
取り寄せ商品のみを購入後（決済終了後）再度、別注文としてお買い求めください。<br>
<br>
<br>
1. 「ホワイト・パスポート」／八木澤教司【8：49】<br>
2. 「虚無僧アティテュード」／今村光貴【8：28】<br>
3. 組曲「星へのきざはし　第２部」／櫛田朕之扶【14：07】 <br>      
4. 「SYMPHONIC NOSTALGIA」(交響的郷愁) ／鍋嶋　豊【5：53】<br>
5. 「雅」～よみがえる万葉之舞～／菊一旭大【8：12】<br>
6. 「吹奏楽のためのエッセイ」／福島弘和【9：28】　<br>
7. 「勝利の女神」／神長一康【6：20】<br>
8. 「グランドパッセンジャー」／高橋宏樹【7：18】<br>
9. 「碧き宇宙―生命の雫」／八木澤教司【8：27】",【お取り寄せします　約7日間】碧き宇宙&mdash;生命の雫　ウインドアート・ニュー・コレクション2008　Blue Outer Space - Droplet Of Life【吹奏楽 CD】WACD-0003：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい【お取り寄せします　約7日間】碧き宇宙&mdash;生命の雫　ウインドアート・ニュー・コレクション2008　Blue Outer Space - Droplet Of Life【吹奏楽 CD】WACD-0003,【お取り寄せします　約7日間】碧き宇宙&mdash;生命の雫　ウインドアート・ニュー・コレクション2008　Blue Outer Space - Droplet Of Life【吹奏楽 CD】WACD-0003[rn]
17-150061,http://tshop.r10s.jp/bandpower/cabinet/04/cd-1768.jpg?fitin=700:700,1904.8000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,【お取り寄せします　約5日間】小編成レパートリーコレクションvol.2　マ・メール・ロワ　尚美ウインドオーケストラ【吹奏楽 CD】BOCD-7195,,"<p>※タイミングによってメーカー・出版社にて完売、廃盤の場合はご容赦ください。<br>※取り寄せ商品と通常商品を同時にご注文されますと、お届けは商品入荷後の一括発送になりますのでご注意ください。</p>
国内盤<br />
  ■収録曲：<br />
  1. マ・メール・ロワ／ラヴェル<br />
  2. Jalan-jalan ～神々の島の幻影～（小編成版）／高橋伸哉　<br />
  3. カルメン・ファンタジー／ビゼー（arr.鈴木英史)<br />
  4. ルーマニア民族舞曲／バルトーク（arr.後藤洋)<br />
  5. ストラクチュアII／天野正道<br />
  6. プリマヴェーラ（小編成版）／八木澤教司 <br />
  7. 星の天使／福島弘和<br />
  8. 華円舞／福田洋介",【お取り寄せします　約5日間】小編成レパートリーコレクションvol.2　マ・メール・ロワ　尚美ウインドオーケストラ【吹奏楽 CD】BOCD-7195：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいい【お取り寄せします　約5日間】小編成レパートリーコレクションvol.2　マ・メール・ロワ　尚美ウインドオーケストラ【吹奏楽 CD】BOCD-7195,【お取り寄せします　約5日間】小編成レパートリーコレクションvol.2　マ・メール・ロワ　尚美ウインドオーケストラ【吹奏楽 CD】BOCD-7195[rn]
17-150062,http://tshop.r10s.jp/bandpower/cabinet/05/cd-1791.jpg?fitin=700:700,1904.8000,,CD・DVD・楽器 > CD > クラシック > 吹奏楽,コンクール自由曲ベストアルバム 1　「ロメオとジュリエット」　海上自衛隊東京音楽隊【吹奏楽 / コンクール CD】FMCD-0001,,"<p>■収録曲：<br>
  <br>
  1. ペドロの奇跡の夜／樽屋雅徳<br>
2. ファースト・タイム・オンリー／石毛里佳<br>
3. 祝典序曲「祈りは翼となって」／井澗昌樹<br>
4. 組曲「ロメオとジュリエット」より／S.プロコフィエフ（arr.鈴木英史）<br>
5. Ｓｈａｆｔ～一筋の光～／成田勤<br>
6. ニューヨークのロマンス／清水大輔<br>
7. オン・ザ・パーム・アヴェニュー／星出尚志<br>
8. ル・ポルトレ・ドュン・ファミィユ／天野正道<br>
9. 繭の夢～竜の舞う空～／福島弘和<br>
10. 歌劇「シチリア島の夕べの祈り 」序曲（抜粋）／G.ヴェルディ（arr.木村吉宏）</p>",コンクール自由曲ベストアルバム 1　「ロメオとジュリエット」　海上自衛隊東京音楽隊【吹奏楽 / コンクール CD】FMCD-0001：吹奏楽専門ショップ～Band Power～,吹奏楽金管バンドブラスバンド管楽器CDDVD楽譜スコアBlu-rayフレックスフレキシブルアンサンブルマーチングコンクール輸入試聴送料無料小編成自由曲かっこいいコンクール自由曲ベストアルバム 1　「ロメオとジュリエット」　海上自衛隊東京音楽隊【吹奏楽 / コンクール CD】FMCD-0001,コンクール自由曲ベストアルバム 1　「ロメオとジュリエット」　海上自衛隊東京音楽隊【吹奏楽 / コンクール CD】FMCD-0001[rn]
