17-121599,http://tshop.r10s.jp/setomonoya-misaden/cabinet/02658389/noritake1/94854c_1655.jpg?fitin=700:700,1200.0000,,キッチン用品・食器・調理器具 > 和食器 > 茶道具・湯呑・急須 > 湯呑み,ノリタケ　シェール ブランジャパニーズカップ,オールドノリタケのエレガンスを「今」に受け継いだ白い食器,"普段の食卓で毎日でも使っていただけるように、和洋中どんな料理にも合うシンプルで飽きのこないデザインで、食器洗浄機や電子レンジにも対応しています。
さらに、美しい純白や柔和な表情を持つフォルムによって上質感にもあふれており、大切な客様のおもてなしとしてもお使いいただけます。
※サイズ／口径：約8.4cm、高さ：約5.8cm、重量：約71g、容量：約155cc
※材質 ／ ファインポーセレン ※電子レンジ可能",ノリタケ　シェール ブランジャパニーズカップ ：せともの屋みさ伝,ノリタケ　シェール ブランジャパニーズカップ,オールドノリタケのエレガンスを「今」に受け継いだ白い食器。ノリタケ　シェール ブランジャパニーズカップ[rn]
17-121675,http://tshop.r10s.jp/prokitchen/cabinet/iittala-tb-teema/ii016452_3.jpg?fitin=700:700,1040.0000,,キッチン用品・食器・調理器具 > 洋食器 > 中皿,【エントリーでポイント5倍】イッタラ　ティーマ　プレート　21cm　ホワイト　/　iittala　TEEMA,,"サイズ：約 直径21.5×高さ3.0cm<br>
材質： 磁器<br>
デザイン：カイ・フランク （Kaj Franck）<br>
仕様：オーブン・電子レンジ・フリーザー・食洗機　使用可<br>
<br>
1981年、従来の食器の考え方を否定し、単純でベーシックなものにしようと製作されたTEEMAシリーズ。",【エントリーでポイント5倍】イッタラ　ティーマ　プレート　21cm　ホワイト　/　iittala　TEEMA：プロキッチン,イッタラマリメッコアラビアARABIAiittala白山陶器クチポールmarimekko倉敷意匠cutipolWECKウェックレデッカームーミン中川政七商店山田工業所ストウブアルメダールス北欧食器プロキッチン【エントリーでポイント5倍】イッタラ　ティーマ　プレート　21cm　ホワイト　/　iittala　TEEMA,【エントリーでポイント5倍】イッタラ　ティーマ　プレート　21cm　ホワイト　/　iittala　TEEMA[rn]
17-121676,http://tshop.r10s.jp/prokitchen/cabinet/iittala-tb-teema/ii016252_3.jpg?fitin=700:700,1200.0000,,キッチン用品・食器・調理器具 > 洋食器 > 中皿,【エントリーでポイント5倍】イッタラ　ティーマ　プレート　21cm　ターコイズ　/　iittala　TEEMA,2017年4月16日10時から販売/,"サイズ：約 直径21.5×高さ3.0cm<br>
材質： 磁器<br>
デザイン：カイ・フランク （Kaj Franck）<br>
仕様：オーブン・電子レンジ・フリーザー・食洗機　使用可<br>
<br>
1981年、従来の食器の考え方を否定し、単純でベーシックなものにしようと製作されたTEEMAシリーズ。",【エントリーでポイント5倍】イッタラ　ティーマ　プレート　21cm　ターコイズ　/　iittala　TEEMA：プロキッチン,イッタラマリメッコアラビアARABIAiittala白山陶器クチポールmarimekko倉敷意匠cutipolWECKウェックレデッカームーミン中川政七商店山田工業所ストウブアルメダールス北欧食器プロキッチン【エントリーでポイント5倍】イッタラ　ティーマ　プレート　21cm　ターコイズ　/　iittala　TEEMA,2017年4月16日10時から販売/。【エントリーでポイント5倍】イッタラ　ティーマ　プレート　21cm　ターコイズ　/　iittala　TEEMA[rn]
17-121677,http://tshop.r10s.jp/prokitchen/cabinet/iittala-tb-teema/ii016232_1.jpg?fitin=700:700,1200.0000,,キッチン用品・食器・調理器具 > 洋食器 > 中皿,【エントリーでポイント5倍】イッタラ　ティーマ　プレート　21cm　パールグレー　/　iittala　TEEMA,,"サイズ：約 直径21.5×高さ3.0cm<br>
材質： 磁器<br>
デザイン：カイ・フランク （Kaj Franck）<br>
仕様：オーブン・電子レンジ・フリーザー・食洗機　使用可<br>",【エントリーでポイント5倍】イッタラ　ティーマ　プレート　21cm　パールグレー　/　iittala　TEEMA：プロキッチン,イッタラマリメッコアラビアARABIAiittala白山陶器クチポールmarimekko倉敷意匠cutipolWECKウェックレデッカームーミン中川政七商店山田工業所ストウブアルメダールス北欧食器プロキッチン【エントリーでポイント5倍】イッタラ　ティーマ　プレート　21cm　パールグレー　/　iittala　TEEMA,【エントリーでポイント5倍】イッタラ　ティーマ　プレート　21cm　パールグレー　/　iittala　TEEMA[rn]
17-121678,http://tshop.r10s.jp/prokitchen/cabinet/iittala-tb-teema/ii365786_3.jpg?fitin=700:700,1200.0000,,キッチン用品・食器・調理器具 > 洋食器 > 中皿,【エントリーでポイント5倍】イッタラ　ティーマ　プレート　21cm　ライトブルー　/　iittala　TEEMA,次回入荷未定/,"<table  border=""0"" cellspacing=""0"" cellpadding=""0"">
  <tr>
    <td> <img src=""http://image.rakuten.co.jp/prokitchen/cabinet/iittala-tb-teema/ii365786_3.jpg"" width=""100%"" /></td>
  </tr>
</table>
<br />

<b>ちょうど良いサイズ感
</b><br /><br />

カイ・フランクによってデザインされたティーマは北欧らしいカラーと気軽に使いまわせる機能性を併せ持つ人気のテーブルウェア。そのティーマから2016年の新色「ライトブルー」が届きました。ライトブルーはパステル系の優しい水色で、パールグレーやセラドングリーンと同じような雰囲気があります。雲ひとつない澄んだ青空を連想させる爽やかな色味ですよ。<br>料理を盛り付けるとき、いちばん使い勝手が良いサイズがこの21cmですね。メインの料理を盛り付けたり、パンとサラダを盛り付けたり、と大活躍！立ち上がりがあるので汁気のある料理もOKですよ。
<br>
<br>


<hr>

<br>
サイズ（目安）：φ21.5×H3.0cm
<br>
<br>
重量（目安）：494g
<br>
<br>
材質：磁器
<br>
<br>
オーブン・電子レンジ・フリーザー・食洗機　使用可<br>
<hr>

■取扱の注意<br><br>
・本体にシールが貼ってある場合は必ずはがしてからご使用ください。<br> 
・初めてご使用になる時は、食器用洗剤を付けてスポンジ等でよく洗ってください。<br>
・衝撃や急熱、急冷でヒビワレやカケが発生することがありますので、ご注意ください。<br>
・金属タワシ、研磨剤付ナイロンタワシやクレンザーはご使用にならないでください。表面にキズがつく恐れがあります。",【エントリーでポイント5倍】イッタラ　ティーマ　プレート　21cm　ライトブルー　/　iittala　TEEMA：プロキッチン,イッタラマリメッコアラビアARABIAiittala白山陶器クチポールmarimekko倉敷意匠cutipolWECKウェックレデッカームーミン中川政七商店山田工業所ストウブアルメダールス北欧食器プロキッチン【エントリーでポイント5倍】イッタラ　ティーマ　プレート　21cm　ライトブルー　/　iittala　TEEMA,次回入荷未定/。【エントリーでポイント5倍】イッタラ　ティーマ　プレート　21cm　ライトブルー　/　iittala　TEEMA[rn]
17-121679,http://tshop.r10s.jp/prokitchen/cabinet/iittala-tb-teema/ii007245_1.jpg?fitin=700:700,1200.0000,,キッチン用品・食器・調理器具 > 洋食器 > 中皿,【エントリーでポイント5倍】イッタラ　ティーマ　プレート　23cm　ホワイト　/　iittala　TEEMA,次回入荷未定/,"サイズ：約φ23.5（内径18.0）×H3.0cm<br>
重量：約570g<br>
材質： 磁器<br>
デザイン：カイ・フランク （Kaj Franck）<br>
仕様：オーブン・電子レンジ・フリーザー・食洗機　使用可<br>
<br>
以前、販売されていたプレート23cmが期間限定で復刻！「持っていたけど、一枚割っちゃったー。」「21cmじゃ小さいし、26cmじゃ大きいし。。。」なんて方にオススメです。",【エントリーでポイント5倍】イッタラ　ティーマ　プレート　23cm　ホワイト　/　iittala　TEEMA：プロキッチン,イッタラマリメッコアラビアARABIAiittala白山陶器クチポールmarimekko倉敷意匠cutipolWECKウェックレデッカームーミン中川政七商店山田工業所ストウブアルメダールス北欧食器プロキッチン【エントリーでポイント5倍】イッタラ　ティーマ　プレート　23cm　ホワイト　/　iittala　TEEMA,次回入荷未定/。【エントリーでポイント5倍】イッタラ　ティーマ　プレート　23cm　ホワイト　/　iittala　TEEMA[rn]
17-121680,http://tshop.r10s.jp/prokitchen/cabinet/iittala-tb-origo/ii201851_1.jpg?fitin=700:700,1200.0000,,キッチン用品・食器・調理器具 > 洋食器 > 中皿,【エントリーでポイント5倍】イッタラ　オリゴ　プレート　20cm　オレンジ　/　iittala　Origo,,"サイズ：約  直径 20.0cm<br>
材質： 磁器<br>
デザイン：アルフレッド・ハベリ （Alfredo Haberli）<br>
仕様：電子レンジ・食洗機・オーブン　使用可<br>
 オリゴは各国のハイセンスなセレクトショップなどで人気を呼んでおり、数々のデザイン賞を受賞しています。

     <br>
     色使いは大胆ですが、そこはさすがiittala！滑らかな質感と絶妙な配色で、どこか品のある仕上がりとなっています。お手持ちの白磁のテーブルウエアと組み合わせてお使いになってみてはいかがですか？見慣れた食卓が、ググッと新鮮な印象になるはず。<br>
     <br>
     <font color=""#FF0000"">※製造上ストライプつなぎ部分のズレ、色ムラが見られる場合がございます。このような現象につきましては商品の製造工程および品質上の「仕様」であって「傷・破損」扱いにはなりません。返品・交換の対象となりませんので、予めご了承のうえご注文ください。     </font>",【エントリーでポイント5倍】イッタラ　オリゴ　プレート　20cm　オレンジ　/　iittala　Origo：プロキッチン,イッタラマリメッコアラビアARABIAiittala白山陶器クチポールmarimekko倉敷意匠cutipolWECKウェックレデッカームーミン中川政七商店山田工業所ストウブアルメダールス北欧食器プロキッチン【エントリーでポイント5倍】イッタラ　オリゴ　プレート　20cm　オレンジ　/　iittala　Origo,【エントリーでポイント5倍】イッタラ　オリゴ　プレート　20cm　オレンジ　/　iittala　Origo[rn]
17-121681,http://tshop.r10s.jp/prokitchen/cabinet/iittala-tb-origo/ii201911_1.jpg?fitin=700:700,1200.0000,,キッチン用品・食器・調理器具 > 洋食器 > 中皿,【エントリーでポイント5倍】イッタラ　オリゴ　プレート　20cm　ベージュ　/　iittala　Origo,,"サイズ：約  直径 20.0cm<br>
材質： 磁器<br>
デザイン：アルフレッド・ハベリ （Alfredo Haberli）<br>
仕様：電子レンジ・食洗機・オーブン　使用可<br>
 オリゴは各国のハイセンスなセレクトショップなどで人気を呼んでおり、数々のデザイン賞を受賞しています。

     <br>
     色使いは大胆ですが、そこはさすがiittala！滑らかな質感と絶妙な配色で、どこか品のある仕上がりとなっています。お手持ちの白磁のテーブルウエアと組み合わせてお使いになってみてはいかがですか？見慣れた食卓が、ググッと新鮮な印象になるはず。<br>
     <br>
     <font color=""#FF0000"">※製造上ストライプつなぎ部分のズレ、色ムラが見られる場合がございます。このような現象につきましては商品の製造工程および品質上の「仕様」であって「傷・破損」扱いにはなりません。返品・交換の対象となりませんので、予めご了承のうえご注文ください。     </font>",【エントリーでポイント5倍】イッタラ　オリゴ　プレート　20cm　ベージュ　/　iittala　Origo：プロキッチン,イッタラマリメッコアラビアARABIAiittala白山陶器クチポールmarimekko倉敷意匠cutipolWECKウェックレデッカームーミン中川政七商店山田工業所ストウブアルメダールス北欧食器プロキッチン【エントリーでポイント5倍】イッタラ　オリゴ　プレート　20cm　ベージュ　/　iittala　Origo,【エントリーでポイント5倍】イッタラ　オリゴ　プレート　20cm　ベージュ　/　iittala　Origo[rn]
17-121682,http://tshop.r10s.jp/prokitchen/cabinet/iittala-tb-origo/ii018786_3.jpg?fitin=700:700,1700.0000,,キッチン用品・食器・調理器具 > 洋食器 > 中皿,【エントリーでポイント5倍】イッタラ　オリゴ　プレート　20cm　グリーン　/　iittala　Origo,イッタラ/オリゴ/　在庫限り,"サイズ（目安）：φ20×H2.0cm<br>
重量（目安）：290g<br>
材質： 磁器<br>
デザイン：アルフレッド・ハベリ （Alfredo Haberli）<br>
仕様：電子レンジ・食洗機・オーブン　使用可<br>
スタッフのおすすめポイント：グリーンベースのストライプ柄はテーブルを優しい雰囲気にしてくれそうですね。メイン料理を盛りつけたり、ケーキなどのスイーツをのせるとお洒落なカフェ風に！取り皿として便利なサイズです。 
<br><br>
 
     <font color=""#FF0000"">※製造上ストライプつなぎ部分のズレ、色ムラが見られる場合がございます。このような現象につきましては商品の製造工程および品質上の「仕様」であって「傷・破損」扱いにはなりません。返品・交換の対象となりませんので、予めご了承のうえご注文ください。     </font>",【エントリーでポイント5倍】イッタラ　オリゴ　プレート　20cm　グリーン　/　iittala　Origo：プロキッチン,イッタラマリメッコアラビアARABIAiittala白山陶器クチポールmarimekko倉敷意匠cutipolWECKウェックレデッカームーミン中川政七商店山田工業所ストウブアルメダールス北欧食器プロキッチン【エントリーでポイント5倍】イッタラ　オリゴ　プレート　20cm　グリーン　/　iittala　Origo,イッタラ/オリゴ/　在庫限り。【エントリーでポイント5倍】イッタラ　オリゴ　プレート　20cm　グリーン　/　iittala　Origo[rn]
17-121683,http://tshop.r10s.jp/prokitchen/cabinet/iittala-tb-etc/ii500495_1.jpg?fitin=700:700,1920.0000,,キッチン用品・食器・調理器具 > 洋食器 > 中皿,【エントリーでポイント5倍】イッタラ　タイカ　フラットプレート　22cm　ホワイト　/　iittala　Taika,,"サイズ：約φ225×H150mm　内径φ145mm<br>
材質：磁器<br>
デザイン：ヘイッキ・オルボラ （Heikki Orvola）<br>
パターンデザイン：クラウス・ハーパニエミ（Klaus Haapaniemi）<br>
仕様：オーブン・電子レンジ・フリーザー・食洗機　使用可<br>
<br>
2006年にiittalaより発売された「Aika（アイカ）」にイギリスやフィンランドで活躍するイラストレーター・クラウス・ハーバニエミがデザインした動物や木々が鮮やかに描かれた「Taika（タイカ）」シリーズ。<br>細かく繊細なパターンと絶妙なグラデーションを駆使したイラストはずっと手元に置いておきたくなる商品ですね。落ち着いた色使いなので、大人の遊び心を満たしてくれるシリーズです。<br><br><font color=""#FF0000"">※磁器などには、製造上どうしてもできてしまうポッチや小さな傷が見られる場合がございます。特に海外輸入製品においては昔ながらの手法で作られているものも多く、このような現象につきましては商品の製造工程および品質上の「仕様」であって「傷・破損」扱いにはなりません。返品・交換の対象となりませんので予めご了承のうえご注文ください。</font>",【エントリーでポイント5倍】イッタラ　タイカ　フラットプレート　22cm　ホワイト　/　iittala　Taika：プロキッチン,イッタラマリメッコアラビアARABIAiittala白山陶器クチポールmarimekko倉敷意匠cutipolWECKウェックレデッカームーミン中川政七商店山田工業所ストウブアルメダールス北欧食器プロキッチン【エントリーでポイント5倍】イッタラ　タイカ　フラットプレート　22cm　ホワイト　/　iittala　Taika,【エントリーでポイント5倍】イッタラ　タイカ　フラットプレート　22cm　ホワイト　/　iittala　Taika[rn]
17-121684,http://tshop.r10s.jp/prokitchen/cabinet/iittala-tb-etc/ii500496_1.jpg?fitin=700:700,1920.0000,,キッチン用品・食器・調理器具 > 洋食器 > 中皿,【エントリーでポイント5倍】イッタラ　タイカ　フラットプレート　22cm　ブルー　/　iittala　Taika,,"サイズ：約φ225×H150mm　内径φ145mm<br>
材質：磁器<br>
デザイン：ヘイッキ・オルボラ （Heikki Orvola）<br>
パターンデザイン：クラウス・ハーパニエミ（Klaus Haapaniemi）<br>
仕様：オーブン・電子レンジ・フリーザー・食洗機　使用可<br>
<br>
2006年にiittalaより発売された「Aika（アイカ）」にイギリスやフィンランドで活躍するイラストレーター・クラウス・ハーバニエミがデザインした動物や木々が鮮やかに描かれた「Taika（タイカ）」シリーズ。<br>細かく繊細なパターンと絶妙なグラデーションを駆使したイラストはずっと手元に置いておきたくなる商品ですね。落ち着いた色使いなので、大人の遊び心を満たしてくれるシリーズです。<br><br><font color=""#FF0000"">※磁器などには、製造上どうしてもできてしまうポッチや小さな傷が見られる場合がございます。特に海外輸入製品においては昔ながらの手法で作られているものも多く、このような現象につきましては商品の製造工程および品質上の「仕様」であって「傷・破損」扱いにはなりません。返品・交換の対象となりませんので予めご了承のうえご注文ください。</font>",【エントリーでポイント5倍】イッタラ　タイカ　フラットプレート　22cm　ブルー　/　iittala　Taika：プロキッチン,イッタラマリメッコアラビアARABIAiittala白山陶器クチポールmarimekko倉敷意匠cutipolWECKウェックレデッカームーミン中川政七商店山田工業所ストウブアルメダールス北欧食器プロキッチン【エントリーでポイント5倍】イッタラ　タイカ　フラットプレート　22cm　ブルー　/　iittala　Taika,【エントリーでポイント5倍】イッタラ　タイカ　フラットプレート　22cm　ブルー　/　iittala　Taika[rn]
17-121685,http://tshop.r10s.jp/prokitchen/cabinet/iittala-tb-etc/ii500691_1.jpg?fitin=700:700,1920.0000,,キッチン用品・食器・調理器具 > 洋食器 > 中皿,【エントリーでポイント5倍】イッタラ　タイカ　フラットプレート　22cm　ブラック　/　iittala　Taika,,"サイズ：約φ225×H150mm　内径φ145mm<br>
材質：磁器<br>
デザイン：ヘイッキ・オルボラ （Heikki Orvola）<br>
パターンデザイン：クラウス・ハーパニエミ（Klaus Haapaniemi）<br>
仕様：オーブン・電子レンジ・フリーザー・食洗機　使用可<br>
<br>
2006年にiittalaより発売された「Aika（アイカ）」にイギリスやフィンランドで活躍するイラストレーター・クラウス・ハーバニエミがデザインした動物や木々が鮮やかに描かれた「Taika（タイカ）」シリーズ。<br>細かく繊細なパターンと絶妙なグラデーションを駆使したイラストはずっと手元に置いておきたくなる商品ですね。落ち着いた色使いなので、大人の遊び心を満たしてくれるシリーズです。<br><br><font color=""#FF0000"">※磁器などには、製造上どうしてもできてしまうポッチや小さな傷が見られる場合がございます。特に海外輸入製品においては昔ながらの手法で作られているものも多く、このような現象につきましては商品の製造工程および品質上の「仕様」であって「傷・破損」扱いにはなりません。返品・交換の対象となりませんので予めご了承のうえご注文ください。</font>",【エントリーでポイント5倍】イッタラ　タイカ　フラットプレート　22cm　ブラック　/　iittala　Taika：プロキッチン,イッタラマリメッコアラビアARABIAiittala白山陶器クチポールmarimekko倉敷意匠cutipolWECKウェックレデッカームーミン中川政七商店山田工業所ストウブアルメダールス北欧食器プロキッチン【エントリーでポイント5倍】イッタラ　タイカ　フラットプレート　22cm　ブラック　/　iittala　Taika,【エントリーでポイント5倍】イッタラ　タイカ　フラットプレート　22cm　ブラック　/　iittala　Taika[rn]
17-121686,http://tshop.r10s.jp/prokitchen/cabinet/iittala-tb-etc/ii365359_3.jpg?fitin=700:700,1440.0000,,キッチン用品・食器・調理器具 > 洋食器 > 中皿,【エントリーでポイント5倍】【取扱終了0403】イッタラ　サルヤトン　プレート　22cm　レッティ　ホワイト　/　iittala　Sarjaton,在庫限り/,"サイズ（目安）:φ22.0×H2.0cm <br>
重量（目安）:410g<br>
材質:磁器<br>
使用区分:電子レンジ・オーブン・食洗機　使用可<br>
原産国:フィンランド<br>
スタッフのおすすめポイント:柔らかな曲線を持つ繊細な印象のプレートです。リムの部分にはレッティの編み模様がさりげなく見え隠れし、盛り付けた料理を優しく受け止めます。あまり深さはないのですが、少しの汁気なら大丈夫そうですよ。またフラットプレートのようにもお使いいただけます。レッティは「編み込み」の意味。",【エントリーでポイント5倍】【取扱終了0403】イッタラ　サルヤトン　プレート　22cm　レッティ　ホワイト　/　iittala　Sarjaton：プロキッチン,イッタラマリメッコアラビアARABIAiittala白山陶器クチポールmarimekko倉敷意匠cutipolWECKウェックレデッカームーミン中川政七商店山田工業所ストウブアルメダールス北欧食器プロキッチン【エントリーでポイント5倍】【取扱終了0403】イッタラ　サルヤトン　プレート　22cm　レッティ　ホワイト　/　iittala　Sarjaton,在庫限り/。【エントリーでポイント5倍】【取扱終了0403】イッタラ　サルヤトン　プレート　22cm　レッティ　ホワイト　/　iittala　Sarjaton[rn]
17-121687,http://tshop.r10s.jp/prokitchen/cabinet/iittala-tb-etc/ii016806_1.jpg?fitin=700:700,1440.0000,,キッチン用品・食器・調理器具 > 洋食器 > 中皿,【エントリーでポイント5倍】イッタラ　サルヤトン　プレート　22cm　レッティ　パールグレー　/　iittala　Sarjaton,,"サイズ（目安）:φ22.0×H2.0cm <br>
重量（目安）:410g<br>
材質:磁器<br>
使用区分:電子レンジ・オーブン・食洗機　使用可<br>
原産国:フィンランド<br>
スタッフのおすすめポイント:リム部分は柔らかな曲線が描かれ繊細な印象のプレートです。深さはないのですが、少しの汁気なら大丈夫そう。またフラットプレートのようにもお使いいただけます。リム部分に施されたレッティの編み模様がさりげなくも洗練された印象に。盛り付けた料理が美しく見えるプレートです。レッティは「編み込み」の意味。",【エントリーでポイント5倍】イッタラ　サルヤトン　プレート　22cm　レッティ　パールグレー　/　iittala　Sarjaton：プロキッチン,イッタラマリメッコアラビアARABIAiittala白山陶器クチポールmarimekko倉敷意匠cutipolWECKウェックレデッカームーミン中川政七商店山田工業所ストウブアルメダールス北欧食器プロキッチン【エントリーでポイント5倍】イッタラ　サルヤトン　プレート　22cm　レッティ　パールグレー　/　iittala　Sarjaton,【エントリーでポイント5倍】イッタラ　サルヤトン　プレート　22cm　レッティ　パールグレー　/　iittala　Sarjaton[rn]
17-121688,http://tshop.r10s.jp/prokitchen/cabinet/iittala-tb-etc/ii500650_1.jpg?fitin=700:700,3200.0000,,キッチン用品・食器・調理器具 > 洋食器 > 中皿,【エントリーでポイント5倍】【限定】イッタラ　タイカ　フラットプレート　22cm　レッド　/　iittala　Taika,イッタラ/タイカ/　冬季限定生産品　,"サイズ：約φ225×H150mm　内径φ145mm<br>
材質：磁器<br>
デザイン：ヘイッキ・オルボラ （Heikki Orvola）<br>
パターンデザイン：クラウス・ハーパニエミ（Klaus Haapaniemi）<br>
仕様：オーブン・電子レンジ・フリーザー・食洗機　使用可<br>
<br>
2006年にiittalaより発売された「Aika（アイカ）」にイギリスやフィンランドで活躍するイラストレーター・クラウス・ハーバニエミがデザインした動物や木々が鮮やかに描かれた「Taika（タイカ）」シリーズ。<br>細かく繊細なパターンと絶妙なグラデーションを駆使したイラストはずっと手元に置いておきたくなる商品ですね。落ち着いた色使いなので、大人の遊び心を満たしてくれるシリーズです。<br><br><font color=""#FF0000"">※磁器などには、製造上どうしてもできてしまうポッチや小さな傷が見られる場合がございます。特に海外輸入製品においては昔ながらの手法で作られているものも多く、このような現象につきましては商品の製造工程および品質上の「仕様」であって「傷・破損」扱いにはなりません。返品・交換の対象となりませんので予めご了承のうえご注文ください。</font>",【エントリーでポイント5倍】【限定】イッタラ　タイカ　フラットプレート　22cm　レッド　/　iittala　Taika：プロキッチン,イッタラマリメッコアラビアARABIAiittala白山陶器クチポールmarimekko倉敷意匠cutipolWECKウェックレデッカームーミン中川政七商店山田工業所ストウブアルメダールス北欧食器プロキッチン【エントリーでポイント5倍】【限定】イッタラ　タイカ　フラットプレート　22cm　レッド　/　iittala　Taika,イッタラ/タイカ/　冬季限定生産品　。【エントリーでポイント5倍】【限定】イッタラ　タイカ　フラットプレート　22cm　レッド　/　iittala　Taika[rn]
17-121689,http://tshop.r10s.jp/prokitchen/cabinet/arabia-etc/ar008948_1.jpg?fitin=700:700,2584.0000,,キッチン用品・食器・調理器具 > 洋食器 > 中皿,★アラビア　パラティッシ　プレート　16.5cm　/　ARABIA　Paratiisi　【楽ギフ_包装選択】,,サイズ：約 直径165cmxH25mm <br>材質：磁器<br>デザイン：ビルガー・カイピアイネン（Birger Kaipiainen）<br>仕様：オーブン・電子レンジ・フリーザー・食洗機　使用可<br>デザートやパンプレート、取り皿としてマルチにお使いいただけます。,★アラビア　パラティッシ　プレート　16.5cm　/　ARABIA　Paratiisi　【楽ギフ_包装選択】：プロキッチン,イッタラマリメッコアラビアARABIAiittala白山陶器クチポールmarimekko倉敷意匠cutipolWECKウェックレデッカームーミン中川政七商店山田工業所ストウブアルメダールス北欧食器プロキッチン★アラビア　パラティッシ　プレート　16.5cm　/　ARABIA　Paratiisi　【楽ギフ_包装選択】,★アラビア　パラティッシ　プレート　16.5cm　/　ARABIA　Paratiisi　【楽ギフ_包装選択】[rn]
17-121690,http://tshop.r10s.jp/prokitchen/cabinet/arabia-etc/ar008941_1.jpg?fitin=700:700,3120.0000,,キッチン用品・食器・調理器具 > 洋食器 > 中皿,★アラビア　パラティッシ　プレート　21cm　/　ARABIA　Paratiisi,次回入荷未定/,サイズ：約 直径210ｘH28mm<br>材質：磁器<br>デザイン：ビルガー・カイピアイネン（Birger Kaipiainen）<br>仕様：オーブン・電子レンジ・フリーザー・食洗機　使用可<br>普段のお食事にぴったり。スープボウルと重ねても素敵。,★アラビア　パラティッシ　プレート　21cm　/　ARABIA　Paratiisi：プロキッチン,イッタラマリメッコアラビアARABIAiittala白山陶器クチポールmarimekko倉敷意匠cutipolWECKウェックレデッカームーミン中川政七商店山田工業所ストウブアルメダールス北欧食器プロキッチン★アラビア　パラティッシ　プレート　21cm　/　ARABIA　Paratiisi,次回入荷未定/。★アラビア　パラティッシ　プレート　21cm　/　ARABIA　Paratiisi[rn]
17-121691,http://tshop.r10s.jp/prokitchen/cabinet/arabia-etc/ar906678_3.jpg?fitin=700:700,2380.0000,,キッチン用品・食器・調理器具 > 洋食器 > 中皿,【エントリーでポイント5倍】【限定】アラビア　ブラック　パラティッシ　プレート　16.5cm　/　ARABIA　Paratiisi,,"食事のシーンには、みんなでシェアしながら食べるパスタやサラダを取り分けるプレートとして。ティータイムには、シュークリームやケーキを載せるデザートプレートとして、どうぞ♪
大皿は使いこなすのが難しいかな…と言う方はこのサイズはいかが?小さくても存在感はさすが！ですよ。<br><br><hr><br>サイズ（目安）：φ16.5×H2.5cm  <br><br>重量（目安）：259g<br><br>材質：磁器<br><br>使用区分：オーブン・電子レンジ・食洗機 　使用可<br><br>デザイン：ビルガー・カイピアイネン（Birger Kaipiainen）<br><br><hr>
<br>
■ご購入前にご確認ください<br>
          ・製造ロットにより、プリントの色に濃淡がございます。買い足しの際は、ご了承ください。<br>
         ・多少のがたつきが見られる場合があります。<br>
          ・磁器・ガラス製品などには、製造上どうしてもできてしまうポッチや小さな傷、高台のへこみ、色とび・ムラ・ズレ、気泡が見られる場合がございます。特に海外輸入製品においては昔ながらの手法で作られているものも多く、このような現象につきましては商品の製造工程および品質上の「仕様」であって「傷・破損」扱いにはなりません。返品・交換の対象となりませんので予めご了承のうえご注文ください。",【エントリーでポイント5倍】【限定】アラビア　ブラック　パラティッシ　プレート　16.5cm　/　ARABIA　Paratiisi：プロキッチン,イッタラマリメッコアラビアARABIAiittala白山陶器クチポールmarimekko倉敷意匠cutipolWECKウェックレデッカームーミン中川政七商店山田工業所ストウブアルメダールス北欧食器プロキッチン【エントリーでポイント5倍】【限定】アラビア　ブラック　パラティッシ　プレート　16.5cm　/　ARABIA　Paratiisi,【エントリーでポイント5倍】【限定】アラビア　ブラック　パラティッシ　プレート　16.5cm　/　ARABIA　Paratiisi[rn]
