13-1,http://tshop.r10s.jp/xhome/cabinet/2013-disney/imgrc0065819157.jpg?fitin=700:700,400.0000,,花・ガーデン・DIY > ガーデニング・農業 > 植木鉢・プランター > 植木鉢,グラスキャンドルホルダー（アナ）,,,グラスキャンドルホルダー（アナ）：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランターグラスキャンドルホルダー（アナ）,グラスキャンドルホルダー（アナ）[rn]
13-56,http://tshop.r10s.jp/akibamac/cabinet/05316687/2000003190027.jpg?fitin=700:700,23840.0000,,パソコン・周辺機器 > パソコン > ノートPC,【送料無料】【中古】Lenovo ThinkPad X230 (2325-SSF)【Windows10】 [中古ノートパソコン本体],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】液晶画面にキズ有り、本体外装にキズ有り。<br><br>【商品グレード】∥★★★∥中古品∥●家中どこでも場所を選ばず気軽に使える約1.34kgの軽量ボディ。外出先に持ち出す事も可能な軽さです●HTテクノロジー対応インテルCoreプロセッサー「Core i5 3320M」搭載●無線LAN内蔵なので、家中どこでもインターネットが出来たり、1台のプリンタを共有して簡単にワイヤレスプリントが可能です。(ルーターなどが必要です)<BR><BR>CPU：Core i5 3320M(2.6GHz)/メモリー：4GB/SSD：128GB/光学ドライブ：ドライブ別売/12.5インチワイドTFT液晶(1366x768/WXGA)/グラフィック：Intel HD Graphics 4000（CPU内蔵）/LAN(1000BASE-T)/無線LAN(IEEE802.11a/b/g/n)/Bluetooth4.0/Windows 10 Pro(64ビット) 再インストール済み/Officeソフト別売/重量約1340g（カタログ値）<br>【欠品】[セットアップインストラクション]欠品。<br><br>【付属品】[ACアダプター、バッテリパック、ACケーブル]が付属。<br><br>【備考】[IBM再生中古PC用リカバリデータ(HDD内)]付き。,【送料無料】【中古】Lenovo ThinkPad X230 (2325-SSF)【Windows10】 [中古ノートパソコン本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】Lenovo ThinkPad X230 (2325-SSF)【Windows10】 [中古ノートパソコン本体],【送料無料】【中古】Lenovo ThinkPad X230 (2325-SSF)【Windows10】 [中古ノートパソコン本体][rn]
13-57,http://tshop.r10s.jp/akibamac/cabinet/04471382/thinkpad_x230.jpg?fitin=700:700,23840.0000,,パソコン・周辺機器 > パソコン > ノートPC,【送料無料】【中古】Lenovo ThinkPad X230 (2325-SSF)【Windows10】 [中古ノートパソコン本体],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】液晶画面にキズ有り、本体にヒビ有り。<br><br>【商品グレード】∥★★★∥中古品∥●家中どこでも場所を選ばず気軽に使える約1.34kgの軽量ボディ。外出先に持ち出す事も可能な軽さです●HTテクノロジー対応インテルCoreプロセッサー「Core i5 3320M」搭載●無線LAN内蔵なので、家中どこでもインターネットが出来たり、1台のプリンタを共有して簡単にワイヤレスプリントが可能です。(ルーターなどが必要です)<BR><BR>CPU：Core i5 3320M(2.6GHz)/メモリー：4GB/SSD：128GB/光学ドライブ：ドライブ別売/12.5インチワイドTFT液晶(1366x768/WXGA)/グラフィック：Intel HD Graphics 4000（CPU内蔵）/LAN(1000BASE-T)/無線LAN(IEEE802.11a/b/g/n)/Bluetooth4.0/Windows 10 Pro(64ビット) 再インストール済み/Officeソフト別売/重量約1340g（カタログ値）<br><br>【欠品】[セットアップインストラクション]欠品。<br><br>【付属品】[ACアダプター、バッテリパック、ACケーブル]が付属。<br><br>【備考】[IBM再生中古PC用リカバリデータ(HDD内)]付き。<br><br>ご注文の前に中古品・未使用品の各種注意事項をご確認ください。＞＞詳しくはこちら<br>※お買い上げから1ヶ月以内に初期不良が発生した場合、返品にて対応いたします。交換対応は行っておりません。<br>※メーカー純正箱、メーカー保証書、各種消耗品などは原則として付属しておりません。<br>※メーカー保証の適用は、発売時期に関わらず関知しておりません。<br>※バッテリー、電池をはじめとした各種消耗品の動作補償は一切ございません。<br>※表示されている商品写真は、新品商品のイメージです。実際のお届け品とは異なります。<br><br>,【送料無料】【中古】Lenovo ThinkPad X230 (2325-SSF)【Windows10】 [中古ノートパソコン本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】Lenovo ThinkPad X230 (2325-SSF)【Windows10】 [中古ノートパソコン本体],【送料無料】【中古】Lenovo ThinkPad X230 (2325-SSF)【Windows10】 [中古ノートパソコン本体][rn]
13-58,http://tshop.r10s.jp/akibamac/cabinet/04471382/thinkpad_x230.jpg?fitin=700:700,23840.0000,,パソコン・周辺機器 > パソコン > ノートPC,【送料無料】【中古】Lenovo ThinkPad X230 (2325-SSF)【Windows10】 [中古ノートパソコン本体],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】液晶画面にキズ有り、本体にヒビ有り。<br><br>【商品グレード】∥★★★∥中古品∥●家中どこでも場所を選ばず気軽に使える約1.34kgの軽量ボディ。外出先に持ち出す事も可能な軽さです●HTテクノロジー対応インテルCoreプロセッサー「Core i5 3320M」搭載●無線LAN内蔵なので、家中どこでもインターネットが出来たり、1台のプリンタを共有して簡単にワイヤレスプリントが可能です。(ルーターなどが必要です)<BR><BR>CPU：Core i5 3320M(2.6GHz)/メモリー：4GB/SSD：128GB/光学ドライブ：ドライブ別売/12.5インチワイドTFT液晶(1366x768/WXGA)/グラフィック：Intel HD Graphics 4000（CPU内蔵）/LAN(1000BASE-T)/無線LAN(IEEE802.11a/b/g/n)/Bluetooth4.0/Windows 10 Pro(64ビット) 再インストール済み/Officeソフト別売/重量約1340g（カタログ値）<br><br>【欠品】[セットアップインストラクション]欠品。<br><br>【付属品】[ACアダプター、バッテリパック、ACケーブル]が付属。<br><br>【備考】[IBM再生中古PC用リカバリデータ(HDD内)]付き。<br><br>ご注文の前に中古品・未使用品の各種注意事項をご確認ください。＞＞詳しくはこちら<br>※お買い上げから1ヶ月以内に初期不良が発生した場合、返品にて対応いたします。交換対応は行っておりません。<br>※メーカー純正箱、メーカー保証書、各種消耗品などは原則として付属しておりません。<br>※メーカー保証の適用は、発売時期に関わらず関知しておりません。<br>※バッテリー、電池をはじめとした各種消耗品の動作補償は一切ございません。<br>※表示されている商品写真は、新品商品のイメージです。実際のお届け品とは異なります。<br><br>,【送料無料】【中古】Lenovo ThinkPad X230 (2325-SSF)【Windows10】 [中古ノートパソコン本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】Lenovo ThinkPad X230 (2325-SSF)【Windows10】 [中古ノートパソコン本体],【送料無料】【中古】Lenovo ThinkPad X230 (2325-SSF)【Windows10】 [中古ノートパソコン本体][rn]
13-59,http://tshop.r10s.jp/akibamac/cabinet/03954490/now_printing.gif?fitin=700:700,51840.0000,,パソコン・周辺機器 > パソコン > ノートPC,【送料無料】レノボジャパン15.6型ノートPC ［Office付き・Win10 Home・Celeron N3350］ IdeaPad 310 プラチナシルバー 80TT0019JP,,コストパフォーマンスに優れ、ストレスなく使える薄型ノート,【送料無料】レノボジャパン15.6型ノートPC ［Office付き・Win10 Home・Celeron N3350］ IdeaPad 310 プラチナシルバー 80TT0019JP：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】レノボジャパン15.6型ノートPC ［Office付き・Win10 Home・Celeron N3350］ IdeaPad 310 プラチナシルバー 80TT0019JP,【送料無料】レノボジャパン15.6型ノートPC ［Office付き・Win10 Home・Celeron N3350］ IdeaPad 310 プラチナシルバー 80TT0019JP[rn]
13-60,http://tshop.r10s.jp/akibamac/cabinet/05264069/4562447038665.jpg?fitin=700:700,162880.0000,,パソコン・周辺機器 > パソコン > ノートPC,【送料無料】NEC 13.3型ワイド モバイルノートPC LAVIE Hybrid ZERO［Office付き・Win10・Core i7］ ムーンシルバー PC-HZ750GAS (PCHZ750GAS),,■どこへでも連れ出したくなる軽量モバイルPC<br>超軽量＆タフなボディ。気軽に持ち歩ける超軽量でありながら充分な耐圧性も確保。<br>例えば、天板の面耐圧は150kgfの強靭さ、持ち運び時の圧迫を想定した安心の堅牢ボディです。<br>また、フレームレスに近い洗練されたデザイン。画面周りのフレームの存在をほとんど感じさせない狭額縁。<br>13.3型ワイド液晶で極限に近いコンパクトさを実現しました。<br><br>■超軽量ボディでもタッチ操作が可能<br>超軽量ボディにタッチパネルを搭載。移動中でもキーボードやタッチパッドを使うよりすばやく直感的に操作できます。<br>また、内蔵バッテリで長時間駆動を実現。オプション（別売）のACアダプタを利用すれば1時間で約80％までの急速充電も可能。外出前の短時間でも充分に充電できます。<br><br>■メインPCとして充分に使える高性能<br>最新の第7世代　Core　i7プロセッサーと大容量8GBメモリ、大容量SSDで快適に操作。また、最新転送規格USB　3.1に対応したコネクタを搭載しています。<br>ディスプレイは、小さな文字もくっきり見られるノングレア、フルHD液晶を搭載。映像のディテール、表計算の細かな文字もクリアに見ることができます。<br>本体カラーはシャープな印象のムーンシルバーです。<br><br>,【送料無料】NEC 13.3型ワイド モバイルノートPC LAVIE Hybrid ZERO［Office付き・Win10・Core i7］ ムーンシルバー PC-HZ750GAS (PCHZ750GAS)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】NEC 13.3型ワイド モバイルノートPC LAVIE Hybrid ZERO［Office付き・Win10・Core i7］ ムーンシルバー PC-HZ750GAS (PCHZ750GAS),【送料無料】NEC 13.3型ワイド モバイルノートPC LAVIE Hybrid ZERO［Office付き・Win10・Core i7］ ムーンシルバー PC-HZ750GAS (PCHZ750GAS)[rn]
13-61,http://tshop.r10s.jp/akibamac/cabinet/05422385/4971660773176.jpg?fitin=700:700,7840.0000,,パソコン・周辺機器 > パソコン > ノートPC,【送料無料】【中古】KINGJIM PORTABOOK XMC10【Windows10】 ※動作不良箇所有り [中古ノートパソコン本体] ◇4/10新入荷◇,,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】液晶表示異常(常時発生、白に青みがある・強いにじみが出る)、液晶画面の右下に輝度ムラ・中央部縦にライン抜け有り。本体外装にキズ有り、キーボードにテカリ有り。<br><br>【商品グレード】∥★★∥中古品∥※動作不良箇所有り※●この軽さなら毎日持ち歩き、バッグから取り出して、すぐに使えます。●無線LAN内蔵なので、家中どこでもインターネットが出来たり、1台のプリンタを共有して簡単にワイヤレスプリントが可能です。(ルーターなどが必要です)<BR><BR>CPU：Atom x7-Z8700(1.6GHz)/メモリー：2GB/eMMC：32GB/光学ドライブ：ドライブ別売/8インチワイドTFT液晶(1280x768/WXGA)/グラフィック：Intel HD Graphics(CPU内蔵)/無線LAN(IEEE802.11b/g/n)/Bluetooth4.0/HDMI端子搭載/Windows 10 Home(64ビット) 再セットアップ済み/Officeソフト別売/重量約830g（カタログ値）/2016年2月頃発売<br><br>【欠品】[キャリングケース]欠品。<br><br>【付属品】[ユーザーズガイド、クイックスタートガイド、ACアダプタ、USB充電ケーブル]が付属。<br><br>ご注文の前に中古品・未使用品の各種注意事項をご確認ください。＞＞詳しくはこちら<br>※お買い上げから1ヶ月以内に初期不良が発生した場合、返品にて対応いたします。交換対応は行っておりません。<br>※メーカー純正箱、メーカー保証書、各種消耗品などは原則として付属しておりません。<br>※メーカー保証の適用は、発売時期に関わらず関知しておりません。<br>※バッテリー、電池をはじめとした各種消耗品の動作補償は一切ございません。<br>※表示されている商品写真は、新品商品のイメージです。実際のお届け品とは異なります。<br><br>,【送料無料】【中古】KINGJIM PORTABOOK XMC10【Windows10】 ※動作不良箇所有り [中古ノートパソコン本体] ◇4/10新入荷◇：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】KINGJIM PORTABOOK XMC10【Windows10】 ※動作不良箇所有り [中古ノートパソコン本体] ◇4/10新入荷◇,【送料無料】【中古】KINGJIM PORTABOOK XMC10【Windows10】 ※動作不良箇所有り [中古ノートパソコン本体] ◇4/10新入荷◇[rn]
13-62,http://tshop.r10s.jp/akibamac/cabinet/05316687/4547728799893.jpg?fitin=700:700,9440.0000,,パソコン・周辺機器 > パソコン > ノートPC,【送料無料】【中古】TOSHIBA dynabook BX/33M (PABX33MLT)   【Windows7】 ※動作不良箇所有り/バッテリ欠品 [中古ノートパソコン本体],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】本体ACアダプタ接続部に緩み有り(通電出来ない場合有り)、液晶画面左右と上下部に色ムラ有り、バッテリ欠品。本体外装にキズ・汚れ有り、キーボード・タッチパッド・パームレスト・クリックボタンにテカリ有り。<br><br>【商品グレード】∥★★∥中古品∥※動作不良箇所有り※●Windows7のパフォーマンスをさらに引き出す高速DDR3メモリ採用●快適動作のデュアルコアCPU「Pentium P6000」搭載●データDVD/CDや音楽CDの作成も自在に行えるDVDスーパーマルチドライブ搭載●無線LAN内蔵なので、家中どこでもインターネットが可能です(ルーター等が必要です)●バッテリ欠品<BR><BR>CPU：Pentium P6000(1.86GHz)/メモリー：2GB/HDD：320GB/光学ドライブ：DVDスーパーマルチドライブ/15.6インチワイドClear SuperView LED液晶(省電力LEDバックライト)(1366x768/WXGA)/グラフィック：Intel HD Graphics(CPU内蔵)/LAN(100BASE-TX)/無線LAN(IEEE802.11b/g/n)/Windows 7 Home Premium(32ビット) 再セットアップ済み/Office Personal 2010欠品/重量約2.4kg（カタログ値）/2010年6月頃発売<br><br>【付属品】[ACアダプター、電源コード]が付属。<br><br>【欠品】[dynabook ガイド、dynabook BX シリーズをお使いのかたへ、Office Personal 2010 一式、バッテリーパック]欠品。<br><br>ご注文の前に中古品・未使用品の各種注意事項をご確認ください。＞＞詳しくはこちら<br>※お買い上げから1ヶ月以内に初期不良が発生した場合、返品にて対応いたします。交換対応は行っておりません。<br>※メーカー純正箱、メーカー保証書、各種消耗品などは原則として付属しておりません。<br>※メーカー保証の適用は、発売時期に関わらず関知しておりません。<br>※バッテリー、電池をはじめとした各種消耗品の動作補償は一切ございません。<br>※表示されている商品写真は、新品商品のイメージです。実際のお届け品とは異なります。<br><br>,【送料無料】【中古】TOSHIBA dynabook BX/33M (PABX33MLT)   【Windows7】 ※動作不良箇所有り/バッテリ欠品 [中古ノートパソコン本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】TOSHIBA dynabook BX/33M (PABX33MLT)   【Windows7】 ※動作不良箇所有り/バッテリ欠品 [中古ノートパソコン本体],【送料無料】【中古】TOSHIBA dynabook BX/33M (PABX33MLT)   【Windows7】 ※動作不良箇所有り/バッテリ欠品 [中古ノートパソコン本体][rn]
13-63,http://tshop.r10s.jp/akibamac/cabinet/05422385/4547597732625.jpg?fitin=700:700,81440.0000,,パソコン・周辺機器 > パソコン > ノートPC,【送料無料】【中古】Apple MacBook Pro 2.2GHz Quad Core i7/15.4 MC723J/A [中古ノートパソコン本体 Mac] ◇4/15新入荷◇,,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】▲メモリ12GB増設(実装16GB)/標準:HDD750GB⇒実装:SSD512GB/SSDに換装、液晶画面全体にキズ多数・端に輝度ムラ有り。ヤニ臭有り、本体外装・電源アダプタにキズ有り、キーボードにテカリ有り。<br><br>【商品グレード】∥★★★∥中古品∥<BR><BR>CPU：(第2世代)クアッドコア Intel Core i7(2.2GHz)/メモリー：16GB/SSD：512GB/光学ドライブ：SuperDrive（2層記録式）/15.4インチワイドLEDバックライトクリアワイドスクリーン液晶(1440x900/WXGA+)/グラフィック：Intel HD Graphics 3000&Radeon HD 6750M(1GB)/自動切替機能搭載/LAN(1000BASE-T)/AirMacExtreme標準搭載/重量約2.54kg（カタログ値）/Mac OS 10.6.7 再セットアップ済み/2011年2月頃発売<br><br>【備考】付属のアプリケーションDVDをインストールする際はOSとソフトウェアインストーラーのアップグレードが必要です。<br><br>【欠品】[ACウォールプラグ]欠品。<br><br>【付属品】[Macのすべて、かんたん日本語入力ガイド、Mac OS X Install DVD、Application Install DVD、85W MagSafe電源アダプタ、電源コード]が付属。<br><br>ご注文の前に中古品・未使用品の各種注意事項をご確認ください。＞＞詳しくはこちら<br>※お買い上げから1ヶ月以内に初期不良が発生した場合、返品にて対応いたします。交換対応は行っておりません。<br>※メーカー純正箱、メーカー保証書、各種消耗品などは原則として付属しておりません。<br>※メーカー保証の適用は、発売時期に関わらず関知しておりません。<br>※バッテリー、電池をはじめとした各種消耗品の動作補償は一切ございません。<br>※表示されている商品写真は、新品商品のイメージです。実際のお届け品とは異なります。<br><br>,【送料無料】【中古】Apple MacBook Pro 2.2GHz Quad Core i7/15.4 MC723J/A [中古ノートパソコン本体 Mac] ◇4/15新入荷◇：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】Apple MacBook Pro 2.2GHz Quad Core i7/15.4 MC723J/A [中古ノートパソコン本体 Mac] ◇4/15新入荷◇,【送料無料】【中古】Apple MacBook Pro 2.2GHz Quad Core i7/15.4 MC723J/A [中古ノートパソコン本体 Mac] ◇4/15新入荷◇[rn]
13-64,http://tshop.r10s.jp/akibamac/cabinet/05422385/0889349457122.jpg?fitin=700:700,16640.0000,,パソコン・周辺機器 > パソコン > ノートPC,【送料無料】【中古】ASUS VivoBook E200HA-8350B ダークブルー【Windows10】 [中古ノートパソコン本体] ◇4/12新入荷◇,,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】液晶画面左右と上下部に色ムラ有り。<br><br>【商品グレード】∥★★★∥中古品∥●スリムで軽い本体は、薄さ17.5mm、軽さは1kgを切るわずか約980gです。 フチに丸みを持たせたデザインは薄さを強調し、よりスタイリッシュな仕上がりになりました●深みのある上質なサウンドを楽しめるASUS独自の「ASUS SonicMaster」搭載。●付属品は全て揃っています<BR><BR>CPU：Atom x5-Z8350(1.44GHz)/メモリー：4GB/eMMC：32GB/光学ドライブ：ドライブ別売/11.6インチワイド光沢液晶(LEDバックライト)(1366x768/WXGA)/グラフィック：Intel HD Graphics 400（CPU内蔵）/無線LAN(IEEE802.11a/b/g/n/ac)/Bluetooth4.1/MicroHDMI端子搭載/Windows 10 Home(64ビット) 再セットアップ済み/Officeソフト別売/重量約980g（カタログ値）/2016年9月頃発売<br><br>【付属品】[ユーザーマニュアル、KINGSOFT Office Standard ライセンスコード、ACアダプター]が付属。<br><br>ご注文の前に中古品・未使用品の各種注意事項をご確認ください。＞＞詳しくはこちら<br>※お買い上げから1ヶ月以内に初期不良が発生した場合、返品にて対応いたします。交換対応は行っておりません。<br>※メーカー純正箱、メーカー保証書、各種消耗品などは原則として付属しておりません。<br>※メーカー保証の適用は、発売時期に関わらず関知しておりません。<br>※バッテリー、電池をはじめとした各種消耗品の動作補償は一切ございません。<br>※表示されている商品写真は、新品商品のイメージです。実際のお届け品とは異なります。<br><br>,【送料無料】【中古】ASUS VivoBook E200HA-8350B ダークブルー【Windows10】 [中古ノートパソコン本体] ◇4/12新入荷◇：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】ASUS VivoBook E200HA-8350B ダークブルー【Windows10】 [中古ノートパソコン本体] ◇4/12新入荷◇,【送料無料】【中古】ASUS VivoBook E200HA-8350B ダークブルー【Windows10】 [中古ノートパソコン本体] ◇4/12新入荷◇[rn]
13-65,http://tshop.r10s.jp/akibamac/cabinet/05316687/4573257523296.jpg?fitin=700:700,17440.0000,,パソコン・周辺機器 > パソコン > ノートPC,【送料無料】【中古】HP Stream 11-r016TU(T0Y45PA-AAAA)【Windows10】 [中古ノートパソコン本体],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】<br><br>【商品グレード】∥★★★★∥中古品∥●ハイビジョン時代の新基準、縦横比16:9のワイド液晶を搭載●約1.18kgの軽さは通勤・通学などで常時持ち運んでも苦になりません●快適動作のデュアルコアCPU「Celeron N2840」搭載●無線LAN内蔵なので、家中どこでもインターネットが可能です(ルーター等が必要です)●付属品に一部欠品が有りますが、通常使用にはほぼ問題有りません<BR><BR>CPU：Celeron N2840(2.16GHz)/メモリー：2GB/eMMC：32GB/光学ドライブ：ドライブ別売/11.6インチワイド非光沢液晶(1366x768/WXGA)/グラフィック：Intel HD Graphics(CPU内蔵)/無線LAN(IEEE802.11a/b/g/n/ac)/Bluetooth4.0/HDMI端子搭載/Windows 10 Home(64ビット) 再セットアップ済み/Officeソフト別売/重量約1180g（カタログ値）<br><br>【付属品】[セットアップ手順、ACアダプタ、ACケーブル]が付属。<br><br>【欠品】[KINGSOFT Officeシリアル番号カード、ウォールマウントプラグ]欠品。<br><br>ご注文の前に中古品・未使用品の各種注意事項をご確認ください。＞＞詳しくはこちら<br>※お買い上げから1ヶ月以内に初期不良が発生した場合、返品にて対応いたします。交換対応は行っておりません。<br>※メーカー純正箱、メーカー保証書、各種消耗品などは原則として付属しておりません。<br>※メーカー保証の適用は、発売時期に関わらず関知しておりません。<br>※バッテリー、電池をはじめとした各種消耗品の動作補償は一切ございません。<br>※表示されている商品写真は、新品商品のイメージです。実際のお届け品とは異なります。<br><br>,【送料無料】【中古】HP Stream 11-r016TU(T0Y45PA-AAAA)【Windows10】 [中古ノートパソコン本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】HP Stream 11-r016TU(T0Y45PA-AAAA)【Windows10】 [中古ノートパソコン本体],【送料無料】【中古】HP Stream 11-r016TU(T0Y45PA-AAAA)【Windows10】 [中古ノートパソコン本体][rn]
