13-6101,,1011.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒日大工業/ワニ印 養生資材【000220】(7924291) ワニ印 コーナー用クッション養生材 スマートコーナー 緑／白 3枚入り 発注単位1,環境安全用品\安全用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●様々なコーナーを保護します。<br>
●夜間でも反射し目立ちます。<br>
●長辺に２本の裏面粘着テープ付です。<br>
●危険個所に応じて貼る枚数を調整できます。<br>
●工場・倉庫・現場・駐車場などの危険表示、保護、緩衝材に。<br>
●車のすり傷防止に。<br>
●色:緑／白<br>
●幅(mm):300<br>
●長さ(m):0.7<br>
●厚み(mm):６<br>
●取付方法:貼付タイプ（粘着テープ付）<br>
●発泡ポリエチレンＥＰＥのクッション材が入っています。<br>
●反射材付きで夜間も安心です。<br>
●ＰＶＣ<br>
●発泡ポリエチレンＥＰＥ（内部クッション材）",■〒日大工業/ワニ印 養生資材【000220】(7924291) ワニ印 コーナー用クッション養生材 スマートコーナー 緑／白 3枚入り 発注単位1：クローバー資材館,■〒日大工業/ワニ印 養生資材【000220】(7924291) ワニ印 コーナー用クッション養生材 スマートコーナー 緑／白 3枚入り 発注単位1,環境安全用品\安全用品。■〒日大工業/ワニ印 養生資材【000220】(7924291) ワニ印 コーナー用クッション養生材 スマートコーナー 緑／白 3枚入り 発注単位1[rn]
13-6124,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003857898.jpg?fitin=700:700,6775.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒光/光　アクリル板（白）３×１１００×１３００【A068-3UL】(14818) 受注単位1,環境安全用品\安全用品・標識\サインプレート,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●耐候性、透明性があり加工しやすいアクリル板です。",『カード対応OK！』■〒光/光　アクリル板（白）３&times;１１００&times;１３００【A068-3UL】(14818) 受注単位1：クローバー資材館,『カード対応OK！』■〒光/光　アクリル板（白）３&times;１１００&times;１３００【A068-3UL】(14818) 受注単位1,環境安全用品\安全用品・標識\サインプレート。『カード対応OK！』■〒光/光　アクリル板（白）３&times;１１００&times;１３００【A068-3UL】(14818) 受注単位1[rn]
13-6125,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004359141.jpg?fitin=700:700,16494.4000,,花・ガーデン・DIY > DIY・工具 > その他,###『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　スポットエアコン用延長冷風ダクト　Φ１２５Ｘ５ｍ【TS-RD1255】(2707926) 受注単位1,(2707926),"<p><font size=""4"" color=""""><b>※こちらの商品は代引きでのお取り扱いはできません。ご入金確認後のお手配です。</b></font></p><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品は規格外の商品の為、送料が別途発生致します。配送地域によって送料が異なりますので詳しくはお問い合わせください。</b></font><br><br>



<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●より遠くに冷気を送る必要のある現場に最適です。",###『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　スポットエアコン用延長冷風ダクト　Φ１２５Ｘ５ｍ【TS-RD1255】(2707926) 受注単位1：クローバー資材館,###『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　スポットエアコン用延長冷風ダクト　Φ１２５Ｘ５ｍ【TS-RD1255】(2707926) 受注単位1,(2707926)。###『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　スポットエアコン用延長冷風ダクト　Φ１２５Ｘ５ｍ【TS-RD1255】(2707926) 受注単位1[rn]
13-6126,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005448996.jpg?fitin=700:700,1307.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒サラヤ/サラヤ　クールリフレ　７０枚入り詰替【42412】(4142292) 受注単位1,環境安全用品\冷暖対策用品\暑さ対策用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●1枚でしっかり拭ける超大判サイズで、全身をしっかりと拭けます。<br>●清涼成分メントール配合で爽快感があり、しっかりリフレッシュします。",『カード対応OK！』■〒サラヤ/サラヤ　クールリフレ　７０枚入り詰替【42412】(4142292) 受注単位1：クローバー資材館,『カード対応OK！』■〒サラヤ/サラヤ　クールリフレ　７０枚入り詰替【42412】(4142292) 受注単位1,環境安全用品\冷暖対策用品\暑さ対策用品。『カード対応OK！』■〒サラヤ/サラヤ　クールリフレ　７０枚入り詰替【42412】(4142292) 受注単位1[rn]
13-6127,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005130145.jpg?fitin=700:700,36.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トライ・カンパニー/ＴＲＹ　キャッチクール１００ｇ【HC-100PL】(4115074) 受注単位1,環境安全用品\冷暖対策用品\暑さ対策用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●100g、200g、500gと使いやすいサイズを用意しました。<br>●インナーカートン（小箱）仕様です。",『カード対応OK！』■〒トライ・カンパニー/ＴＲＹ　キャッチクール１００ｇ【HC-100PL】(4115074) 受注単位1：クローバー資材館,『カード対応OK！』■〒トライ・カンパニー/ＴＲＹ　キャッチクール１００ｇ【HC-100PL】(4115074) 受注単位1,環境安全用品\冷暖対策用品\暑さ対策用品。『カード対応OK！』■〒トライ・カンパニー/ＴＲＹ　キャッチクール１００ｇ【HC-100PL】(4115074) 受注単位1[rn]
13-6128,,938.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ミドリ安全/ＣＯＶＥＲＷＯＲＫ　防寒ヒートパワーイヤーウォーマー　ブラック【FT551-BK】(4002946) 受注単位1,環境安全用品\冷暖対策用品\寒さ対策用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●厚手、裏起毛で暖かいです。<br>●保温性と通気性が抜群です。",『カード対応OK！』■〒ミドリ安全/ＣＯＶＥＲＷＯＲＫ　防寒ヒートパワーイヤーウォーマー　ブラック【FT551-BK】(4002946) 受注単位1：クローバー資材館,『カード対応OK！』■〒ミドリ安全/ＣＯＶＥＲＷＯＲＫ　防寒ヒートパワーイヤーウォーマー　ブラック【FT551-BK】(4002946) 受注単位1,環境安全用品\冷暖対策用品\寒さ対策用品。『カード対応OK！』■〒ミドリ安全/ＣＯＶＥＲＷＯＲＫ　防寒ヒートパワーイヤーウォーマー　ブラック【FT551-BK】(4002946) 受注単位1[rn]
13-6129,http://tshop.r10s.jp/clover9608/cabinet/pb9/t010005455817.jpg?fitin=700:700,4594.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　側板Ｒ　ＴＳグレー　ＴＳ－２５ＤＰ・ＥＰ【5772005000】(3951146) 受注単位1,(3951146),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●スポットエアコンＴＳ－２５シリーズの補修部品です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　側板Ｒ　ＴＳグレー　ＴＳ&minus;２５ＤＰ・ＥＰ【5772005000】(3951146) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　側板Ｒ　ＴＳグレー　ＴＳ&minus;２５ＤＰ・ＥＰ【5772005000】(3951146) 受注単位1,(3951146)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　側板Ｒ　ＴＳグレー　ＴＳ&minus;２５ＤＰ・ＥＰ【5772005000】(3951146) 受注単位1[rn]
13-6130,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005141421.jpg?fitin=700:700,2972.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三甲/サンコー　ＥＰボックス＃２４　青【SK-EP24】(3913830) 受注単位1,環境安全用品\冷暖対策用品\暑さ対策用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●「エぺラン」はしなやかで曲げても割れにくく、発泡スチロールと比較して欠けが発生しにくい性質を持っています。また、緩衝性に優れ、断熱性能も持っていますので、様々な用途にお使い頂ける優れた素材です。<br>●軽量ですので、荷役作業も楽に行えます。",『カード対応OK！』■〒三甲/サンコー　ＥＰボックス＃２４　青【SK-EP24】(3913830) 受注単位1：クローバー資材館,『カード対応OK！』■〒三甲/サンコー　ＥＰボックス＃２４　青【SK-EP24】(3913830) 受注単位1,環境安全用品\冷暖対策用品\暑さ対策用品。『カード対応OK！』■〒三甲/サンコー　ＥＰボックス＃２４　青【SK-EP24】(3913830) 受注単位1[rn]
13-6131,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005448307.jpg?fitin=700:700,1796.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アイリスオーヤマ/ＩＲＩＳ　クーラーボックス　ＣＬ－１５　レッド／ホワイト【CL-15-RD】(4220056) 受注単位1,環境安全用品\冷暖対策用品\暑さ対策用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●本体内側に抗菌加工を施したクーラーボックスです。<br>●フタが取り外せて手入れが簡単なうえ、ショルダーベルト付きで持ち運びにも便利です。<br>●ペットボトルの上に保冷剤を置いてもフタを閉めることができます。",『カード対応OK！』■〒アイリスオーヤマ/ＩＲＩＳ　クーラーボックス　ＣＬ&minus;１５　レッド／ホワイト【CL-15-RD】(4220056) 受注単位1：クローバー資材館,『カード対応OK！』■〒アイリスオーヤマ/ＩＲＩＳ　クーラーボックス　ＣＬ&minus;１５　レッド／ホワイト【CL-15-RD】(4220056) 受注単位1,環境安全用品\冷暖対策用品\暑さ対策用品。『カード対応OK！』■〒アイリスオーヤマ/ＩＲＩＳ　クーラーボックス　ＣＬ&minus;１５　レッド／ホワイト【CL-15-RD】(4220056) 受注単位1[rn]
13-6132,http://tshop.r10s.jp/clover9608/cabinet/pb9/t010005455824.jpg?fitin=700:700,238.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　保冷剤　３５０ｇ　強冷タイプ【THZ-350S】(4097491) 受注単位1,(4097491),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●繰り返し使用可能です。<br>●容器タイプです。<br>●通常よりも冷却持続効果が高いです。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　保冷剤　３５０ｇ　強冷タイプ【THZ-350S】(4097491) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　保冷剤　３５０ｇ　強冷タイプ【THZ-350S】(4097491) 受注単位1,(4097491)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　保冷剤　３５０ｇ　強冷タイプ【THZ-350S】(4097491) 受注単位1[rn]
13-6133,http://tshop.r10s.jp/clover9608/cabinet/pb9/t010005455818.jpg?fitin=700:700,4594.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　側板Ｌ　ＴＳグレー　ＴＳ－２５ＤＰ・ＥＰ【5772006000】(3951154) 受注単位1,(3951154),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●スポットエアコンＴＳ－２５シリーズの補修部品です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　側板Ｌ　ＴＳグレー　ＴＳ&minus;２５ＤＰ・ＥＰ【5772006000】(3951154) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　側板Ｌ　ＴＳグレー　ＴＳ&minus;２５ＤＰ・ＥＰ【5772006000】(3951154) 受注単位1,(3951154)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　側板Ｌ　ＴＳグレー　ＴＳ&minus;２５ＤＰ・ＥＰ【5772006000】(3951154) 受注単位1[rn]
13-6134,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002894194.jpg?fitin=700:700,34020.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ピオニーコーポレーション/ピオニー　足温器Ｇ－１５０【G-150】(3241131) 受注単位1,環境安全用品\冷暖対策用品\暖房用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●150Wヒーターを使用しているため電気代が安くコストパフォーマンスに優れます。",『カード対応OK！』■〒ピオニーコーポレーション/ピオニー　足温器Ｇ&minus;１５０【G-150】(3241131) 受注単位1：クローバー資材館,『カード対応OK！』■〒ピオニーコーポレーション/ピオニー　足温器Ｇ&minus;１５０【G-150】(3241131) 受注単位1,環境安全用品\冷暖対策用品\暖房用品。『カード対応OK！』■〒ピオニーコーポレーション/ピオニー　足温器Ｇ&minus;１５０【G-150】(3241131) 受注単位1[rn]
13-6135,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002902908.jpg?fitin=700:700,32820.8000,,花・ガーデン・DIY > DIY・工具 > その他,∀『カード対応OK！』■〒スイデン/スイデン　ロータリー扇単相２００Ｖ【SF-45MRV-2VP】(3906442) 受注単位1,環境安全用品\冷暖対策用品\工場扇,"<font size=""4"" color=""#0033ff""><b>※こちらの商品は配送地域によって送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●安全性の高いサーマルプロテクターを内蔵しています。<br>●天井中央に設置、1台で室内全体にくまなく涼風を送ります。（電車の扇風機と同じ首振り）<br>●風量を無段階に調節できるワイヤードリモコン付です。（無段変速式）<br>●広範囲に送風できるロータリータイプです。<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>",&forall;『カード対応OK！』■〒スイデン/スイデン　ロータリー扇単相２００Ｖ【SF-45MRV-2VP】(3906442) 受注単位1：クローバー資材館,&forall;『カード対応OK！』■〒スイデン/スイデン　ロータリー扇単相２００Ｖ【SF-45MRV-2VP】(3906442) 受注単位1,環境安全用品\冷暖対策用品\工場扇。&forall;『カード対応OK！』■〒スイデン/スイデン　ロータリー扇単相２００Ｖ【SF-45MRV-2VP】(3906442) 受注単位1[rn]
13-6136,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005020260.jpg?fitin=700:700,62208.0000,,花・ガーデン・DIY > DIY・工具 > その他,###『カード対応OK！』■〒日動工業/日動　移動式大型冷風機　クールファン【CF-290-60HZ】() 受注単位1,環境安全用品\冷暖対策用品\冷風機,"<font size=""4"">納期目安：</font><font size=""4"" color=""#ff00ff""><b>納期かかっております</b>(詳しくはお問い合わせください)</font><br><br><br>

<br>●エアコンのようにフロンを使用せず、水の気化熱による自然の冷却効果を利用した地球環境にも優しい機器です。

<br><font size=""4"" color=""""><b>※こちらの商品は規格外の商品の為、送料が別途発生致します。配送地域によって送料が異なりますので詳しくはお問い合わせください。</b></font><br><br>",###『カード対応OK！』■〒日動工業/日動　移動式大型冷風機　クールファン【CF-290-60HZ】() 受注単位1：クローバー資材館,###『カード対応OK！』■〒日動工業/日動　移動式大型冷風機　クールファン【CF-290-60HZ】() 受注単位1,環境安全用品\冷暖対策用品\冷風機。###『カード対応OK！』■〒日動工業/日動　移動式大型冷風機　クールファン【CF-290-60HZ】() 受注単位1[rn]
13-6137,http://tshop.r10s.jp/clover9608/cabinet/pb9/t010005455910.jpg?fitin=700:700,1160.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトクーラーＢＯＸ　２０Ｌ【TSCLB-20】(4086104) 受注単位1,(4086104),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●軽くて小さくたたむことができるソフトクーラーボックスです。<br>●小物が入るポケット付きです。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトクーラーＢＯＸ　２０Ｌ【TSCLB-20】(4086104) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトクーラーＢＯＸ　２０Ｌ【TSCLB-20】(4086104) 受注単位1,(4086104)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトクーラーＢＯＸ　２０Ｌ【TSCLB-20】(4086104) 受注単位1[rn]
13-6138,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005470154.jpg?fitin=700:700,4021.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三甲/サンコー　サンコールドボックス＃１０Ｓ・＃１５Ｓ（フタ）【SKCB15SF】(4133773) 受注単位1,環境安全用品\冷暖対策用品\暑さ対策用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●保冷用（４０℃まで）です。（SKCB12P-2-BL）<br>●保温・保冷用（80℃まで）です。（SKCB10SH、15SH、20-2I）",『カード対応OK！』■〒三甲/サンコー　サンコールドボックス＃１０Ｓ・＃１５Ｓ（フタ）【SKCB15SF】(4133773) 受注単位1：クローバー資材館,『カード対応OK！』■〒三甲/サンコー　サンコールドボックス＃１０Ｓ・＃１５Ｓ（フタ）【SKCB15SF】(4133773) 受注単位1,環境安全用品\冷暖対策用品\暑さ対策用品。『カード対応OK！』■〒三甲/サンコー　サンコールドボックス＃１０Ｓ・＃１５Ｓ（フタ）【SKCB15SF】(4133773) 受注単位1[rn]
13-6139,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005154106.jpg?fitin=700:700,17860.0000,,花・ガーデン・DIY > DIY・工具 > その他,↓#『カード対応OK！』■〒つくし工房/つくし　アイマット丸型収納タイプ【3606-A】() 受注単位1,環境安全用品\冷暖対策用品\暑さ対策用品,"<font size=""4"" color=""#0033ff""><b>※こちらの商品は問屋運送便となります。ご入金確認後のお手配です。</b></font><br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●コンパクト収納、丸型収納タイプと真空パック収納タイプの２種類があります。真空収納タイプはＡＥＤ設置ボックスの中に収納可能です。<br>●体液吸収・防菌素材、血液などを吸収し漏らさないので、使用後の片づけが容易です。<br>●避難所などで仮設ベッドとして使用できます。<br>●裏側に取っ手が付いていて簡単に搬送ができます。<br>●６００グラムと非常に軽いので持ち運びがしやすいです。",&darr;#『カード対応OK！』■〒つくし工房/つくし　アイマット丸型収納タイプ【3606-A】() 受注単位1：クローバー資材館,&darr;#『カード対応OK！』■〒つくし工房/つくし　アイマット丸型収納タイプ【3606-A】() 受注単位1,環境安全用品\冷暖対策用品\暑さ対策用品。&darr;#『カード対応OK！』■〒つくし工房/つくし　アイマット丸型収納タイプ【3606-A】() 受注単位1[rn]
13-6140,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002886928.jpg?fitin=700:700,100243.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アクアシステム/アクア　エアモーター式工場扇（スタンドタイプ）【AFG-24】(3556352) 受注単位1,環境安全用品\冷暖対策用品\工場扇,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●動力に空気圧を使用するため、引火・爆発の恐れがある環境下でも安心してお使いいただけます。<br>●エアホースは、ワンタッチの簡単操作です。バルブをあければすぐに使用可能です。<br>●モーターはコンパクトで軽量、長寿命のエアモーターです。<br>●アルミハネが標準となっており、溶剤や熱に強く清掃も容易です。",『カード対応OK！』■〒アクアシステム/アクア　エアモーター式工場扇（スタンドタイプ）【AFG-24】(3556352) 受注単位1：クローバー資材館,『カード対応OK！』■〒アクアシステム/アクア　エアモーター式工場扇（スタンドタイプ）【AFG-24】(3556352) 受注単位1,環境安全用品\冷暖対策用品\工場扇。『カード対応OK！』■〒アクアシステム/アクア　エアモーター式工場扇（スタンドタイプ）【AFG-24】(3556352) 受注単位1[rn]
13-6141,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005065009.jpg?fitin=700:700,1518.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒谷沢製作所/タニザワ　防寒の達人　ワインレッド【1922-WR】(4214463) 受注単位1,環境安全用品\冷暖対策用品\寒さ対策用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●簡単にヘルメットの上からかぶせて締めひもで取り付けができます。<br>●耳部はメッシュの三角窓付きで寒さを防ぎつつ聴音確保ができる安全設計です。<br>●表地には透湿、防風、防水、防汚性能に優れた「プロテインテックス」加工を施しています。<br>●裏地には軽くて暖か、快適なフリース生地を採用しています。<br>●冬季の屋外作業、冷凍庫内作業に最適です。<br>●フランジ付ヘルメットに適合します。",『カード対応OK！』■〒谷沢製作所/タニザワ　防寒の達人　ワインレッド【1922-WR】(4214463) 受注単位1：クローバー資材館,『カード対応OK！』■〒谷沢製作所/タニザワ　防寒の達人　ワインレッド【1922-WR】(4214463) 受注単位1,環境安全用品\冷暖対策用品\寒さ対策用品。『カード対応OK！』■〒谷沢製作所/タニザワ　防寒の達人　ワインレッド【1922-WR】(4214463) 受注単位1[rn]
13-6142,,6480.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　スポットエアコン用防塵フィルター　差し込み式【TS-25N-BF】(3360768) 受注単位1,(3360768),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　スポットエアコン用防塵フィルター　差し込み式【TS-25N-BF】(3360768) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　スポットエアコン用防塵フィルター　差し込み式【TS-25N-BF】(3360768) 受注単位1,(3360768)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　スポットエアコン用防塵フィルター　差し込み式【TS-25N-BF】(3360768) 受注単位1[rn]
13-6143,http://tshop.r10s.jp/clover9608/cabinet/pb3-1/t010003002448.jpg?fitin=700:700,4359.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　スポットエアコンオイルミストフィルター【TS-25-OF】(2986019) 受注単位1,(2986019),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●オイルミストフィルター:目の細かい不織布で出来ている為、細かいオイルミストが回収できます。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　スポットエアコンオイルミストフィルター【TS-25-OF】(2986019) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　スポットエアコンオイルミストフィルター【TS-25-OF】(2986019) 受注単位1,(2986019)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　スポットエアコンオイルミストフィルター【TS-25-OF】(2986019) 受注単位1[rn]
13-6144,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002811884.jpg?fitin=700:700,3776.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スイデン/スイデン　プラスチック製ハネ４５ｃｍ【SF-45M-PF】(3211924) 受注単位1,環境安全用品\冷暖対策用品\工場扇,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒スイデン/スイデン　プラスチック製ハネ４５ｃｍ【SF-45M-PF】(3211924) 受注単位1：クローバー資材館,『カード対応OK！』■〒スイデン/スイデン　プラスチック製ハネ４５ｃｍ【SF-45M-PF】(3211924) 受注単位1,環境安全用品\冷暖対策用品\工場扇。『カード対応OK！』■〒スイデン/スイデン　プラスチック製ハネ４５ｃｍ【SF-45M-PF】(3211924) 受注単位1[rn]
13-6145,,15092.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒基陽/ＫＨ ベルト【HHNL-ML】(7955634) ＫＨ ハーネスＨ型 ワンタッチ式デニム Ｍ－Ｌ寸 発注単位1,環境安全用品\墜落・落下防止用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●Ｈ型フルハーネスです。<br>
●ホールド力に優れ着崩れしにくいです。<br>
●サスペンダー機能により腰が楽です。<br>
●サポーターベルトごと固定可能なベルト通しです。<br>
●高所作業中の墜落防止<br>
●全身に衝撃を分散させるより安全な安全帯<br>
●色:デニム風<br>
●サイズ:M－L<br>
●1本吊り専用<br>
●肩・腿ベルト幅:45mm<br>
●脚バックル:ワンタッチ式<br>
●カラーはデニム柄<br>
●ベルト:ナイロン<br>
●緩み止め環:アルミ<br>
●他金具:スチール",■〒基陽/ＫＨ ベルト【HHNL-ML】(7955634) ＫＨ ハーネスＨ型 ワンタッチ式デニム Ｍ&minus;Ｌ寸 発注単位1：クローバー資材館,■〒基陽/ＫＨ ベルト【HHNL-ML】(7955634) ＫＨ ハーネスＨ型 ワンタッチ式デニム Ｍ&minus;Ｌ寸 発注単位1,環境安全用品\墜落・落下防止用品。■〒基陽/ＫＨ ベルト【HHNL-ML】(7955634) ＫＨ ハーネスＨ型 ワンタッチ式デニム Ｍ&minus;Ｌ寸 発注単位1[rn]
13-6146,,25648.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒藤井電工/ツヨロン ベルト【R-506-D-OT2-SOTN-BLCS-TN-LL-BX】(7957971) ツヨロン フルハーネス安全帯 飛燕 ＬＬサイズ 発注単位1,環境安全用品\墜落・落下防止用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●背中部Ｙ型タイプです。<br>
●女性から体の大きな男性まで対応できるサイズバリエーションです。<br>
●腰道具を取り付けるスペースを幅広く確保しています。<br>
●また胴ベルトを３点で支持しますのでベルトのズレ防止にも有効です。<br>
●腿部は左右独立タイプなので拘束感が少なく自由に動けます。<br>
●アルミバックル胴ベルト付タイプです。<br>
●プロ用<br>
●工場、建設、土木、鉱山、橋梁工事、その他一般高所作業用。<br>
●色:ブルー系迷彩色<br>
●サイズ:ＬＬ<br>
●腿バックル:ワンタッチ<br>
●ベルト幅(mm):45<br>
●胴ベルト幅×長さ(mm):50×1600<br>
●１本吊り専用<br>
●腿部パススルーバックル付(左右)<br>
●ランヤードは別売り<br>
●背部ネット有無:なし<br>
●ナイロン<br>
●スチール<br>
●ショックアブソーバ付ランヤードをご使用ください。<br>
●胴ベルトなしでのご使用はできません。",■〒藤井電工/ツヨロン ベルト【R-506-D-OT2-SOTN-BLCS-TN-LL-BX】(7957971) ツヨロン フルハーネス安全帯 飛燕 ＬＬサイズ 発注単位1：クローバー資材館,■〒藤井電工/ツヨロン ベルト【R-506-D-OT2-SOTN-BLCS-TN-LL-BX】(7957971) ツヨロン フルハーネス安全帯 飛燕 ＬＬサイズ 発注単位1,環境安全用品\墜落・落下防止用品。■〒藤井電工/ツヨロン ベルト【R-506-D-OT2-SOTN-BLCS-TN-LL-BX】(7957971) ツヨロン フルハーネス安全帯 飛燕 ＬＬサイズ 発注単位1[rn]
