13-7101,,69097.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒明大（株）/ロックスリング【BM4-18】(4338227)マスク形ベルトモッコ １８００×１８００ （シートなし） 受注単位1,工事用品\吊りクランプ・スリング・荷締機\モッコ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●繊維製のベルトモッコなので建築、土木での荷役作業が安全に行えます。<br>●繊維製なので、癖もつかず、収納も楽に行えます。<br>●最大使用荷重(t):1<br>●吊手長さ(mm):2000<br>●幅(mm):1800<br>●長さ(mm):1800<br>●網目(mm):150<br>●質量(kg):5.5<br>●ベルト幅:50mm<br>●ポリエステル100％<br>",『カード対応OK！』■〒明大（株）/ロックスリング【BM4-18】(4338227)マスク形ベルトモッコ １８００&times;１８００ （シートなし） 受注単位1：クローバー資材館,『カード対応OK！』■〒明大（株）/ロックスリング【BM4-18】(4338227)マスク形ベルトモッコ １８００&times;１８００ （シートなし） 受注単位1,工事用品\吊りクランプ・スリング・荷締機\モッコ。『カード対応OK！』■〒明大（株）/ロックスリング【BM4-18】(4338227)マスク形ベルトモッコ １８００&times;１８００ （シートなし） 受注単位1[rn]
13-7124,,1620.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒Ｓｔｒｏｎｇ Ｈａｎｄ Ｔｏｏｌｓ/ＳＨＴ 溶接用品【T65804-K10】(8188507) ＳＨＴ ボールボルト用スペーサー 4mm 10個入り 発注単位1,工事用品\溶接用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●２８ｍｍタイプのボールロックボルト（T65015）で厚みの足りないアクセサリー、ブラケット同士を連結させる際に使用します。<br>
●各種溶接作業に。<br>
●高さ(mm）:4<br>
●溶接テーブルTDJKM-100専用<br>
●炭素鋼（S45C）",■〒Ｓｔｒｏｎｇ Ｈａｎｄ Ｔｏｏｌｓ/ＳＨＴ 溶接用品【T65804-K10】(8188507) ＳＨＴ ボールボルト用スペーサー 4mm 10個入り 発注単位1：クローバー資材館,■〒Ｓｔｒｏｎｇ Ｈａｎｄ Ｔｏｏｌｓ/ＳＨＴ 溶接用品【T65804-K10】(8188507) ＳＨＴ ボールボルト用スペーサー 4mm 10個入り 発注単位1,工事用品\溶接用品。■〒Ｓｔｒｏｎｇ Ｈａｎｄ Ｔｏｏｌｓ/ＳＨＴ 溶接用品【T65804-K10】(8188507) ＳＨＴ ボールボルト用スペーサー 4mm 10個入り 発注単位1[rn]
13-7125,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002844453.jpg?fitin=700:700,15910.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒吉野/吉野　遮光フェンスアルミパイプ　１×２　単体キャスター　ダークグリーン【YS-12SC-DG】(3528677) 受注単位1,工事用品\溶接用品\溶接遮光フェンス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●組み立ては接着剤不要（ボルト式）で簡単です。<br>●溶接時に発生する有害な紫外線・可視光線から周りの人の目を保護します。<br>●アルミニウムフレームだから廃棄時リサイクルが可能です。<br>●アルミニウムフレームだからスチールより40%軽いです。<br>●シートは耐炎繊維織物の片面にシリコン加工したスパッタシートアルファ JIS A 1323 C種合格品（第03A0142号）を使用してます。",『カード対応OK！』■〒吉野/吉野　遮光フェンスアルミパイプ　１&times;２　単体キャスター　ダークグリーン【YS-12SC-DG】(3528677) 受注単位1：クローバー資材館,『カード対応OK！』■〒吉野/吉野　遮光フェンスアルミパイプ　１&times;２　単体キャスター　ダークグリーン【YS-12SC-DG】(3528677) 受注単位1,工事用品\溶接用品\溶接遮光フェンス。『カード対応OK！』■〒吉野/吉野　遮光フェンスアルミパイプ　１&times;２　単体キャスター　ダークグリーン【YS-12SC-DG】(3528677) 受注単位1[rn]
13-7126,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002834045.jpg?fitin=700:700,340.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スタイル・インデックス/プリンス　共通ボンベ【G-130】(1184792) 受注単位1,工事用品\溶接用品\ガスバーナー・トーチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●細口タイプで扱いやすい設計です。<br>●縦、横、逆さ、どんな角度でも安定した炎です。<br>●専用ガス注入タイプです。<br>●手軽なバーナーとして、キャンプなどでも役立ちます。",『カード対応OK！』■〒スタイル・インデックス/プリンス　共通ボンベ【G-130】(1184792) 受注単位1：クローバー資材館,『カード対応OK！』■〒スタイル・インデックス/プリンス　共通ボンベ【G-130】(1184792) 受注単位1,工事用品\溶接用品\ガスバーナー・トーチ。『カード対応OK！』■〒スタイル・インデックス/プリンス　共通ボンベ【G-130】(1184792) 受注単位1[rn]
13-7127,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004358510.jpg?fitin=700:700,33048.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒マイト工業/マイト　遮光面【MR-750G2-C】(3941051) 受注単位1,工事用品\溶接用品\溶接面,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●1/20000秒の瞬間反応で有害光線をカットします。<br>●グラインドモード搭載で保護具として使用可能です。<br>●自動OFF機能、ONはアーク光にて自動で再スタートします。<br>●輝度調整機能付です。<br>●感度調整機能搭載です。<br>●戻り速度調整機能搭載です。<br>●目を傷めない超高速遮光です。<br>●溶接前（遮光前）が明るいです。<br>●軽量で疲れません。<br>●高性能液晶を新採用し、液晶ﾑﾗが極めて少ないです。",『カード対応OK！』■〒マイト工業/マイト　遮光面【MR-750G2-C】(3941051) 受注単位1：クローバー資材館,『カード対応OK！』■〒マイト工業/マイト　遮光面【MR-750G2-C】(3941051) 受注単位1,工事用品\溶接用品\溶接面。『カード対応OK！』■〒マイト工業/マイト　遮光面【MR-750G2-C】(3941051) 受注単位1[rn]
13-7128,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002809881.jpg?fitin=700:700,1639.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒千代田精機/千代田　ワンタッチ継手・ＱジョイントＳ－ＲＯ【S-RO】(3552632) 受注単位1,工事用品\溶接用品\ガス溶断用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ボールロック方式です。<br>●ミニ・カプラ（日東工器製）と互換性があります。",『カード対応OK！』■〒千代田精機/千代田　ワンタッチ継手・ＱジョイントＳ&minus;ＲＯ【S-RO】(3552632) 受注単位1：クローバー資材館,『カード対応OK！』■〒千代田精機/千代田　ワンタッチ継手・ＱジョイントＳ&minus;ＲＯ【S-RO】(3552632) 受注単位1,工事用品\溶接用品\ガス溶断用品。『カード対応OK！』■〒千代田精機/千代田　ワンタッチ継手・ＱジョイントＳ&minus;ＲＯ【S-RO】(3552632) 受注単位1[rn]
13-7129,,227.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒不易糊工業/フエキ 建築用品【MAW3-H】(8185607) フエキ 濡れたところに書けるマーカー 黄 発注単位1,工事用品\溶接用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●雨の日の作業や、水回りの作業にもしっかりマーキングできます。<br>
●金属・プラスチック・ガラスなどへのマーキングに最適です。<br>
●工業用素材・部品へのマーキング用。<br>
●色:黄<br>
●幅(mm):19<br>
●奥行(mm):19<br>
●高さ(mm):146<br>
●本体:油性顔料系<br>
●芯:ポリエステル",■〒不易糊工業/フエキ 建築用品【MAW3-H】(8185607) フエキ 濡れたところに書けるマーカー 黄 発注単位1：クローバー資材館,■〒不易糊工業/フエキ 建築用品【MAW3-H】(8185607) フエキ 濡れたところに書けるマーカー 黄 発注単位1,工事用品\溶接用品。■〒不易糊工業/フエキ 建築用品【MAW3-H】(8185607) フエキ 濡れたところに書けるマーカー 黄 発注単位1[rn]
13-7130,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002850157.jpg?fitin=700:700,8285.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日酸ＴＡＮＡＫＡ/日酸ＴＡＮＡＫＡ　Ａ切円弧誘導輪【LQN421】(3061531) 受注単位1,工事用品\溶接用品\ガス溶断用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●手持ちの切断器がそのまま使える切断ガイドです。<br>●電気のいらない構造は故障の心配もいりません。<br>●中形切断器、A号切断器にご使用いただけます。",『カード対応OK！』■〒日酸ＴＡＮＡＫＡ/日酸ＴＡＮＡＫＡ　Ａ切円弧誘導輪【LQN421】(3061531) 受注単位1：クローバー資材館,『カード対応OK！』■〒日酸ＴＡＮＡＫＡ/日酸ＴＡＮＡＫＡ　Ａ切円弧誘導輪【LQN421】(3061531) 受注単位1,工事用品\溶接用品\ガス溶断用品。『カード対応OK！』■〒日酸ＴＡＮＡＫＡ/日酸ＴＡＮＡＫＡ　Ａ切円弧誘導輪【LQN421】(3061531) 受注単位1[rn]
13-7131,,87.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒三菱鉛筆/ｕｎｉ マーカー【PA121T.24】(7923899) ｕｎｉ 油性ツインマーカー細字極細 黒 発注単位1,工事用品\溶接用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●いろんな素材に筆記可能な油性ツインマーカーで、工業用として最適です。<br>
●工業用として各種素材、部品へのマーキング、識別用。<br>
●色:黒<br>
●文字サイズ:細字・極細<br>
●エコマーク認定品(番号:06 112 184)<br>
●サイズ：軸径Ф21.5×厚さ24.5×全長144.5mm<br>
●本体:再生PP樹脂<br>
●芯:（細）アクリル繊維、(極細)ＰＯＭ樹脂",■〒三菱鉛筆/ｕｎｉ マーカー【PA121T.24】(7923899) ｕｎｉ 油性ツインマーカー細字極細 黒 発注単位1：クローバー資材館,■〒三菱鉛筆/ｕｎｉ マーカー【PA121T.24】(7923899) ｕｎｉ 油性ツインマーカー細字極細 黒 発注単位1,工事用品\溶接用品。■〒三菱鉛筆/ｕｎｉ マーカー【PA121T.24】(7923899) ｕｎｉ 油性ツインマーカー細字極細 黒 発注単位1[rn]
13-7132,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002818149.jpg?fitin=700:700,24097.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒理研オプテック/リケン　自動遮光溶接面　防災面型（直かぶりタイプ）【GM-C2】(2965330) 受注単位1,工事用品\溶接用品\溶接面,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●1/3000秒の瞬間反応で有害光線をカットします。<br>●作業前の明るさは#3と明るく、溶接時には#11の遮光度に変換します。",『カード対応OK！』■〒理研オプテック/リケン　自動遮光溶接面　防災面型（直かぶりタイプ）【GM-C2】(2965330) 受注単位1：クローバー資材館,『カード対応OK！』■〒理研オプテック/リケン　自動遮光溶接面　防災面型（直かぶりタイプ）【GM-C2】(2965330) 受注単位1,工事用品\溶接用品\溶接面。『カード対応OK！』■〒理研オプテック/リケン　自動遮光溶接面　防災面型（直かぶりタイプ）【GM-C2】(2965330) 受注単位1[rn]
13-7133,,378.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒サクラクレパス/サクラ マーカー【PKK-J-19R】(7798164) サクラ 鉄鋼用マーカー極太 赤 発注単位1,工事用品\溶接用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●造船の新塗装基準（PSPC）に対応したマーカーです。<br>
●視認性が良く、文字やマークがはっきり見えます。<br>
●木材、石、ガラス、金属、フィルム、プラスチックなどの記入に。<br>
●色:赤<br>
●文字サイズ:極太<br>
●インキ:油性アルコール系顔料",■〒サクラクレパス/サクラ マーカー【PKK-J-19R】(7798164) サクラ 鉄鋼用マーカー極太 赤 発注単位1：クローバー資材館,■〒サクラクレパス/サクラ マーカー【PKK-J-19R】(7798164) サクラ 鉄鋼用マーカー極太 赤 発注単位1,工事用品\溶接用品。■〒サクラクレパス/サクラ マーカー【PKK-J-19R】(7798164) サクラ 鉄鋼用マーカー極太 赤 発注単位1[rn]
13-7134,http://tshop.r10s.jp/clover9608/cabinet/pb3-1/t010002808072.jpg?fitin=700:700,15120.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　溶接機用ケ－ブル　２次側　２０ｍ【TWC-2220】(2561662) 受注単位1,(2561662),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●このケーブルは、弾力性のある強靱な天然ゴムを使用しているため、衝撃・摩耗などに十分な強みを発揮し、特に耐電圧特性は非常に優れています。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　溶接機用ケ&minus;ブル　２次側　２０ｍ【TWC-2220】(2561662) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　溶接機用ケ&minus;ブル　２次側　２０ｍ【TWC-2220】(2561662) 受注単位1,(2561662)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　溶接機用ケ&minus;ブル　２次側　２０ｍ【TWC-2220】(2561662) 受注単位1[rn]
13-7135,,540.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　溶接用スパークライター【TWP-SL】(2562162) 受注単位1,(2562162),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ガス溶接時の着火に使用します。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　溶接用スパークライター【TWP-SL】(2562162) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　溶接用スパークライター【TWP-SL】(2562162) 受注単位1,(2562162)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　溶接用スパークライター【TWP-SL】(2562162) 受注単位1[rn]
13-7136,,5251.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ピカコーポレイション/ピカ 脚立【MCX-90】(8183885) ピカ ステップ幅広 はしご兼用脚立 ＭＣＸ型 発注単位1,工事用品\はしご・脚立,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●中折れ式開き止め金具で脚立の開閉に手間をとりません。<br>
●独自の振動音防止機構を採用しています。<br>
●収納時の横ズレを防止する滑り止めキャップを採用しています。<br>
●最大使用質量(kg):100<br>
●天板高さ(m):0.81<br>
●はしご全長(m):1.72<br>
●天板寸法(mm):300×164<br>
●ステップ数(天板除く):2<br>
●踏ざん踏面幅:55mm<br>
●製品安全協会（SGマーク）認定品<br>
●Aマーク認定品<br>
●アルミ合金",■〒ピカコーポレイション/ピカ 脚立【MCX-90】(8183885) ピカ ステップ幅広 はしご兼用脚立 ＭＣＸ型 発注単位1：クローバー資材館,■〒ピカコーポレイション/ピカ 脚立【MCX-90】(8183885) ピカ ステップ幅広 はしご兼用脚立 ＭＣＸ型 発注単位1,工事用品\はしご・脚立。■〒ピカコーポレイション/ピカ 脚立【MCX-90】(8183885) ピカ ステップ幅広 はしご兼用脚立 ＭＣＸ型 発注単位1[rn]
13-7137,,35217.6000,,花・ガーデン・DIY > DIY・工具 > その他,###■〒長谷川工業/ハセガワ 脚立【XAM2.0-30】(3071758) ハセガワ アルミ長尺専用脚立 発注単位1,工事用品\はしご・脚立,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●アルミ製長尺脚立の強力タイプです。<br>
●踏ざん踏面幅が55mmと広く、昇降しやすく疲れにくくなっています。<br>
●大型開き止め機構を採用しています。<br>
●高さのバリエーションも豊富です。<br>
●最大使用質量(kg):130<br>
●天板高さ(m):2.90<br>
●天板寸法(mm):283×187<br>
●収納時全長(m):3.04<br>
●はしご全長(m):-<br>
●踏ざん踏面幅(mm):55<br>
●踏ざん踏面幅:55mm<br>
●Aマーク認定品<br>
●アルミ<br><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b><br>",###■〒長谷川工業/ハセガワ 脚立【XAM2.0-30】(3071758) ハセガワ アルミ長尺専用脚立 発注単位1：クローバー資材館,###■〒長谷川工業/ハセガワ 脚立【XAM2.0-30】(3071758) ハセガワ アルミ長尺専用脚立 発注単位1,工事用品\はしご・脚立。###■〒長谷川工業/ハセガワ 脚立【XAM2.0-30】(3071758) ハセガワ アルミ長尺専用脚立 発注単位1[rn]
13-7138,,4587.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒長谷川工業/ハセガワ【SKB-06(BK)】(4966228) アルミ製折りたたみ式踏台　ＳＫＢ型　２段　ブラック 受注単位1,工事用品\はしご・脚立\脚立型踏台,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●開き止めがワンタッチバーになっており片手で簡単に開閉できます。<br>●最大使用質量１３０ｋｇで耐久性にも優れ、ご家庭用・業務用どちらでもお勧めできます。<br>●業界初のメーカー３年補償付きです（但し条件あり）。<br><br>●オフィス、店舗、倉庫などでのピッキング作業だけでなく、一般ご家庭用としても違和感の無いデザインです。<br><br>●最大使用質量(kg)：130<br>●天板高さ(m)：0.56<br>●収納時全長(m)：0.61<br>●天板寸法(mm)：280×170<br>●段数：2<br>●色：ブラック<br>●収納時寸法(mm)全長×幅×奥行：610×420×160<br>●質量(kg)：2.7<br><br>●踏ざん踏面積：70mm<br>●グッドデザイン賞受賞<br><br>●主要部：アルミ合金<br>",『カード対応OK！』■〒長谷川工業/ハセガワ【SKB-06(BK)】(4966228) アルミ製折りたたみ式踏台　ＳＫＢ型　２段　ブラック 受注単位1：クローバー資材館,『カード対応OK！』■〒長谷川工業/ハセガワ【SKB-06(BK)】(4966228) アルミ製折りたたみ式踏台　ＳＫＢ型　２段　ブラック 受注単位1,工事用品\はしご・脚立\脚立型踏台。『カード対応OK！』■〒長谷川工業/ハセガワ【SKB-06(BK)】(4966228) アルミ製折りたたみ式踏台　ＳＫＢ型　２段　ブラック 受注単位1[rn]
13-7139,,22550.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##■〒アルインコ【CSBC151S】(4439864) 作業台（天板縞板タイプ）１段 受注単位1,工事用品\はしご・脚立\作業用踏台,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●天板が縞板のため、従来品のアルミ形材に比べて滑り止め効果があります。<br>●オールアルマイト仕上げです。<br><br>●工場、倉庫内での作業<br><br>●最大使用質量(kg)：150<br>●天板高さ(m)：0.5<br>●天板寸法(mm)：1000×400<br>●設置寸法(mm)間口×奥行：1015×415<br>●段数：1<br><br>●組立式<br>●組立品<br>●オプションが豊富です。１．手摺り(本体1段タイプは取付不可)　２．キャスター　３．踏ざん巾木(本体1段タイプは取付不可)　４．レベルアジャスター　５．アンカーボルト固定用金具<br>●特注品にて別サイズ製作可能です。<br><br>●アルミ<br>",『カード対応OK！』##■〒アルインコ【CSBC151S】(4439864) 作業台（天板縞板タイプ）１段 受注単位1：クローバー資材館,『カード対応OK！』##■〒アルインコ【CSBC151S】(4439864) 作業台（天板縞板タイプ）１段 受注単位1,工事用品\はしご・脚立\作業用踏台。『カード対応OK！』##■〒アルインコ【CSBC151S】(4439864) 作業台（天板縞板タイプ）１段 受注単位1[rn]
13-7140,,131760.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アルインコ住宅機器事業部/アルインコ 脚立【CSD225F】(8184748) アルインコ 折畳式作業台ＣＳＤ－Ｆ踏ざんＨ250mm仕様 発注単位1,工事用品\はしご・脚立,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●頑丈で安定性に優れたアルミ製折畳式作用台です。<br>
●踏ざん高さ２５０mm、昇降角度５５度、踏ざん踏幅１１１mmでより安全に昇降できます。<br>
●折りたたみ構造なので収納スペースを取りません。<br>
●背面キャスターも装備しており楽に移動ができます。<br>
●工場、倉庫などでの作業に。<br>
●最大使用質量(kg):120<br>
●天板高さ(m):2.25<br>
●段数:9<br>
●作業床寸法(mm):500×523<br>
●設置寸法(mm):944×2265<br>
●天板寸法(mm):500×523<br>
●最大作業床高さ(m):2.25<br>
●収納時寸法(mm)長さ×幅×奥行:2815×219×944<br>
●完成品<br>
●踏ざん高さ:250mmピッチ<br>
●踏ざん踏幅:111mm<br>
●背面キャスターφ75（収納可能）<br>
●アルミ<br>
●沖縄、その他離島は運賃別途かかります。",■〒アルインコ住宅機器事業部/アルインコ 脚立【CSD225F】(8184748) アルインコ 折畳式作業台ＣＳＤ&minus;Ｆ踏ざんＨ250mm仕様 発注単位1：クローバー資材館,■〒アルインコ住宅機器事業部/アルインコ 脚立【CSD225F】(8184748) アルインコ 折畳式作業台ＣＳＤ&minus;Ｆ踏ざんＨ250mm仕様 発注単位1,工事用品\はしご・脚立。■〒アルインコ住宅機器事業部/アルインコ 脚立【CSD225F】(8184748) アルインコ 折畳式作業台ＣＳＤ&minus;Ｆ踏ざんＨ250mm仕様 発注単位1[rn]
13-7141,,27462.4000,,花・ガーデン・DIY > DIY・工具 > その他,###■〒丸善精工/丸善 リフト【LH-2651A-YE】(7783833) 丸善 ローハイシステムステップ カラー足踏台(黄) アルミ製 発注単位1,工事用品\はしご・脚立,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br><br>
●オールアルミ製で軽くて持ち運びにも便利です。<br>
●簡易足踏台。<br>
●最大使用質量(kg):80<br>
●天板高さ(m):0.5<br>
●天板寸法(mm):500×350<br>
●段数:2<br>
●設置寸法(mm)間口:500<br>
●設置寸法(mm)奥行:350<br>
●色:黄<br>
●完成品<br>
●カラー焼付塗装<br>
●床板:アルミ縞板（メラミン焼き付け塗装）<br>
●脚:アルミ合金<br>
●北海道・沖縄・離島は別途運賃",###■〒丸善精工/丸善 リフト【LH-2651A-YE】(7783833) 丸善 ローハイシステムステップ カラー足踏台(黄) アルミ製 発注単位1：クローバー資材館,###■〒丸善精工/丸善 リフト【LH-2651A-YE】(7783833) 丸善 ローハイシステムステップ カラー足踏台(黄) アルミ製 発注単位1,工事用品\はしご・脚立。###■〒丸善精工/丸善 リフト【LH-2651A-YE】(7783833) 丸善 ローハイシステムステップ カラー足踏台(黄) アルミ製 発注単位1[rn]
13-7142,,40608.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒アルインコ【CMT138WS】(7513518) 作業台　金具ＳＵＳ仕様 受注単位1,工事用品\はしご・脚立\作業用踏台,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font>
<br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。

</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●天板が縞板のため、従来品のアルミ形材に比べて滑り止め効果があります。<br>●金具はSUS使用しておりますので錆に強い作業台です。<br><br>●工場内、倉庫内の作業台に最適です。<br><br>●最大使用質量(kg)：150<br>●天板高さ(m)：0.3<br>●天板寸法(mm)：800×600<br>●設置寸法(mm)間口×奥行：815×615<br>●段数：1<br>●質量(kg)：9.9<br><br>●完成品<br><br>●本体：アルミ<br>●金具：ＳＵＳ<br>●脚ゴム：エラストマー<br>",『カード対応OK！』##&forall;■〒アルインコ【CMT138WS】(7513518) 作業台　金具ＳＵＳ仕様 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒アルインコ【CMT138WS】(7513518) 作業台　金具ＳＵＳ仕様 受注単位1,工事用品\はしご・脚立\作業用踏台。『カード対応OK！』##&forall;■〒アルインコ【CMT138WS】(7513518) 作業台　金具ＳＵＳ仕様 受注単位1[rn]
13-7143,,30888.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##■〒アルインコ【CSBT27AL】(7697813) 作業台フルセット手すり　ＣＳＢＣ２７６用 受注単位1,工事用品\はしご・脚立\作業用踏台,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●アルミ製作業台ＣＳＢＣ用フルセット手すりです。<br><br>●転落防止に最適です。<br><br>●タイプ：フルセット<br>●手すり高さ(mm)：９００/１１００<br>●適用本体：ＣＳＢＣ２７６Ｓ<br><br>●手すり高さ900・1100mm兼用　<br>●組立式<br>●支柱３２ｍｍ<br>●幅木高さ１０３ｍｍ<br><br>●アルミ<br>",『カード対応OK！』##■〒アルインコ【CSBT27AL】(7697813) 作業台フルセット手すり　ＣＳＢＣ２７６用 受注単位1：クローバー資材館,『カード対応OK！』##■〒アルインコ【CSBT27AL】(7697813) 作業台フルセット手すり　ＣＳＢＣ２７６用 受注単位1,工事用品\はしご・脚立\作業用踏台。『カード対応OK！』##■〒アルインコ【CSBT27AL】(7697813) 作業台フルセット手すり　ＣＳＢＣ２７６用 受注単位1[rn]
