13-9001,http://tshop.r10s.jp/akibamac/cabinet/04927126/4548565314157.jpg?fitin=700:700,256.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > ビデオカメラ,京商ビスセット DR010,,ビスセット,京商ビスセット DR010：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン京商ビスセット DR010,京商ビスセット DR010[rn]
13-9047,http://tshop.r10s.jp/akibamac/cabinet/05378215/4960999845807.jpg?fitin=700:700,54240.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > カメラ用交換レンズ,【送料無料】【中古】Canon Canon EF 24-70mm F4L IS USM (EF24-7040LIS) [中古交換レンズ本体],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】レンズ内にホコリ(極小)混入有り。<br><br>【商品グレード】∥★★★★∥中古品∥【商品カテゴリ】一眼レフ用交換レンズ【対応】キヤノン(EFマウント/35mmフルサイズ)【分類】標準ズームレンズ【明るさ】F4.0<BR><BR>【性能】広角から標準・中望遠の撮影領域に加え、マクロ領域までを一本で表現できる標準ズームレンズ ・画角:水平74°-29°/垂直53°-19°30'/対角線84°-34° ・レンズ構成:12群15枚 ・絞り羽根枚数:9枚 ・最小絞り:22 ・フィルター径:77mm ・本体重量:600g/2012年12月頃発売<br><br>【欠品】[取扱説明書、レンズケース]欠品。<br><br>【付属品】[レンズキャップ、マウント部キャップ、レンズフード]が付属。<br><br>ご注文の前に中古品・未使用品の各種注意事項をご確認ください。＞＞詳しくはこちら<br>※お買い上げから1ヶ月以内に初期不良が発生した場合、返品にて対応いたします。交換対応は行っておりません。<br>※メーカー純正箱、メーカー保証書、各種消耗品などは原則として付属しておりません。<br>※メーカー保証の適用は、発売時期に関わらず関知しておりません。<br>※バッテリー、電池をはじめとした各種消耗品の動作補償は一切ございません。<br>※表示されている商品写真は、新品商品のイメージです。実際のお届け品とは異なります。<br><br>,【送料無料】【中古】Canon Canon EF 24-70mm F4L IS USM (EF24-7040LIS) [中古交換レンズ本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】Canon Canon EF 24-70mm F4L IS USM (EF24-7040LIS) [中古交換レンズ本体],【送料無料】【中古】Canon Canon EF 24-70mm F4L IS USM (EF24-7040LIS) [中古交換レンズ本体][rn]
13-9048,http://tshop.r10s.jp/akibamac/cabinet/05378215/4960759007667.jpg?fitin=700:700,23840.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > カメラ用交換レンズ,【送料無料】【中古】Nikon Nikon Ai Nikkor 28mm F2.8S (マニュアルフォーカスレンズ) [中古交換レンズ本体],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】レンズ内にホコリ(小)混入有り。<br><br>【商品グレード】∥★★★∥中古品∥【商品カテゴリ】一眼レフ用交換レンズ【対応】ニコン【分類】MF(マニュアルフォーカス)レンズ【明るさ】F2.8<BR><BR>【性能】広角レンズ独特の多彩な表現ができ、かつスナップなどにも活用できる幅広いレンズです。・フィルター径:52ミリ ・最大径×全長:63φ×44.5ミリ ・画角:74°・レンズ構成:8群8枚 ・最小絞り:22F ・最短撮影距離:0.2m<br><br>【付属品】[使用説明書、前キャップ、後キャップ]が付属。<br><br>ご注文の前に中古品・未使用品の各種注意事項をご確認ください。＞＞詳しくはこちら<br>※お買い上げから1ヶ月以内に初期不良が発生した場合、返品にて対応いたします。交換対応は行っておりません。<br>※メーカー純正箱、メーカー保証書、各種消耗品などは原則として付属しておりません。<br>※メーカー保証の適用は、発売時期に関わらず関知しておりません。<br>※バッテリー、電池をはじめとした各種消耗品の動作補償は一切ございません。<br>※表示されている商品写真は、新品商品のイメージです。実際のお届け品とは異なります。<br><br>,【送料無料】【中古】Nikon Nikon Ai Nikkor 28mm F2.8S (マニュアルフォーカスレンズ) [中古交換レンズ本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】Nikon Nikon Ai Nikkor 28mm F2.8S (マニュアルフォーカスレンズ) [中古交換レンズ本体],【送料無料】【中古】Nikon Nikon Ai Nikkor 28mm F2.8S (マニュアルフォーカスレンズ) [中古交換レンズ本体][rn]
13-9049,http://tshop.r10s.jp/akibamac/cabinet/05378215/4905524339789.jpg?fitin=700:700,35040.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > カメラ用交換レンズ,【送料無料】【中古】SONY Vario-Sonnar T* DT 16-80mm F3.5-4.5 ZA (SAL1680Z)(レンズ) [中古交換レンズ本体],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】レンズ内にホコリ混入有り。<br><br>【商品グレード】∥★★★∥中古品∥【商品カテゴリ】一眼レフ用交換レンズ【対応】ソニー【分類】標準ズームレンズ【明るさ】F3.5-4.5<BR><BR>【性能】APSサイズセンサー搭載デジタル一眼レフ専用の5倍標準ズームレンズ。・35mm判換算焦点距離:24-120mm ・レンズ構成:10群14枚 ・絞り羽根:7枚 ・最短撮影距離:0.35m ・最大撮影倍率:0.24倍 ・フィルター径:62mm ・外形寸法(最大径×長さ):72mm×83mm ・質量:約445g/2007年3月頃発売<br>【付属品】[取扱説明書、前レンズキャップ、後レンズキャップ、レンズフード、レンズポーチ]が付属。<br><br>ご注文の前に中古品・未使用品の各種注意事項をご確認ください。＞＞詳しくはこちら<br>※お買い上げから1ヶ月以内に初期不良が発生した場合、返品にて対応いたします。交換対応は行っておりません。<br>※メーカー純正箱、メーカー保証書、各種消耗品などは原則として付属しておりません。<br>※メーカー保証の適用は、発売時期に関わらず関知しておりません。<br>※バッテリー、電池をはじめとした各種消耗品の動作補償は一切ございません。<br>※表示されている商品写真は、新品商品のイメージです。実際のお届け品とは異なります。<br><br>,【送料無料】【中古】SONY Vario-Sonnar T* DT 16-80mm F3.5-4.5 ZA (SAL1680Z)(レンズ) [中古交換レンズ本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】SONY Vario-Sonnar T* DT 16-80mm F3.5-4.5 ZA (SAL1680Z)(レンズ) [中古交換レンズ本体],【送料無料】【中古】SONY Vario-Sonnar T* DT 16-80mm F3.5-4.5 ZA (SAL1680Z)(レンズ) [中古交換レンズ本体][rn]
13-9050,http://tshop.r10s.jp/akibamac/cabinet/05316687/4960999004341.jpg?fitin=700:700,16640.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > カメラ用交換レンズ,【送料無料】【中古】Canon Canon Extender EF 1.4xII (レンズ) [中古交換レンズ本体],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】レンズ内にホコリ(小)有り。<br><br>【商品グレード】∥★★★★∥中古品∥【商品カテゴリ】一眼レフ用交換レンズ【対応】キヤノン【分類】(テレ/ワイド)コンバージョンレンズ<BR><BR>【性能】焦点距離135mm以上の単焦点Lレンズ、およびF70-200mm F2.8L USM、EF70-200mm F4L USM、EF100-400mm F4.5-5.6L IS USM、EF400mm F4 DO IS USMに装着できる、2タイプの高性能エクステンダー ・キャノンEFマウント<br>【付属品】[マニュアル、前キャップ、後キャップ、ポーチ]が付属。,【送料無料】【中古】Canon Canon Extender EF 1.4xII (レンズ) [中古交換レンズ本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】Canon Canon Extender EF 1.4xII (レンズ) [中古交換レンズ本体],【送料無料】【中古】Canon Canon Extender EF 1.4xII (レンズ) [中古交換レンズ本体][rn]
13-9051,http://tshop.r10s.jp/akibamac/cabinet/05269027/4960999004341.jpg?fitin=700:700,15840.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > カメラ用交換レンズ,【送料無料】【中古】Canon Canon Extender EF 1.4xII (レンズ) [中古交換レンズ本体],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】レンズ内にホコリ(小)有り。<br><br>【商品グレード】∥★★★★∥中古品∥【商品カテゴリ】一眼レフ用交換レンズ【対応】キヤノン【分類】(テレ/ワイド)コンバージョンレンズ<BR><BR>【性能】焦点距離135mm以上の単焦点Lレンズ、およびF70-200mm F2.8L USM、EF70-200mm F4L USM、EF100-400mm F4.5-5.6L IS USM、EF400mm F4 DO IS USMに装着できる、2タイプの高性能エクステンダー ・キャノンEFマウント<br>【欠品】[マニュアル]欠品。<br><br>【付属品】[前キャップ、後キャップ、ポーチ]が付属。,【送料無料】【中古】Canon Canon Extender EF 1.4xII (レンズ) [中古交換レンズ本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】Canon Canon Extender EF 1.4xII (レンズ) [中古交換レンズ本体],【送料無料】【中古】Canon Canon Extender EF 1.4xII (レンズ) [中古交換レンズ本体][rn]
13-9052,http://tshop.r10s.jp/akibamac/cabinet/05168389/2110002991010.jpg?fitin=700:700,11840.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > カメラ用交換レンズ,【送料無料】【中古】OLYMPUS M.ZUIKO DIGITAL ED 40-150mm F4.0-5.6 R (シルバー) (μ4/3) [中古交換レンズ本体],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】レンズ内にホコリ(小)混入有り、外装にキズ有り。<br><br>【商品グレード】∥★★★∥中古品∥【商品カテゴリ】一眼レフ用交換レンズ【対応】オリンパス（マイクロフォーサーズマウント）【分類】望遠ズームレンズ【明るさ】F4.0-5.6<BR><BR>【性能】高速&静音のオートフォーカス「MSC機構」を搭載。・焦点距離:40-150mm/口径比:最大F4最小F5.6/レンズ構成:10群13枚/最短撮影距離:0.9m/最大撮影倍率:0.16倍/絞り羽枚数:7枚/フィルター:58mm/サイズ:最大径63.5×全長83mm/質量:190g/2010年10月頃発売<br>【欠品】[取扱説明書]欠品。<br><br>【付属品】[前キャップ、後キャップ]が付属。,【送料無料】【中古】OLYMPUS M.ZUIKO DIGITAL ED 40-150mm F4.0-5.6 R (シルバー) (μ4/3) [中古交換レンズ本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】OLYMPUS M.ZUIKO DIGITAL ED 40-150mm F4.0-5.6 R (シルバー) (μ4/3) [中古交換レンズ本体],【送料無料】【中古】OLYMPUS M.ZUIKO DIGITAL ED 40-150mm F4.0-5.6 R (シルバー) (μ4/3) [中古交換レンズ本体][rn]
13-9053,http://tshop.r10s.jp/akibamac/cabinet/05378215/4960999213507.jpg?fitin=700:700,11840.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > カメラ用交換レンズ,【送料無料】【中古】Canon Canon EF 20-35mm F3.5-4.5 USM (レンズ) [中古交換レンズ本体],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】レンズ内にホコリ(小)有り。<br><br>【商品グレード】∥★★★★∥中古品∥【商品カテゴリ】一眼レフ用交換レンズ【対応】キヤノン(EFマウント/35mmフルサイズ)【分類】広角ズームレンズ【明るさ】F3.5-4.5<BR><BR>【性能】レンズ構成 11群12枚、 焦点距離 20-35mm、 撮影距離範囲 0.34m-∞、 最大撮影倍率 0.13倍、 最小絞り値 F3.5-F4.5、 フィルター径 77mm、 最大径×長さ φ83.5×68.9mm ・超広角20mmから35mmをカバーする広角ズーム、 USM駆動により静粛・高速AFを実現<br>【欠品】[マニュアル、キャリングケース]欠品。<br><br>【付属品】[前レンズキャップ、後レンズキャップ]が付属。<br><br>ご注文の前に中古品・未使用品の各種注意事項をご確認ください。＞＞詳しくはこちら<br>※お買い上げから1ヶ月以内に初期不良が発生した場合、返品にて対応いたします。交換対応は行っておりません。<br>※メーカー純正箱、メーカー保証書、各種消耗品などは原則として付属しておりません。<br>※メーカー保証の適用は、発売時期に関わらず関知しておりません。<br>※バッテリー、電池をはじめとした各種消耗品の動作補償は一切ございません。<br>※表示されている商品写真は、新品商品のイメージです。実際のお届け品とは異なります。<br><br>,【送料無料】【中古】Canon Canon EF 20-35mm F3.5-4.5 USM (レンズ) [中古交換レンズ本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】Canon Canon EF 20-35mm F3.5-4.5 USM (レンズ) [中古交換レンズ本体],【送料無料】【中古】Canon Canon EF 20-35mm F3.5-4.5 USM (レンズ) [中古交換レンズ本体][rn]
13-9054,http://tshop.r10s.jp/akibamac/cabinet/05378215/4960999272351.jpg?fitin=700:700,42240.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > カメラ用交換レンズ,【送料無料】【中古】Canon Canon EF 24-105mm F4L IS USM (レンズ) [中古交換レンズ本体],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】レンズ内にホコリ(小)混入有り、レンズ面に若干キズ有り。<br><br>【商品グレード】∥★★★∥中古品∥【商品カテゴリ】一眼レフ用交換レンズ【対応】キヤノン(EFマウント/35mmフルサイズ)【分類】標準ズームレンズ【明るさ】F4.0<BR><BR>【性能】標準Lタイプズームに初めて手ブレ補正機構を搭載した一本。光学系にはスーパーUDレンズ1枚と2種3枚の非球面レンズを採用し、ズーム全域でLシリーズならではの高画質を実現しています。<br>【付属品】[取扱説明書(クイックガイド+CDの場合有り)、前キャップ、後キャップ、フード、キャリングポーチ]が付属。<br><br>ご注文の前に中古品・未使用品の各種注意事項をご確認ください。＞＞詳しくはこちら<br>※お買い上げから1ヶ月以内に初期不良が発生した場合、返品にて対応いたします。交換対応は行っておりません。<br>※メーカー純正箱、メーカー保証書、各種消耗品などは原則として付属しておりません。<br>※メーカー保証の適用は、発売時期に関わらず関知しておりません。<br>※バッテリー、電池をはじめとした各種消耗品の動作補償は一切ございません。<br>※表示されている商品写真は、新品商品のイメージです。実際のお届け品とは異なります。<br><br>,【送料無料】【中古】Canon Canon EF 24-105mm F4L IS USM (レンズ) [中古交換レンズ本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】Canon Canon EF 24-105mm F4L IS USM (レンズ) [中古交換レンズ本体],【送料無料】【中古】Canon Canon EF 24-105mm F4L IS USM (レンズ) [中古交換レンズ本体][rn]
13-9055,http://tshop.r10s.jp/akibamac/cabinet/05378215/4960999272351.jpg?fitin=700:700,44640.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > カメラ用交換レンズ,【送料無料】【中古】Canon Canon EF 24-105mm F4L IS USM (レンズ) [中古交換レンズ本体],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】レンズ内にホコリ(極小)混入有り。<br><br>【商品グレード】∥★★★★∥中古品∥【商品カテゴリ】一眼レフ用交換レンズ【対応】キヤノン(EFマウント/35mmフルサイズ)【分類】標準ズームレンズ【明るさ】F4.0<BR><BR>【性能】標準Lタイプズームに初めて手ブレ補正機構を搭載した一本。光学系にはスーパーUDレンズ1枚と2種3枚の非球面レンズを採用し、ズーム全域でLシリーズならではの高画質を実現しています。<br>【付属品】[取扱説明書(クイックガイド+CDの場合有り)、前キャップ、後キャップ、フード、キャリングポーチ]が付属。<br><br>ご注文の前に中古品・未使用品の各種注意事項をご確認ください。＞＞詳しくはこちら<br>※お買い上げから1ヶ月以内に初期不良が発生した場合、返品にて対応いたします。交換対応は行っておりません。<br>※メーカー純正箱、メーカー保証書、各種消耗品などは原則として付属しておりません。<br>※メーカー保証の適用は、発売時期に関わらず関知しておりません。<br>※バッテリー、電池をはじめとした各種消耗品の動作補償は一切ございません。<br>※表示されている商品写真は、新品商品のイメージです。実際のお届け品とは異なります。<br><br>,【送料無料】【中古】Canon Canon EF 24-105mm F4L IS USM (レンズ) [中古交換レンズ本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】Canon Canon EF 24-105mm F4L IS USM (レンズ) [中古交換レンズ本体],【送料無料】【中古】Canon Canon EF 24-105mm F4L IS USM (レンズ) [中古交換レンズ本体][rn]
13-9056,http://tshop.r10s.jp/akibamac/cabinet/05378215/0085126310547.jpg?fitin=700:700,21440.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > カメラ用交換レンズ,【送料無料】【中古】SIGMA SIGMA 50mm F1.4 EX DG HSM (Canon用) (レンズ) [中古交換レンズ本体],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】レンズ内にホコリ(小)混入有り。<br><br>【商品グレード】∥★★★∥中古品∥【商品カテゴリ】一眼レフ用交換レンズ【対応】キヤノン【分類】標準レンズ(単焦点)【明るさ】F1.4<BR><BR>【性能】・デジタル対応大口径標準レンズ [レンズ構成]6群8枚 [画角]46.8゜ [絞り羽根枚数]9枚 [最小絞り]F16 [最短撮影距離]45cm [最大倍率]1:7.4 [フィルター径]φ77mm [最大径×全長]φ84.5mm×68.2mm [重量]505g                  <br>【付属品】[使用説明書、前キャップ、後キャップ、花形フード、ケース]が付属。<br><br>ご注文の前に中古品・未使用品の各種注意事項をご確認ください。＞＞詳しくはこちら<br>※お買い上げから1ヶ月以内に初期不良が発生した場合、返品にて対応いたします。交換対応は行っておりません。<br>※メーカー純正箱、メーカー保証書、各種消耗品などは原則として付属しておりません。<br>※メーカー保証の適用は、発売時期に関わらず関知しておりません。<br>※バッテリー、電池をはじめとした各種消耗品の動作補償は一切ございません。<br>※表示されている商品写真は、新品商品のイメージです。実際のお届け品とは異なります。<br><br>,【送料無料】【中古】SIGMA SIGMA 50mm F1.4 EX DG HSM (Canon用) (レンズ) [中古交換レンズ本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】SIGMA SIGMA 50mm F1.4 EX DG HSM (Canon用) (レンズ) [中古交換レンズ本体],【送料無料】【中古】SIGMA SIGMA 50mm F1.4 EX DG HSM (Canon用) (レンズ) [中古交換レンズ本体][rn]
13-9057,http://tshop.r10s.jp/akibamac/cabinet/05316687/4960999272351.jpg?fitin=700:700,42240.0000,,TV・オーディオ・カメラ > カメラ・ビデオカメラ・光学機器 > カメラ用交換レンズ,【送料無料】【中古】Canon Canon EF 24-105mm F4L IS USM (レンズ) [中古交換レンズ本体],,【ご注意事項】<br>・店頭併売の為、売切れの際はご容赦ください。<br>・表示されている商品画像はイメージになります。実際の商品とは異なります。<br>・万一初期不良等がありました場合はご返品のみのご対応となります。<br>・中古商品に関しましてはメーカー保証、保証書はございません。<br>・商品ごとに状態、付属品が異なりますので必ずご確認ください。<br><br>【保証期間】中古保証1ヶ月（液晶のドット抜け及びバッテリーなどの消耗品は保証対象外です。）<br><br>【状態】レンズ内にホコリ(小)混入有り、外装にキズ(小)有り。<br><br>【商品グレード】∥★★★∥中古品∥【商品カテゴリ】一眼レフ用交換レンズ【対応】キヤノン(EFマウント/35mmフルサイズ)【分類】標準ズームレンズ【明るさ】F4.0<BR><BR>【性能】標準Lタイプズームに初めて手ブレ補正機構を搭載した一本。光学系にはスーパーUDレンズ1枚と2種3枚の非球面レンズを採用し、ズーム全域でLシリーズならではの高画質を実現しています。<br>【付属品】[後キャップ、フード]が付属。<br><br>【欠品】[取扱説明書(クイックガイド+CDの場合有り)、前キャップ、キャリングポーチ]欠品。,【送料無料】【中古】Canon Canon EF 24-105mm F4L IS USM (レンズ) [中古交換レンズ本体]：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】【中古】Canon Canon EF 24-105mm F4L IS USM (レンズ) [中古交換レンズ本体],【送料無料】【中古】Canon Canon EF 24-105mm F4L IS USM (レンズ) [中古交換レンズ本体][rn]
