11-54101,http://tshop.r10s.jp/ik21/cabinet/130308031.jpg?fitin=700:700,544.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,ニチフ、大同〓丸形端子（R形）100個入り〓R3.5-5S,,"呼び名：R3.5-5S<br>
【仕様】<br>
●適用電線範囲-単線：1.82～2.4（ｍｍ）<br>
●適用電線範囲-撚線：2.63～4.6（mm&sup2;）<br>
●適用電線範囲-AWG：12<br>
●寸法φｄ2：5.3<br>
●寸法B：9.6<br>
【販売数量】：100個<br>
注）写真はサンプルです。<br>【補足】量り売りをしております。数量の増減がありますが、ご了承ください。<br>",ニチフ、大同〓丸形端子（R形）100個入り〓R3.5-5S：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品ニチフ、大同〓丸形端子（R形）100個入り〓R3.5-5S,【圧着端子】★汎用の裸圧着端子♪★。ニチフ、大同〓丸形端子（R形）100個入り〓R3.5-5S[rn]
11-54125,http://tshop.r10s.jp/ik21/cabinet/13022354-2.jpg?fitin=700:700,1352.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,芝軽素材〓コンベックス　屋内用 1袋＝100本入り〓CV-300N,,"●材質： ナイロン66。<br>
●機構：戻り止め自動カムロック式。<br> 
●販売単位　：　100本入/袋 <br>
●メーカー　：　芝軽粗材<br>
●型番　：　CV-300Ｎ<br>
●サイズ ：a=300ｍｍ,b=9ｍｍ<br>
●結束範囲 （ｍｍ）： 5～80<br>
●色 ： N (ナチュラルタイプ) = 自然色",芝軽素材〓コンベックス　屋内用 1袋＝100本入り〓CV-300N：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品芝軽素材〓コンベックス　屋内用 1袋＝100本入り〓CV-300N,【結束バンド 】★♪♪★。芝軽素材〓コンベックス　屋内用 1袋＝100本入り〓CV-300N[rn]
11-54126,http://tshop.r10s.jp/ik21/cabinet/13022365-2.jpg?fitin=700:700,1120.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,芝軽素材〓コンベックス　耐候性 1袋＝100本入り〓CV-300B,,"●材質： ナイロン66。<br>
●機構：戻り止め自動カムロック式。<br> 
●販売単位　：　100本入/袋 <br>
●メーカー　：　芝軽粗材<br>
●型番　：　CV-300B<br>
●サイズ ：a=300ｍｍ,b=9ｍｍ<br>
●結束範囲 （ｍｍ）： 5～80<br>
●色 ：B (耐候性タイプ) = 黒",芝軽素材〓コンベックス　耐候性 1袋＝100本入り〓CV-300B：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品芝軽素材〓コンベックス　耐候性 1袋＝100本入り〓CV-300B,【耐候性結束バンド 】★♪♪★。芝軽素材〓コンベックス　耐候性 1袋＝100本入り〓CV-300B[rn]
11-54127,http://tshop.r10s.jp/ik21/cabinet/cart-01/13022369.jpg?fitin=700:700,4240.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,芝軽素材 〓 コンベックス　耐候性 1袋＝50本入り 〓 CV-800B,,"●材質： ナイロン66。<br>
●機構：戻り止め自動カムロック式。<br> 
●販売単位　：　50本入/袋 <br>
●メーカー　：　芝軽粗材<br>
●型番　：　CV-800B<br>
●サイズ ：a=800mm,b=14mm<br>
●結束範囲 （ｍｍ）： 30～230<br>
●色 ： B (耐候性タイプ) = 黒",芝軽素材 〓 コンベックス　耐候性 1袋＝50本入り 〓 CV-800B：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品芝軽素材 〓 コンベックス　耐候性 1袋＝50本入り 〓 CV-800B,【耐候性結束バンド】★ワンタッチで迅速、簡単に結束♪♪★。芝軽素材 〓 コンベックス　耐候性 1袋＝50本入り 〓 CV-800B[rn]
11-54128,http://tshop.r10s.jp/ik21/cabinet/130225023.jpg?fitin=700:700,80.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ6×0.25　黒,,"●材質： 電子架橋ポリオレフィン樹脂<br>
●収縮温度：115℃以上<br> 
●内径収縮率　：約40％ <br>
●長さ変化率　：　-15％以上<br>
●連続使用可能温度　：　-55～105℃<br>
●色 ：黒<br>
●呼称サイズ： 6×0.25<br>
●収縮前サイズｍｍ（内径） ：　6.5±0.30<br>
●収縮後サイズｍｍ（内径）　：　3.50（最大値）<br>
●販売単位　：　1m切断品",住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ6&times;0.25　黒：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ6&times;0.25　黒,【収縮チューブ】★電線接続部の絶縁に♪♪★。住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ6&times;0.25　黒[rn]
11-54129,http://tshop.r10s.jp/ik21/cabinet/ho-p-957.jpg?fitin=700:700,3600.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,電気工事士　技能試験対策品ホーザン〓VVFストリッパー〓P-957,,"● 慣れない方も芯線被覆を傷つけにくい、ストリップアシスト用バネ付<br> 
● ストリップスケール付<br>  
重量 200g <br> 
芯線被覆ストリップ適応： <br> 
1.6ｍｍφ×2/2.0ｍｍφ×2<br>  
ケーブル外装ストリップ適応：<br> 
1.6×2芯/1.6×3芯/2.0×2芯/2.0×3芯<br>  
切断能力 VVFケーブル<br> 
1.6×2芯/1.6×3芯/2.0×2芯/2.0×3芯<br>
関連商品　P-925合格ゲージを使うともっと便利!!!",電気工事士　技能試験対策品ホーザン〓VVFストリッパー〓P-957：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品電気工事士　技能試験対策品ホーザン〓VVFストリッパー〓P-957,■VVFストリッパー!!。電気工事士　技能試験対策品ホーザン〓VVFストリッパー〓P-957[rn]
11-54130,http://tshop.r10s.jp/ik21/cabinet/hakko-no18g.jpg?fitin=700:700,976.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,白光〓簡易はんだ吸取器〓No18G,,●電源不要の軽量、簡単操作のはんだ吸取器。,白光〓簡易はんだ吸取器〓No18G：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品白光〓簡易はんだ吸取器〓No18G,★抜群のはんだ吸い取り♪♪★電子工作必需品!!!。白光〓簡易はんだ吸取器〓No18G[rn]
11-54131,http://tshop.r10s.jp/ik21/cabinet/hakko-nofr100-00.jpg?fitin=700:700,204.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,白光〓はんだ吸取線〓NoFR100-00,,【使い方】：はんだの上にウイックをあてて、はんだこてでウイックを加熱しながら吸取ります。,白光〓はんだ吸取線〓NoFR100-00：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品白光〓はんだ吸取線〓NoFR100-00,★抜群のはんだ吸取線0.6ｍｍ♪♪★電子工作必需品!!!。白光〓はんだ吸取線〓NoFR100-00[rn]
11-54132,http://tshop.r10s.jp/ik21/cabinet/hakko-nofr100-01.jpg?fitin=700:700,204.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,白光〓はんだ吸取線〓NoFR100-01,,【使い方】：はんだの上にウイックをあてて、はんだこてでウイックを加熱しながら吸取ります。,白光〓はんだ吸取線〓NoFR100-01：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品白光〓はんだ吸取線〓NoFR100-01,★抜群のはんだ吸取線0.9ｍｍ♪♪★電子工作必需品!!!。白光〓はんだ吸取線〓NoFR100-01[rn]
11-54133,http://tshop.r10s.jp/ik21/cabinet/ho-p-960.jpg?fitin=700:700,1840.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,ホーザン〓ﾜｲﾔｰｽﾄﾘｯﾊﾟｰ〓P-960,,"● 細身で女性の手にもフィットします。<br> 
● スプリングを利用したクリック感のあるストッパーは、手元で操作でき、確実にロックします。<br> 
● 先端がプライヤーになっているので、電線の曲げ、引っ張りなどに使用できます。 <br>
適合電線<br>
0.3/0.5/0.75/1.25/2.0mm&sup2;
 0.8/1.0/1.6/2.0ｍｍφ
全長　166ｍｍ<br>
重量　80ｇ",ホーザン〓ﾜｲﾔｰｽﾄﾘｯﾊﾟｰ〓P-960：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品ホーザン〓ﾜｲﾔｰｽﾄﾘｯﾊﾟｰ〓P-960,★【使いやすさ】の追求品♪★プロのワイヤーストリッパー!!!。ホーザン〓ﾜｲﾔｰｽﾄﾘｯﾊﾟｰ〓P-960[rn]
11-54134,http://tshop.r10s.jp/ik21/cabinet/ho-p-967.jpg?fitin=700:700,1960.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,ホーザン〓ﾜｲﾔｰｽﾄﾘｯﾊﾟｰ〓P-967,,"● 細身で女性の手にもフィットします。<br> 
● スプリングを利用したクリック感のあるストッパーは、手元で操作でき、確実にロックします。<br> 
● 先端がプライヤーになっているので、電線の曲げ、引っ張りなどに使用できます。 <br>
適合電線<br>
単線AWG 28/26/24/22/20/18<br>
より線AWG30/28/26/24/22/20<br>
全長　166ｍｍ<br>
重量　80ｇ",ホーザン〓ﾜｲﾔｰｽﾄﾘｯﾊﾟｰ〓P-967：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品ホーザン〓ﾜｲﾔｰｽﾄﾘｯﾊﾟｰ〓P-967,★【使いやすさ】の追求品♪★プロのワイヤーストリッパー!!!。ホーザン〓ﾜｲﾔｰｽﾄﾘｯﾊﾟｰ〓P-967[rn]
11-54135,http://tshop.r10s.jp/ik21/cabinet/130225016.jpg?fitin=700:700,68.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ1.5×0.2　黒,,"●材質： 電子架橋ポリオレフィン樹脂<br>
●収縮温度：115℃以上<br> 
●内径収縮率　：約40％ <br>
●長さ変化率　：　-15％以上<br>
●連続使用可能温度　：　-55～105℃<br>
●色 ：黒<br>
●呼称サイズ： 1.5×0.2<br>
●収縮前サイズｍｍ（内径） ：　2.10±0.30<br>
●収縮後サイズｍｍ（内径）　：　0.80（最大値）<br>
●販売単位　：　1m切断品",住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ1.5&times;0.2　黒：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ1.5&times;0.2　黒,【収縮チューブ】★電線接続部の絶縁に♪♪★。住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ1.5&times;0.2　黒[rn]
11-54136,http://tshop.r10s.jp/ik21/cabinet/130225008.jpg?fitin=700:700,80.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ6×0.25　透明,,"●材質： 電子架橋ポリオレフィン樹脂<br>
●収縮温度：115℃以上<br> 
●内径収縮率　：約40％ <br>
●長さ変化率　：　-15％以上<br>
●連続使用可能温度　：　-55～105℃<br>
●色 ：透明<br>
●呼称サイズ： 6×0.25<br>
●収縮前サイズｍｍ（内径） ：　6.5±0.30<br>
●収縮後サイズｍｍ（内径）　：　3.50（最大値）<br>
●販売単位　：　1m切断品",住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ6&times;0.25　透明：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ6&times;0.25　透明,【収縮チューブ】★電線接続部の絶縁に♪♪★。住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ6&times;0.25　透明[rn]
11-54137,http://tshop.r10s.jp/ik21/cabinet/130225025.jpg?fitin=700:700,88.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ8×0.25　黒,,"●材質： 電子架橋ポリオレフィン樹脂<br>
●収縮温度：115℃以上<br> 
●内径収縮率　：約40％ <br>
●長さ変化率　：　-15％以上<br>
●連続使用可能温度　：　-55～105℃<br>
●色 ：黒<br>
●呼称サイズ： 8×0.25<br>
●収縮前サイズｍｍ（内径） ：　8.5±0.30<br>
●収縮後サイズｍｍ（内径）　：　4.70（最大値）<br>
●販売単位　：　1m切断品",住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ8&times;0.25　黒：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ8&times;0.25　黒,【収縮チューブ】★電線接続部の絶縁に♪♪★。住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ8&times;0.25　黒[rn]
11-54138,http://tshop.r10s.jp/ik21/cabinet/130225005.jpg?fitin=700:700,64.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ3.5×0.2　透明,,"●材質： 電子架橋ポリオレフィン樹脂<br>
●収縮温度：115℃以上<br> 
●内径収縮率　：約40％ <br>
●長さ変化率　：　-15％以上<br>
●連続使用可能温度　：　-55～105℃<br>
●色 ：透明<br>
●呼称サイズ： 3.5×0.2<br>
●収縮前サイズｍｍ（内径） ：　4.10±0.30<br>
●収縮後サイズｍｍ（内径）　：　2.00（最大値）<br>
●販売単位　：　1m切断品",住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ3.5&times;0.2　透明：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ3.5&times;0.2　透明,【収縮チューブ】★電線接続部の絶縁に♪♪★。住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ3.5&times;0.2　透明[rn]
11-54139,http://tshop.r10s.jp/ik21/cabinet/130225024.jpg?fitin=700:700,84.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ7×0.25　黒,,"●材質： 電子架橋ポリオレフィン樹脂<br>
●収縮温度：115℃以上<br> 
●内径収縮率　：約40％ <br>
●長さ変化率　：　-15％以上<br>
●連続使用可能温度　：　-55～105℃<br>
●色 ：黒<br>
●呼称サイズ： 7×0.25<br>
●収縮前サイズｍｍ（内径） ：　7.5±0.30<br>
●収縮後サイズｍｍ（内径）　：　4.20（最大値）<br>
●販売単位　：　1m切断品",住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ7&times;0.25　黒：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ7&times;0.25　黒,【収縮チューブ】★電線接続部の絶縁に♪♪★。住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ7&times;0.25　黒[rn]
11-54140,http://tshop.r10s.jp/ik21/cabinet/130225021.jpg?fitin=700:700,72.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ4×0.2　黒,,"●材質： 電子架橋ポリオレフィン樹脂<br>
●収縮温度：115℃以上<br> 
●内径収縮率　：約40％ <br>
●長さ変化率　：　-15％以上<br>
●連続使用可能温度　：　-55～105℃<br>
●色 ：黒<br>
●呼称サイズ： 4×0.2<br>
●収縮前サイズｍｍ（内径） ：　4.60±0.30<br>
●収縮後サイズｍｍ（内径）　：　2.30（最大値）<br>
●販売単位　：　1m切断品",住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ4&times;0.2　黒：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ4&times;0.2　黒,【収縮チューブ】★電線接続部の絶縁に♪♪★。住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ4&times;0.2　黒[rn]
11-54141,http://tshop.r10s.jp/ik21/cabinet/130225027.jpg?fitin=700:700,104.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ10×0.25　黒,,"●材質： 電子架橋ポリオレフィン樹脂<br>
●収縮温度：115℃以上<br> 
●内径収縮率　：約40％ <br>
●長さ変化率　：　-15％以上<br>
●連続使用可能温度　：　-55～105℃<br>
●色 ：黒<br>
●呼称サイズ： 10×0.25<br>
●収縮前サイズｍｍ（内径） ：　10.5±0.40<br>
●収縮後サイズｍｍ（内径）　：　6.0（最大値）<br>
●販売単位　：　1m切断品",住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ10&times;0.25　黒：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ10&times;0.25　黒,【収縮チューブ】★電線接続部の絶縁に♪♪★。住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ10&times;0.25　黒[rn]
11-54142,http://tshop.r10s.jp/ik21/cabinet/130225013.jpg?fitin=700:700,112.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ13×0.3　透明,,"●材質： 電子架橋ポリオレフィン樹脂<br>
●収縮温度：115℃以上<br> 
●内径収縮率　：約40％ <br>
●長さ変化率　：　-15％以上<br>
●連続使用可能温度　：　-55～105℃<br>
●色 ：透明<br>
●呼称サイズ： 13×0.3<br>
●収縮前サイズｍｍ（内径） ：　13.4±0.40<br>
●収縮後サイズｍｍ（内径）　：　8.0（最大値）<br>
●販売単位　：　1m切断品",住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ13&times;0.3　透明：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ13&times;0.3　透明,【収縮チューブ】★電線接続部の絶縁に♪♪★。住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ13&times;0.3　透明[rn]
11-54143,http://tshop.r10s.jp/ik21/cabinet/130225010.jpg?fitin=700:700,88.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ8×0.25　透明,,"●材質： 電子架橋ポリオレフィン樹脂<br>
●収縮温度：115℃以上<br> 
●内径収縮率　：約40％ <br>
●長さ変化率　：　-15％以上<br>
●連続使用可能温度　：　-55～105℃<br>
●色 ：透明<br>
●呼称サイズ： 8×0.25<br>
●収縮前サイズｍｍ（内径） ：　8.5±0.30<br>
●収縮後サイズｍｍ（内径）　：　4.70（最大値）<br>
●販売単位　：　1m切断品",住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ8&times;0.25　透明：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ8&times;0.25　透明,【収縮チューブ】★電線接続部の絶縁に♪♪★。住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ8&times;0.25　透明[rn]
11-54144,http://tshop.r10s.jp/ik21/cabinet/130225020.jpg?fitin=700:700,68.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ3.5×0.2　黒,,"●材質： 電子架橋ポリオレフィン樹脂<br>
●収縮温度：115℃以上<br> 
●内径収縮率　：約40％ <br>
●長さ変化率　：　-15％以上<br>
●連続使用可能温度　：　-55～105℃<br>
●色 ：黒<br>
●呼称サイズ： 3.5×0.2<br>
●収縮前サイズｍｍ（内径） ：　4.10±0.30<br>
●収縮後サイズｍｍ（内径）　：　2.00（最大値）<br>
●販売単位　：　1m切断品",住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ3.5&times;0.2　黒：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ3.5&times;0.2　黒,【収縮チューブ】★電線接続部の絶縁に♪♪★。住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ3.5&times;0.2　黒[rn]
11-54145,http://tshop.r10s.jp/ik21/cabinet/130225026.jpg?fitin=700:700,96.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ9×0.25　黒,,"●材質： 電子架橋ポリオレフィン樹脂<br>
●収縮温度：115℃以上<br> 
●内径収縮率　：約40％ <br>
●長さ変化率　：　-15％以上<br>
●連続使用可能温度　：　-55～105℃<br>
●色 ：黒<br>
●呼称サイズ： 9×0.25<br>
●収縮前サイズｍｍ（内径） ：　9.5±0.30<br>
●収縮後サイズｍｍ（内径）　：　5.40（最大値）<br>
●販売単位　：　1m切断品",住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ9&times;0.25　黒：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ9&times;0.25　黒,【収縮チューブ】★電線接続部の絶縁に♪♪★。住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ9&times;0.25　黒[rn]
11-54146,http://tshop.r10s.jp/ik21/cabinet/130225030.jpg?fitin=700:700,160.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ20×0.3　黒,,"●材質： 電子架橋ポリオレフィン樹脂<br>
●収縮温度：115℃以上<br> 
●内径収縮率　：約40％ <br>
●長さ変化率　：　-15％以上<br>
●連続使用可能温度　：　-55～105℃<br>
●色 ：黒<br>
●呼称サイズ： 20×0.3<br>
●収縮前サイズｍｍ（内径） ：　20.4±0.40<br>
●収縮後サイズｍｍ（内径）　：　13.0（最大値）<br>
●販売単位　：　1m切断品",住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ20&times;0.3　黒：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ20&times;0.3　黒,【収縮チューブ】★電線接続部の絶縁に♪♪★。住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ20&times;0.3　黒[rn]
11-54147,http://tshop.r10s.jp/ik21/cabinet/130225011.jpg?fitin=700:700,92.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > その他,住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ9×0.25　透明,,"●材質： 電子架橋ポリオレフィン樹脂<br>
●収縮温度：115℃以上<br> 
●内径収縮率　：約40％ <br>
●長さ変化率　：　-15％以上<br>
●連続使用可能温度　：　-55～105℃<br>
●色 ：透明<br>
●呼称サイズ： 9×0.25<br>
●収縮前サイズｍｍ（内径） ：　9.5±0.30<br>
●収縮後サイズｍｍ（内径）　：　5.40（最大値）<br>
●販売単位　：　1m切断品",住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ9&times;0.25　透明：IK21,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PIC第二種端子梱包材電設資材電線ケーブルリレーハーネス電装品はんだ21電子電気工事士技能試験VVF工具アウトレット基板電子部品住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ9&times;0.25　透明,【収縮チューブ】★電線接続部の絶縁に♪♪★。住友電工〓一般用熱収縮チューブ　1本＝１メートル 〓サイズ9&times;0.25　透明[rn]
