11-73201,http://tshop.r10s.jp/lamd/cabinet/04448482/imgrc0066038428.jpg?fitin=700:700,5818.4000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094,,"長さの測定、直角の確認やケガキ作業に使用する曲尺。
木材・石材・金属などの曲尺では困難だった大きな物の
測定やケガキ作業が出来ます。  

■精度
・直角度：100mmにつき0.1mm以下　　
・長さの許容差：＋-0.5mm以下  

■表目盛
・長枝：外目盛1m
・短枝：外目盛60cm  

■裏目盛
・長枝：外目盛3尺3寸
・短枝：外目盛2尺  

■形状：同厚 

■材質：ステンレス  

■サイズ：(約）1030×630×2.5mm 

■重量：（約）1102g 

【注意事項】
電気に触れる恐れのある場所では使用しないでください。",シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094：アークランド楽天市場ショップ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具塗料・接着・補修作業用品園芸用品農業用品水道用品エクステリアペット用品照明インテリア収納家庭用品カー用品アウトドア防犯防災クラフト電材ガーデン安全用品サイクル用品シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094,シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094[rn]
11-73222,,1720.8000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒（株）アカツキ製作所/ＫＯＤ 【L-170MQ 300MM】(4745477)マグネット付Ｉ型アルミ水平器 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●I型アルミ水平器のプロ仕様版です。<br>●端面カバー搭載で丈夫です。<br>●大型気泡管で見やすいです。<br>●水平・垂直・45°の測定。<br>●長さ(mm):300<br>●高さ(mm):56<br>●厚み(mm):26<br>●マグネット:2ヶ所<br>●感度:0.5mm/m=0.0286°<br>●精度:±1.5mm/m＝±0.0859°以内<br>●精度：±1.5mm/m=±0.0859°以内<br>●感度：0.5mm/m=0.0286°<br>●本体：アルミニウム<br>●気泡管：アクリル樹脂(PMMA)<br>",『カード対応OK！』■〒（株）アカツキ製作所/ＫＯＤ 【L-170MQ 300MM】(4745477)マグネット付Ｉ型アルミ水平器 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒（株）アカツキ製作所/ＫＯＤ 【L-170MQ 300MM】(4745477)マグネット付Ｉ型アルミ水平器 受注単位1,工事用品\測量用品\水平器。『カード対応OK！』■〒（株）アカツキ製作所/ＫＯＤ 【L-170MQ 300MM】(4745477)マグネット付Ｉ型アルミ水平器 受注単位1[rn]
11-73223,,1360.0000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒（株）エビス/エビスダイヤモンド【ED-30BR】(4850416)ベーシックレベルブラック ３００ｍｍ ブラック／レッド 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●樹脂製フラット型サイドキャップ付で建材等を傷つけません。<br>●水平気泡管は拡大レンズ付きで大変見やすく、精度調整機構付で便利です。<br>●測定基準面がV溝付でパイプ等の測定ができます。<br>●６本線気泡管は１/100と2/100勾配の測定ができます。<br>●垂直気泡管は精度調整機構付で便利です。<br>●水平・垂直の測定。<br>●長さ(mm):300<br>●高さ(mm):51<br>●厚み(mm):19.5<br>●マグネット:なし<br>●色:ブラック<br>●感度:0.35ｍｍ/ｍ＝0.0201°<br>●精度:±1.00mm/m=±0.0573°<br>●質量(g):200<br>●精度：±1.00mm/m=±0.0573°以内<br>●感度：0.35mm/m=0.0201°<br>●本体：アルミ合金押出材硬化処理<br>●気泡管：アクリル樹脂（PMMA)<br>",『カード対応OK！』■〒（株）エビス/エビスダイヤモンド【ED-30BR】(4850416)ベーシックレベルブラック ３００ｍｍ ブラック／レッド 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒（株）エビス/エビスダイヤモンド【ED-30BR】(4850416)ベーシックレベルブラック ３００ｍｍ ブラック／レッド 受注単位1,工事用品\測量用品\水平器。『カード対応OK！』■〒（株）エビス/エビスダイヤモンド【ED-30BR】(4850416)ベーシックレベルブラック ３００ｍｍ ブラック／レッド 受注単位1[rn]
11-73224,,2566.4000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒（株）ＴＪＭデザイン/タジマ 【ML-120BK】(4718674)モバイルレベル１２０ 黒 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●磁石付携帯型アルミ製水平器です。<br>●パイプにしっかり固定できるV字溝測定面です。<br>●大型通し孔付です。<br>●暗所でも読める蓄光プレートを採用しています。<br>●磁束密度約330ミリテスラ（mT）の強力ネオジ磁石を搭載しています。<br>●水平、垂直の測定に。<br>●一般測定用水平器<br>●長さ(mm):120<br>●高さ(mm):45<br>●厚み(mm):18<br>●マグネット:1ヵ所<br>●色:黒<br>●精度:0.0859°<br>●質量(g):156<br>●精度：1.50mm/m=0.08590°<br>●感度：-<br>●蓄光プレート付<br>●気泡管:水平・垂直<br>●指標線数:水平6本・垂直4本リング<br>●本体：アルミダイカスト<br>●気泡管:アクリル樹脂（PMMA）<br>●万が一気泡管の破損等による液漏れで身体に液が付着した場合は直ちに清浄な水で洗い流して下さい。目に入った場合は眼科医の手当てを受けて下さい。<br>",『カード対応OK！』■〒（株）ＴＪＭデザイン/タジマ 【ML-120BK】(4718674)モバイルレベル１２０ 黒 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒（株）ＴＪＭデザイン/タジマ 【ML-120BK】(4718674)モバイルレベル１２０ 黒 受注単位1,工事用品\測量用品\水平器。『カード対応OK！』■〒（株）ＴＪＭデザイン/タジマ 【ML-120BK】(4718674)モバイルレベル１２０ 黒 受注単位1[rn]
11-73225,,1219.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TSPL-230M】(4789296)スライド式ポケットレベル マグネット付 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ペンクリップ付で胸ポケットなどの携帯に便利です。<br>●エアコン取り付けの際、背板の水平基準面（約230mm）に合わせてスライドが可能です。<br>●ABS樹脂製で落下時に床を傷つけにくいです。<br>●せまい箇所の水平測定、エアコン取り付け作業など。<br>●長さ(mm):165<br>●高さ(mm):18<br>●厚み(mm):19<br>●マグネット:2ヵ所<br>●感度:0.5ｍｍ／ｍ＝0.0286°<br>●精度:±1.5ｍｍ／ｍ＝±0.0859°以内<br>●質量(g):35<br>●精度:±1.5ｍｍ／ｍ＝±0.0859°以内<br>●感度:0.5ｍｍ／ｍ＝0.0286°<br>●本体:ABS樹脂<br>●気泡管:アクリル樹脂（PMMA）<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TSPL-230M】(4789296)スライド式ポケットレベル マグネット付 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TSPL-230M】(4789296)スライド式ポケットレベル マグネット付 受注単位1,工事用品\測量用品\水平器。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TSPL-230M】(4789296)スライド式ポケットレベル マグネット付 受注単位1[rn]
11-73226,,2391.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒アラオ（株）/アラオ【AR-065】(4897684)テープロッド ７５ｗ×２５Ｍ赤白２０ ピッチ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●必要な長さにカットして貼れるテープです。<br>●書き込み可能で現場記録写真などに最適です。<br>●現場記録写真用に。<br>●ピッチ(cm):赤白20<br>●幅（mm）：75<br>●厚み（mm）：0.18<br>●質量(g):400<br>●適要：赤白20cm間隔<br>●長さ：25m<br>●ポリプロピレン<br>",『カード対応OK！』■〒アラオ（株）/アラオ【AR-065】(4897684)テープロッド ７５ｗ&times;２５Ｍ赤白２０ ピッチ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒アラオ（株）/アラオ【AR-065】(4897684)テープロッド ７５ｗ&times;２５Ｍ赤白２０ ピッチ 受注単位1,工事用品\測量用品\標尺。『カード対応OK！』■〒アラオ（株）/アラオ【AR-065】(4897684)テープロッド ７５ｗ&times;２５Ｍ赤白２０ ピッチ 受注単位1[rn]
11-73227,,2391.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒アラオ（株）/アラオ【AR-066】(4897692)テープロッド ７５ｗ×２５Ｍ赤白３０ ピッチ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●必要な長さにカットして貼れるテープです。<br>●書き込み可能で現場記録写真などに最適です。<br>●現場記録写真用に。<br>●ピッチ(cm):赤白30<br>●幅（mm）：75<br>●厚み（mm）：0.18<br>●質量(g):400<br>●適要：赤白30cm間隔<br>●長さ：25m<br>●ポリプロピレン<br>",『カード対応OK！』■〒アラオ（株）/アラオ【AR-066】(4897692)テープロッド ７５ｗ&times;２５Ｍ赤白３０ ピッチ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒アラオ（株）/アラオ【AR-066】(4897692)テープロッド ７５ｗ&times;２５Ｍ赤白３０ ピッチ 受注単位1,工事用品\測量用品\標尺。『カード対応OK！』■〒アラオ（株）/アラオ【AR-066】(4897692)テープロッド ７５ｗ&times;２５Ｍ赤白３０ ピッチ 受注単位1[rn]
11-73228,,1516.0000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒アラオ（株）/アラオ【AR-064】(4897676)テープロッド ５０ｗ×２５Ｍ赤白３０ ピッチ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●必要な長さにカットして貼れるテープです。<br>●書き込み可能で現場記録写真などに最適です。<br>●現場記録写真用に。<br>●ピッチ(cm):赤白30<br>●幅（mm）：50<br>●厚み（mm）：0.18<br>●質量(g):300<br>●適要：赤白30cm間隔<br>●長さ：25m<br>●ポリプロピレン<br>",『カード対応OK！』■〒アラオ（株）/アラオ【AR-064】(4897676)テープロッド ５０ｗ&times;２５Ｍ赤白３０ ピッチ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒アラオ（株）/アラオ【AR-064】(4897676)テープロッド ５０ｗ&times;２５Ｍ赤白３０ ピッチ 受注単位1,工事用品\測量用品\標尺。『カード対応OK！』■〒アラオ（株）/アラオ【AR-064】(4897676)テープロッド ５０ｗ&times;２５Ｍ赤白３０ ピッチ 受注単位1[rn]
11-73229,,19353.6000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒宣真工業（株）/宣真【205-7】(4718542)ＳＫロッド ２０５－７ｍ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●高度の絶縁体で高圧電流をシャットアウト、作業は安全です。<br>●持ちやすい楕円タイプです。<br>●海水等に強くサビなどの耐蝕性に優れています。<br>●山岳・森林・河川など起伏の多い場所での測量に。<br>●ポール外径(mm):＊<br>●長さ(mm):＊<br>●収納寸法(m):1.41<br>●最大測定長さ(m):7（7本継）<br>●質量(kg)：2<br>●タイプ（段）：７<br>●縮長～全長（mm）：1406～7100<br>●幅（mm）：60.4<br>●表目盛：5mm単位、1mごとの黄白表示<br>●裏目盛：1mm単位<br>●グラスファイバー<br>●ケース<br>",『カード対応OK！』■〒宣真工業（株）/宣真【205-7】(4718542)ＳＫロッド ２０５&minus;７ｍ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒宣真工業（株）/宣真【205-7】(4718542)ＳＫロッド ２０５&minus;７ｍ 受注単位1,工事用品\測量用品\標尺。『カード対応OK！』■〒宣真工業（株）/宣真【205-7】(4718542)ＳＫロッド ２０５&minus;７ｍ 受注単位1[rn]
11-73230,,10835.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』##■〒宣真工業（株）/宣真【205-E-3】(4718551)活線用スタッフ３ｍ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料\1080がかかります。</font><br>※追加送料は別途当店からのメールで訂正されます。</b><br><br><br>●耐電圧試験成績書付です。<br>●高度の絶縁体で高圧電流をシャットアウト、作業は安全です。<br>●持ちやすい楕円タイプです。<br>●海水等に強くサビなどの耐蝕性に優れています。<br>●送・配電線下及びその近隣での測量に。<br>●発変電所内での測量に。<br>●電車線下及びその近隣での測量に。<br>●ポール外径(mm):＊<br>●長さ(mm):＊<br>●収納寸法(m):1.20<br>●最大測定長さ(m):3（3本継）<br>●質量(kg)：1.1<br>●タイプ（段）：３<br>●縮長～全長（mm）：1100～3100<br>●幅（mm）：48<br>●表目盛：5mm単位、1mごとの黄白表示<br>●裏目盛：1mm単位<br>●グラスファイバー<br>●ケース<br>●試験成績書付なので、返品不可商品となります。<br>",『カード対応OK！』##■〒宣真工業（株）/宣真【205-E-3】(4718551)活線用スタッフ３ｍ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』##■〒宣真工業（株）/宣真【205-E-3】(4718551)活線用スタッフ３ｍ 受注単位1,工事用品\測量用品\標尺。『カード対応OK！』##■〒宣真工業（株）/宣真【205-E-3】(4718551)活線用スタッフ３ｍ 受注単位1[rn]
11-73231,,868.0000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒（株）エビス/エビスダイヤモンド【ED-POSMMB】(4850653)ポストレベル・ミニ ＥＤ－ＰＯＳＭＭＢ ブラック 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●樹脂製の本体で取付面を傷つけません。<br>●測定基準面がL字でパイプ等の測定ができます。<br>●磁石付でピンポールの鉛直出しに便利です。<br>●取付けバンド付で木製・アルミ製ポールにバンドに取り付けて鉛直出しができます。<br>●鉛直の測定。<br>●質量(g):47<br>●精度：±2.50ｍｍ/ｍ（±0.1432°以内）<br>●感度：0.50ｍｍ/ｍ＝0.0286°<br>●精度：±2.50ｍｍ/ｍ＝±0.1432°以内<br>●感度：0.50ｍｍ/ｍ＝0.0286°<br>●本体:ABS樹脂<br>●気泡管:アクリル樹脂（PMMA)<br>●磁石:フェライト<br>",『カード対応OK！』■〒（株）エビス/エビスダイヤモンド【ED-POSMMB】(4850653)ポストレベル・ミニ ＥＤ&minus;ＰＯＳＭＭＢ ブラック 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒（株）エビス/エビスダイヤモンド【ED-POSMMB】(4850653)ポストレベル・ミニ ＥＤ&minus;ＰＯＳＭＭＢ ブラック 受注単位1,工事用品\測量用品\標尺。『カード対応OK！』■〒（株）エビス/エビスダイヤモンド【ED-POSMMB】(4850653)ポストレベル・ミニ ＥＤ&minus;ＰＯＳＭＭＢ ブラック 受注単位1[rn]
11-73232,,21945.6000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』##■〒宣真工業（株）/宣真【205-E-7】(4718577)活線用スタッフ７ｍ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料\1080がかかります。</font><br>※追加送料は別途当店からのメールで訂正されます。</b><br><br><br>●耐電圧試験成績書付です。<br>●高度の絶縁体で高圧電流をシャットアウト、作業は安全です。<br>●持ちやすい楕円タイプです。<br>●海水等に強くサビなどの耐蝕性に優れています。<br>●送・配電線下及びその近隣での測量に。<br>●発変電所内での測量に。<br>●電車線下及びその近隣での測量に。<br>●ポール外径(mm):＊<br>●長さ(mm):＊<br>●収納寸法(m):1.41<br>●最大測定長さ(m):7（7本継）<br>●質量(kg)：2<br>●タイプ（段）：７<br>●縮長～全長（mm）：1406～7100<br>●幅（mm）：60.4<br>●表目盛：5mm単位、1mごとの黄白表示<br>●裏目盛：1mm単位<br>●グラスファイバー<br>●ケース<br>●試験成績書付なので、返品不可商品となります。<br>",『カード対応OK！』##■〒宣真工業（株）/宣真【205-E-7】(4718577)活線用スタッフ７ｍ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』##■〒宣真工業（株）/宣真【205-E-7】(4718577)活線用スタッフ７ｍ 受注単位1,工事用品\測量用品\標尺。『カード対応OK！』##■〒宣真工業（株）/宣真【205-E-7】(4718577)活線用スタッフ７ｍ 受注単位1[rn]
11-73233,,187.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒トンボ工業（株）/トンボ 【WAM45】(4352866)プラ角杭 ＷＡミニ４５ ４５Ｘ４５Ｘ４５０ 穴なし 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●再生プラスチック利用によるエコマーク認定商品です。<br>●木製杭と比べ耐久性に優れ、腐食・劣化がありません。<br>●ビス打ち、穴あけ、カットが可能です。<br>●看板などの取付に便利な角杭です。<br>●土木・園芸・農業資材として<br>●土留めや柵に<br>●支柱や看板の固定に。<br>●高さ(mm):450<br>●幅(mm):45<br>●質量(kg):0.7<br>●ポリプロピレン（ＰＰ）とポリエチレン（ＰＥ）の再生プラスチック<br>●熱可塑性樹脂を使用しているため、火気に近づけると変形する恐れがあります。<br>●横方向に衝撃を加えると折れる原因になることがございます。<br>",『カード対応OK！』■〒トンボ工業（株）/トンボ 【WAM45】(4352866)プラ角杭 ＷＡミニ４５ ４５Ｘ４５Ｘ４５０ 穴なし 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トンボ工業（株）/トンボ 【WAM45】(4352866)プラ角杭 ＷＡミニ４５ ４５Ｘ４５Ｘ４５０ 穴なし 受注単位1,工事用品\測量用品\測量用標示具。『カード対応OK！』■〒トンボ工業（株）/トンボ 【WAM45】(4352866)プラ角杭 ＷＡミニ４５ ４５Ｘ４５Ｘ４５０ 穴なし 受注単位1[rn]
11-73234,,300.0000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒トンボ工業（株）/トンボ 【WAM70】(4352882)プラ角杭 ＷＡミニ７０ ７０Ｘ７０Ｘ４５０ 穴なし 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●再生プラスチック利用によるエコマーク認定商品です。<br>●木製杭と比べ耐久性に優れ、腐食・劣化がありません。<br>●ビス打ち、穴あけ、カットが可能です。<br>●看板などの取付に便利な角杭です。<br>●土木・園芸・農業資材として<br>●土留めや柵に<br>●支柱や看板の固定に。<br>●高さ(mm):450<br>●幅(mm):70<br>●質量(kg):1.3<br>●ポリプロピレン（ＰＰ）とポリエチレン（ＰＥ）の再生プラスチック<br>●熱可塑性樹脂を使用しているため、火気に近づけると変形する恐れがあります。<br>●横方向に衝撃を加えると折れる原因になることがございます。<br>",『カード対応OK！』■〒トンボ工業（株）/トンボ 【WAM70】(4352882)プラ角杭 ＷＡミニ７０ ７０Ｘ７０Ｘ４５０ 穴なし 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トンボ工業（株）/トンボ 【WAM70】(4352882)プラ角杭 ＷＡミニ７０ ７０Ｘ７０Ｘ４５０ 穴なし 受注単位1,工事用品\測量用品\測量用標示具。『カード対応OK！』■〒トンボ工業（株）/トンボ 【WAM70】(4352882)プラ角杭 ＷＡミニ７０ ７０Ｘ７０Ｘ４５０ 穴なし 受注単位1[rn]
11-73235,,861.6000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒トンボ工業（株）/トンボ 【WB60L】(4352939)プラ丸杭 ＷＢ６０Ｌ φ６０Ｘ１５００ 穴あり 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●再生プラスチック利用によるエコマーク認定商品です。<br>●木製杭と比べ耐久性に優れ、腐食・劣化がありません。<br>●ビス打ち、穴あけ、カットが可能です。<br>●ロープ柵に便利なφ１３ｍｍ<br>●土木・園芸・農業資材として<br>●土留めや柵に<br>●支柱や看板の固定に。<br>●高さ(mm):1500<br>●外径(mm):60<br>●質量(kg):3.5<br>●ポリプロピレン（ＰＰ）とポリエチレン（ＰＥ）の再生プラスチック<br>●熱可塑性樹脂を使用しているため、火気に近づけると変形する恐れがあります。<br>●横方向に衝撃を加えると折れる原因になることがございます。<br>",『カード対応OK！』■〒トンボ工業（株）/トンボ 【WB60L】(4352939)プラ丸杭 ＷＢ６０Ｌ φ６０Ｘ１５００ 穴あり 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トンボ工業（株）/トンボ 【WB60L】(4352939)プラ丸杭 ＷＢ６０Ｌ φ６０Ｘ１５００ 穴あり 受注単位1,工事用品\測量用品\測量用標示具。『カード対応OK！』■〒トンボ工業（株）/トンボ 【WB60L】(4352939)プラ丸杭 ＷＢ６０Ｌ φ６０Ｘ１５００ 穴あり 受注単位1[rn]
11-73236,,235.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒トンボ工業（株）/トンボ 【WAM45R】(4352874)プラ境界杭 ＷＡミニ４５赤 ４５Ｘ４５Ｘ４５０ 赤キャップ付 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●再生プラスチック利用によるエコマーク認定商品です。<br>●木製杭と比べ耐久性に優れ、腐食・劣化がありません。<br>●測量会社・市町村・土地改良・国土調査用の民間境の杭に最適です。<br>●測量会社・市町村・土地改良・国土調査用の民間境の杭として。<br>●草地・粘土質の畑・山林・砂地・水田などに。<br>●高さ(mm):450<br>●幅(mm):45<br>●キャップ色:赤<br>●天面刻印:田<br>●質量(kg):0.7<br>●ポリプロピレン（ＰＰ）とポリエチレン（ＰＥ）の再生プラスチック<br>●熱可塑性樹脂を使用しているため、火気に近づけると変形する恐れがあります。<br>●横方向に衝撃を加えると折れる原因になることがございます。<br>",『カード対応OK！』■〒トンボ工業（株）/トンボ 【WAM45R】(4352874)プラ境界杭 ＷＡミニ４５赤 ４５Ｘ４５Ｘ４５０ 赤キャップ付 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トンボ工業（株）/トンボ 【WAM45R】(4352874)プラ境界杭 ＷＡミニ４５赤 ４５Ｘ４５Ｘ４５０ 赤キャップ付 受注単位1,工事用品\測量用品\測量用標示具。『カード対応OK！』■〒トンボ工業（株）/トンボ 【WAM45R】(4352874)プラ境界杭 ＷＡミニ４５赤 ４５Ｘ４５Ｘ４５０ 赤キャップ付 受注単位1[rn]
11-73237,,1428.8000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒トンボ工業（株）/トンボ 【WA90R】(4352858)プラ境界杭 ＷＡ９０赤 ９０Ｘ９０Ｘ９００ 赤キャップ付 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●再生プラスチック利用によるエコマーク認定商品です。<br>●木製杭と比べ耐久性に優れ、腐食・劣化がありません。<br>●測量会社・市町村・土地改良・国土調査用の民間境の杭に最適です。<br>●測量会社・市町村・土地改良・国土調査用の民間境の杭として。<br>●草地・粘土質の畑・山林・砂地・水田などに。<br>●高さ(mm):900<br>●幅(mm):90<br>●キャップ色:赤<br>●天面刻印:田<br>●質量(kg):5.6<br>●ポリプロピレン（ＰＰ）とポリエチレン（ＰＥ）の再生プラスチック<br>●熱可塑性樹脂を使用しているため、火気に近づけると変形する恐れがあります。<br>●横方向に衝撃を加えると折れる原因になることがございます。<br>",『カード対応OK！』■〒トンボ工業（株）/トンボ 【WA90R】(4352858)プラ境界杭 ＷＡ９０赤 ９０Ｘ９０Ｘ９００ 赤キャップ付 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トンボ工業（株）/トンボ 【WA90R】(4352858)プラ境界杭 ＷＡ９０赤 ９０Ｘ９０Ｘ９００ 赤キャップ付 受注単位1,工事用品\測量用品\測量用標示具。『カード対応OK！』■〒トンボ工業（株）/トンボ 【WA90R】(4352858)プラ境界杭 ＷＡ９０赤 ９０Ｘ９０Ｘ９００ 赤キャップ付 受注単位1[rn]
