11-23801,,5184.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒コンパクト・ツール/コンパクトツール エアーツール【229141MA】(8071313) 803Ｃ2、Ｃ2Ｄ、Ｃ 、ＣＤ用マジックパッドＪ穴98×175 発注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●幅(mm):98<br>
●奥行(mm):175<br>
●適用機種:803CD<br>
●タイプ:Ｊ穴<br>
●サイズ(mm):98×175<br>
●エポキシガラス板",■〒コンパクト・ツール/コンパクトツール エアーツール【229141MA】(8071313) 803Ｃ2、Ｃ2Ｄ、Ｃ 、ＣＤ用マジックパッドＪ穴98&times;175 発注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得■〒コンパクト・ツール/コンパクトツール エアーツール【229141MA】(8071313) 803Ｃ2、Ｃ2Ｄ、Ｃ 、ＣＤ用マジックパッドＪ穴98&times;175 発注単位1,作業用品\空圧工具。■〒コンパクト・ツール/コンパクトツール エアーツール【229141MA】(8071313) 803Ｃ2、Ｃ2Ｄ、Ｃ 、ＣＤ用マジックパッドＪ穴98&times;175 発注単位1[rn]
11-23839,,66096.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NAW-1600HA】(7533829) アングルインパクトレンチ　１４ｍｍ　２５３９４ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●狭い個所でのボルトナットの締め付け・取り外しに能率よく作業できます。<br><br>●農機具の内部等、狭い所での締め付け取り外し作業に。<br><br>●能力ボルト径(mm)：14<br>●ソケット差込角(mm)：12.7<br>●最大締付トルク(N・m)：210<br>●空気消費量([[立米]]/min)：0.15<br>●ホース取付口：Rc1/4<br>●排気：後方<br>●全長(mm)：282<br>●ハンマータイプ：シングルハンマー<br>●無負荷回転数(min[[の-1乗]])：5000<br>●質量(kg)：3.6<br><br>●使用空気圧力：0.6MPa<br><br>●鋳物用アルミニウム合金,クロムモリブデン鋼<br>",『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NAW-1600HA】(7533829) アングルインパクトレンチ　１４ｍｍ　２５３９４ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NAW-1600HA】(7533829) アングルインパクトレンチ　１４ｍｍ　２５３９４ 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NAW-1600HA】(7533829) アングルインパクトレンチ　１４ｍｍ　２５３９４ 受注単位1[rn]
11-23840,,48686.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル/ベッセル　軽量エアーインパクトレンチＧＴ２０００ＰＦ【GT-2000PF】(1255045) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●全長が短く、奥行きのない場所、リフトアップでの下方向からの締め付けに適しています。",『カード対応OK！』■〒ベッセル/ベッセル　軽量エアーインパクトレンチＧＴ２０００ＰＦ【GT-2000PF】(1255045) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ベッセル/ベッセル　軽量エアーインパクトレンチＧＴ２０００ＰＦ【GT-2000PF】(1255045) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒ベッセル/ベッセル　軽量エアーインパクトレンチＧＴ２０００ＰＦ【GT-2000PF】(1255045) 受注単位1[rn]
11-23841,,32120.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒信濃機販/ＳＩ【SI-1600B S ULTRA】(5804710) インパクトレンチ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●排気音をおさえた静音モデルです。<br>●1.04kgのクラス最軽量モデルです。<br>●460Nmの強力トルクです。<br>●排気音79dbの静音タイプです。<br><br>●自動車整備作業<br>●一般産業・組み立て・分解作業<br><br>●能力ボルト径(mm)：16<br>●ソケット差込角(mm)：12.7<br>●最大締付トルク(N・m)：460<br>●無負荷回転数(rpm)：8000<br>●空気消費量([[立米]]/min)：0.38<br>●ホース取付口：Rc1/4<br>●排気：後方<br>●全長(mm)：148<br>●ハンマータイプ：ツインハンマー<br>●使用空気圧力(MPa)：0.48～0.68<br>●無負荷回転数(min[[の-1乗]])：8000<br>●質量(kg)：1.04<br><br>●使用空気圧力：0.48～0.68MPa<br><br>",『カード対応OK！』■〒信濃機販/ＳＩ【SI-1600B S ULTRA】(5804710) インパクトレンチ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒信濃機販/ＳＩ【SI-1600B S ULTRA】(5804710) インパクトレンチ 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒信濃機販/ＳＩ【SI-1600B S ULTRA】(5804710) インパクトレンチ 受注単位1[rn]
11-23842,,73228.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル【GT-C900】(7586914) コーナーインパクトレンチ　ＧＴ‐Ｃ９００ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ハイパワーでかつコンパクトなコーナーインパクトレンチです。<br>●ハンマー部を横置きに設計することで、打撃力がダイレクトに伝わり、パワーロスがありません。<br>●作業時の本体への反動が少ないので、不意に手が振られることが少なく、安全です。<br>●ＧＴ-Ｃ１４００より、更にコンパクトタイプです。小型の耕耘機・トラクター向けです。<br>●同等パワーの他社品に比べ、1.1kg も軽量化を実現。長時間の作業負荷が激減します。<br>●外寸もコンパクトなので、せまい箇所のボルト締めに抜群の作業効率です。<br>●省エネ設計。無駄なエネルギーを使いません。<br><br>●狭い個所のナット締め緩め作業に。<br>●農機具（トラクター用ロータリー）の爪交換作業に。<br><br>●能力ボルト径(mm)：10<br>●ソケット差込角(mm)：9.5<br>●最大締付トルク(N・m)：100<br>●無負荷回転数(rpm)：7000<br>●空気消費量([[立米]]/min)：0.25<br>●ホース取付口：Rc1/4<br>●排気：360°回転可<br>●全長(mm)：257<br>●ハンマータイプ：シングルハンマー<br>●使用空気圧力(MPa)：0.6<br>●無負荷回転数(min[[の-1乗]])：7000<br>●使用エアーホース内径：6.35mm<br><br>●使用空気圧力：0.6MPa<br>●左右切替、パワー調整ダイヤル（4 段階）<br>●排気方向が360度変えられるサイレンサー付<br>●能力：普通ボルト径 10 mm<br>●9.5mm角ドライブ（リティナーリング式）<br><br>●本体：アルミ　<br>●アンビル部,ハンマー,ギア部：鉄<br>",『カード対応OK！』■〒ベッセル【GT-C900】(7586914) コーナーインパクトレンチ　ＧＴ‐Ｃ９００ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ベッセル【GT-C900】(7586914) コーナーインパクトレンチ　ＧＴ‐Ｃ９００ 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒ベッセル【GT-C900】(7586914) コーナーインパクトレンチ　ＧＴ‐Ｃ９００ 受注単位1[rn]
11-23843,,142502.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒空研/空研　１インチＳＱ超軽量インパクトレンチ（２５．４ｍｍ角）【KW-3800P】(2954427) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●高い締め付け能力が得られます。<br>●耐久性に優れています。<br>●安定した打撃が可能です。安定した潤滑機能によりグリースの飛散がありません。",『カード対応OK！』■〒空研/空研　１インチＳＱ超軽量インパクトレンチ（２５．４ｍｍ角）【KW-3800P】(2954427) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒空研/空研　１インチＳＱ超軽量インパクトレンチ（２５．４ｍｍ角）【KW-3800P】(2954427) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒空研/空研　１インチＳＱ超軽量インパクトレンチ（２５．４ｍｍ角）【KW-3800P】(2954427) 受注単位1[rn]
11-23844,,34452.8000,,花・ガーデン・DIY > DIY・工具 > その他,∀『カード対応OK！』■〒シカゴニューマチック社/シカゴ　インパクトレンチ　１／２【CP8242】() 受注単位1,,"<font size=""4"" color=""#0033ff""><b>※こちらの商品は配送地域によって送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ハイパワーです。<br>●コンポジット/マグネシウムボディー・クラッチハウジングで軽量・コンパクト・低騒音です。",&forall;『カード対応OK！』■〒シカゴニューマチック社/シカゴ　インパクトレンチ　１／２【CP8242】() 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得&forall;『カード対応OK！』■〒シカゴニューマチック社/シカゴ　インパクトレンチ　１／２【CP8242】() 受注単位1,作業用品\空圧工具\エアインパクトレンチ。&forall;『カード対応OK！』■〒シカゴニューマチック社/シカゴ　インパクトレンチ　１／２【CP8242】() 受注単位1[rn]
11-23845,,34247.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル/ベッセル　エアーインパクトレンチＧＴＰ１４Ｊ【GT-P14J (ｼﾝｸﾞﾙﾊﾝﾏｰ)】(1255843) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●1回転1打撃式のため強力な締め付けができます。",『カード対応OK！』■〒ベッセル/ベッセル　エアーインパクトレンチＧＴＰ１４Ｊ【GT-P14J (ｼﾝｸﾞﾙﾊﾝﾏｰ)】(1255843) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ベッセル/ベッセル　エアーインパクトレンチＧＴＰ１４Ｊ【GT-P14J (ｼﾝｸﾞﾙﾊﾝﾏｰ)】(1255843) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒ベッセル/ベッセル　エアーインパクトレンチＧＴＰ１４Ｊ【GT-P14J (ｼﾝｸﾞﾙﾊﾝﾏｰ)】(1255843) 受注単位1[rn]
11-23846,,43314.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル/ベッセル　エアーインパクトレンチダブルハンマーＧＴＳ６０ＣＷ【GT-S60CW (ｺｰﾅｰ90ﾄﾞ)】(1254332) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●1回転で2打撃のため安定した締め付けができます。<br>●使用頻度の高いラインでの耐久性に優れています。",『カード対応OK！』■〒ベッセル/ベッセル　エアーインパクトレンチダブルハンマーＧＴＳ６０ＣＷ【GT-S60CW (ｺｰﾅｰ90ﾄﾞ)】(1254332) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ベッセル/ベッセル　エアーインパクトレンチダブルハンマーＧＴＳ６０ＣＷ【GT-S60CW (ｺｰﾅｰ90ﾄﾞ)】(1254332) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒ベッセル/ベッセル　エアーインパクトレンチダブルハンマーＧＴＳ６０ＣＷ【GT-S60CW (ｺｰﾅｰ90ﾄﾞ)】(1254332) 受注単位1[rn]
11-23847,,90828.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NW-22AA】(7534230) ツーハンマインパクトレンチ　２０１６２ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1回転で2回衝撃を与えるため、高効率でボルト・ナットの締め付け・取り外しができます。<br><br>●緩め作業の多い自動車整備等に。<br><br>●能力ボルト径(mm)：22<br>●ソケット差込角(mm)：19.05<br>●最大締付トルク(N・m)：850<br>●空気消費量([[立米]]/min)：0.6<br>●ホース取付口：Rc3/8<br>●排気：後方<br>●全長(mm)：399<br>●ハンマータイプ：ダブルハンマー<br>●無負荷回転数(min[[の-1乗]])：4500<br>●質量(kg)：8<br><br>●使用空気圧力：0.6MPa<br><br>●鋳物用アルミニウム合金,クロムモリブデン鋼<br>",『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NW-22AA】(7534230) ツーハンマインパクトレンチ　２０１６２ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NW-22AA】(7534230) ツーハンマインパクトレンチ　２０１６２ 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NW-22AA】(7534230) ツーハンマインパクトレンチ　２０１６２ 受注単位1[rn]
11-23848,,47808.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒不二空機/不二　小型・中型インパクトレンチ【FW-14PH-2】(1248359) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●軽量・強力型なので、ラインでの作業に最適です。<br>●騒音を低減したモデルで、後方排気によるはね返りがありません。",『カード対応OK！』■〒不二空機/不二　小型・中型インパクトレンチ【FW-14PH-2】(1248359) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒不二空機/不二　小型・中型インパクトレンチ【FW-14PH-2】(1248359) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒不二空機/不二　小型・中型インパクトレンチ【FW-14PH-2】(1248359) 受注単位1[rn]
11-23849,,62244.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル/ベッセル　トルクコントロール　エアーインパクトレンチ　ＧＴＰ８Ｔ【GT-P8T】(3713989) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●設定トルクに達するとエアが遮断されるトルクコントロールタイプのエアインパクトレンチです。<br>●ソケット取付部:四角ドライブ9.5mm ピンロック式です。",『カード対応OK！』■〒ベッセル/ベッセル　トルクコントロール　エアーインパクトレンチ　ＧＴＰ８Ｔ【GT-P8T】(3713989) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ベッセル/ベッセル　トルクコントロール　エアーインパクトレンチ　ＧＴＰ８Ｔ【GT-P8T】(3713989) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒ベッセル/ベッセル　トルクコントロール　エアーインパクトレンチ　ＧＴＰ８Ｔ【GT-P8T】(3713989) 受注単位1[rn]
11-23850,,42698.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル/ベッセル　エアーインパクトレンチＧＴＰ１８Ｊ【GT-P18J (ｼﾝｸﾞﾙﾊﾝﾏｰ)】(2923947) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●1回転1打撃式のため強力な締め付けができます。",『カード対応OK！』■〒ベッセル/ベッセル　エアーインパクトレンチＧＴＰ１８Ｊ【GT-P18J (ｼﾝｸﾞﾙﾊﾝﾏｰ)】(2923947) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ベッセル/ベッセル　エアーインパクトレンチＧＴＰ１８Ｊ【GT-P18J (ｼﾝｸﾞﾙﾊﾝﾏｰ)】(2923947) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒ベッセル/ベッセル　エアーインパクトレンチＧＴＰ１８Ｊ【GT-P18J (ｼﾝｸﾞﾙﾊﾝﾏｰ)】(2923947) 受注単位1[rn]
11-23851,,36184.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル/ベッセル　超軽量エアーインパクトレンチＧＴ１６００ＶＰ【GT-1600VP】(1254596) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●外径が小さく、建設機械、特装車組み立てなど狭い場所での作業に適しています。",『カード対応OK！』■〒ベッセル/ベッセル　超軽量エアーインパクトレンチＧＴ１６００ＶＰ【GT-1600VP】(1254596) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ベッセル/ベッセル　超軽量エアーインパクトレンチＧＴ１６００ＶＰ【GT-1600VP】(1254596) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒ベッセル/ベッセル　超軽量エアーインパクトレンチＧＴ１６００ＶＰ【GT-1600VP】(1254596) 受注単位1[rn]
11-23852,,44834.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒瓜生製作/瓜生　インパクトレンチピストル型【UW-10SHK】(2116162) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●1回転2打撃で締め付けるため安定した締め付けが可能です。<br>●締め付けが滑らかな汎用タイプです。",『カード対応OK！』■〒瓜生製作/瓜生　インパクトレンチピストル型【UW-10SHK】(2116162) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒瓜生製作/瓜生　インパクトレンチピストル型【UW-10SHK】(2116162) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒瓜生製作/瓜生　インパクトレンチピストル型【UW-10SHK】(2116162) 受注単位1[rn]
11-23853,,35030.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒空研/空研　３／８インチＳＱ小型インパクトレンチ（９．５ｍｍ角）【KW-7P】(2954508) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●高い締め付け能力が得られます。<br>●耐久性に優れています。<br>●オイルバス方式を採用することで、連続の作業でのクラッチ部焼き付きやパワーダウンを解決しました。<br>●使い勝手の良い4段調整レバーと左右付け替え可能な正・逆切り替えレバーで操作性に優れます。",『カード対応OK！』■〒空研/空研　３／８インチＳＱ小型インパクトレンチ（９．５ｍｍ角）【KW-7P】(2954508) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒空研/空研　３／８インチＳＱ小型インパクトレンチ（９．５ｍｍ角）【KW-7P】(2954508) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒空研/空研　３／８インチＳＱ小型インパクトレンチ（９．５ｍｍ角）【KW-7P】(2954508) 受注単位1[rn]
11-23854,,26287.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【AT-40】(7533594) アングルアタッチメント　ＮＷ－１６００ＨＡ－ＡＴ用　５１００３ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br><br>●適応機種：NW-1600HA-AT<br>●質量(kg)：1.29<br><br><br>",『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【AT-40】(7533594) アングルアタッチメント　ＮＷ&minus;１６００ＨＡ&minus;ＡＴ用　５１００３ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【AT-40】(7533594) アングルアタッチメント　ＮＷ&minus;１６００ＨＡ&minus;ＡＴ用　５１００３ 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【AT-40】(7533594) アングルアタッチメント　ＮＷ&minus;１６００ＨＡ&minus;ＡＴ用　５１００３ 受注単位1[rn]
11-23855,,38556.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ヨコタ工業/ヨコタ　インパクトレンチピストル型【YD-600PW】(1769111) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●小型・軽量で出力に比して反動が少なく、作業者の疲労度が軽減され、能率的で非常に使いやすいツールです。",『カード対応OK！』■〒ヨコタ工業/ヨコタ　インパクトレンチピストル型【YD-600PW】(1769111) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ヨコタ工業/ヨコタ　インパクトレンチピストル型【YD-600PW】(1769111) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒ヨコタ工業/ヨコタ　インパクトレンチピストル型【YD-600PW】(1769111) 受注単位1[rn]
11-23856,,272160.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##■〒空研【KW-2500PHI】(7550316) ３／４インチＳＱ超軽量水中インパクトレンチ（１９ｍｍ角） 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●河川・海洋・湖・ダム工事などの水中でネジの脱着作業が可能です。<br>●排気ホースにより排気を大気に放出するので環境汚染防止につながります。<br>●表面処理技術により防錆仕様です。<br>●沈降防止用大型吊りフックを標準装備しています。<br>●排気ホース装着により視界が良好です。<br>●汎用インパクトレンチ構造のためメンテナンスが容易です。<br>●打撃が安定し打撃のみだれがありません。<br>●小型・超軽量です。<br>●安定した潤滑機能で必要な部分からグリースが飛び散りません。<br><br>●河川・海洋・湖・ダム工事などの水中でのネジ脱着作業に。<br><br>●能力ボルト径(mm)：25<br>●ソケット差込角(mm)：19<br>●無負荷回転数(rpm)：4500<br>●空気消費量([[立米]]/min)：0.45<br>●ホース取付口：Rc1/4<br>●全長(mm)：223<br>●ハンマータイプ：N型(空研独自)<br>●使用空気圧力(MPa)：0.6<br>●無負荷回転数(min[[の-1乗]])：4500<br><br>●使用空気圧推奨：0.6MPa<br><br>",『カード対応OK！』##■〒空研【KW-2500PHI】(7550316) ３／４インチＳＱ超軽量水中インパクトレンチ（１９ｍｍ角） 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』##■〒空研【KW-2500PHI】(7550316) ３／４インチＳＱ超軽量水中インパクトレンチ（１９ｍｍ角） 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』##■〒空研【KW-2500PHI】(7550316) ３／４インチＳＱ超軽量水中インパクトレンチ（１９ｍｍ角） 受注単位1[rn]
11-23857,,169469.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒空研/空研　１インチＳＱ超軽量インパクトレンチ（２５．４ｍｍ角）【KW-4500GL】(2954451) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●高い締め付け能力が得られます。<br>●耐久性に優れています。<br>●安定した打撃が可能です。安定した潤滑機能によりグリースの飛散がありません。",『カード対応OK！』■〒空研/空研　１インチＳＱ超軽量インパクトレンチ（２５．４ｍｍ角）【KW-4500GL】(2954451) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒空研/空研　１インチＳＱ超軽量インパクトレンチ（２５．４ｍｍ角）【KW-4500GL】(2954451) 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒空研/空研　１インチＳＱ超軽量インパクトレンチ（２５．４ｍｍ角）【KW-4500GL】(2954451) 受注単位1[rn]
11-23858,,21081.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【AT-30A】(7533586) アングルアタッチメント　ＮＷ－８００　８００Ｓ用　５０００１ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br><br>●適応機種：NW-800S<br>●質量(kg)：0.6<br><br><br>",『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【AT-30A】(7533586) アングルアタッチメント　ＮＷ&minus;８００　８００Ｓ用　５０００１ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【AT-30A】(7533586) アングルアタッチメント　ＮＷ&minus;８００　８００Ｓ用　５０００１ 受注単位1,作業用品\空圧工具\エアインパクトレンチ。『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【AT-30A】(7533586) アングルアタッチメント　ＮＷ&minus;８００　８００Ｓ用　５０００１ 受注単位1[rn]
11-23859,,636.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TAG508N013】(7595760) グリスガン　ＴＡＧ５０８Ｎ用　アダプター 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ＴＡＧ５０８Ｎ用アダプターです。<br><br><br>●品名：アダプター<br>●適合本体：TAG508N<br>●質量(g)：21<br><br><br>●鉄<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TAG508N013】(7595760) グリスガン　ＴＡＧ５０８Ｎ用　アダプター 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TAG508N013】(7595760) グリスガン　ＴＡＧ５０８Ｎ用　アダプター 受注単位1,作業用品\車輌整備用品・グリスガン\グリスガン。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TAG508N013】(7595760) グリスガン　ＴＡＧ５０８Ｎ用　アダプター 受注単位1[rn]
