11-27001,,2948.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【1259-01】(7925051) ＫＮＩＰＥＸ 1259－01 替刃 (1250－200用) 発注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●適合機種:1250-200<br>
●品名:替刃（1250-200用）",■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【1259-01】(7925051) ＫＮＩＰＥＸ 1259&minus;01 替刃 (1250&minus;200用) 発注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【1259-01】(7925051) ＫＮＩＰＥＸ 1259&minus;01 替刃 (1250&minus;200用) 発注単位1,作業用品\電設工具。■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【1259-01】(7925051) ＫＮＩＰＥＸ 1259&minus;01 替刃 (1250&minus;200用) 発注単位1[rn]
11-27023,,13229.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒京都機械工具/ＫＴＣ【EK-1A】(7545690) 両開きメタルケース 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●取り外し可能なキャリングトレー（ハンドルなし）を上段にセットしています。<br>●収納式のハンドルを採用しています。<br>●ケース上面がフラットなので積み重ねが可能です。<br><br>●収納具<br><br>●色：シルバー<br>●外寸(mm)間口×奥行×高さ：430×225×225<br>●シリンダ錠(別売)：取付可<br><br>●両開きケースタイプ<br>●キャリングトレーサイズ：390×100×45mm<br><br>●本体：スチール<br>●ハンドル：アルミ<br>",『カード対応OK！』■〒京都機械工具/ＫＴＣ【EK-1A】(7545690) 両開きメタルケース 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒京都機械工具/ＫＴＣ【EK-1A】(7545690) 両開きメタルケース 受注単位1,作業用品\工具箱・ツールバッグ\スチール製工具箱。『カード対応OK！』■〒京都機械工具/ＫＴＣ【EK-1A】(7545690) 両開きメタルケース 受注単位1[rn]
11-27024,http://tshop.r10s.jp/clover9608/cabinet/pb9/t010005503352.jpg?fitin=700:700,105.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　工具箱用中敷　Ｔ３２０専用サイズ【T32-NJ】(4152719) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●工具箱の中敷としてご使用いただけます。<br>●内寸にサイズを合わせてカットしています。<br>●耐久性に優れた発泡ポリエチレンシートを使用しています。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　工具箱用中敷　Ｔ３２０専用サイズ【T32-NJ】(4152719) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　工具箱用中敷　Ｔ３２０専用サイズ【T32-NJ】(4152719) 受注単位1,(4152719)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　工具箱用中敷　Ｔ３２０専用サイズ【T32-NJ】(4152719) 受注単位1[rn]
11-27025,,2204.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒京都機械工具/ＫＴＣ　片開きメタルケース【EKB-2】(3837548) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●トランク形のメタルケースです。<br>●工具、部品の管理などに便利です。",『カード対応OK！』■〒京都機械工具/ＫＴＣ　片開きメタルケース【EKB-2】(3837548) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒京都機械工具/ＫＴＣ　片開きメタルケース【EKB-2】(3837548) 受注単位1,作業用品\工具箱・ツールバッグ\スチール製工具箱。『カード対応OK！』■〒京都機械工具/ＫＴＣ　片開きメタルケース【EKB-2】(3837548) 受注単位1[rn]
11-27026,,874.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒京都機械工具/ＫＴＣ　フックＢセット（１０本組）【SKR-54-B】(3738094) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ツールステーションのオプションです。",『カード対応OK！』■〒京都機械工具/ＫＴＣ　フックＢセット（１０本組）【SKR-54-B】(3738094) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒京都機械工具/ＫＴＣ　フックＢセット（１０本組）【SKR-54-B】(3738094) 受注単位1,作業用品\工具箱・ツールバッグ\スチール製工具箱。『カード対応OK！』■〒京都機械工具/ＫＴＣ　フックＢセット（１０本組）【SKR-54-B】(3738094) 受注単位1[rn]
11-27027,,6627.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャビネットツールボックス　５３３Ｘ２４１Ｘ２１９【TCBOX-2R】(3021301) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●発泡ゴムシート付なので、引き出しの中は滑りにくく、傷つきにくいです。<br>●パッチン錠に鍵穴がついているため、シリンダ錠（25mm、別売）を取り付け保管が可能です。<br>●トップカバーを閉じると引き出しが自動ロックします。<br>●ボールベアリングスライダー採用で引き出しがスムーズに動きます。<br>●自動車整備工場などの工具の整理整頓に最適です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャビネットツールボックス　５３３Ｘ２４１Ｘ２１９【TCBOX-2R】(3021301) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャビネットツールボックス　５３３Ｘ２４１Ｘ２１９【TCBOX-2R】(3021301) 受注単位1,(3021301)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャビネットツールボックス　５３３Ｘ２４１Ｘ２１９【TCBOX-2R】(3021301) 受注単位1[rn]
11-27028,,15064.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒前田金属工業/ＴＯＮＥ　ツールケース（メタル）　Ｖ形３段式　４３３Ｘ２２０Ｘ２４０ｍｍ【BX331】(3698009) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ケースの角部にガード機能を追加した新型ツールケースです。<br>●デッドスペースをなくし収納スペースを有効に活用できます。<br>●頑丈で衝撃に強いです。<br>●天面フラットV形3段式両開きケースです。",『カード対応OK！』■〒前田金属工業/ＴＯＮＥ　ツールケース（メタル）　Ｖ形３段式　４３３Ｘ２２０Ｘ２４０ｍｍ【BX331】(3698009) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒前田金属工業/ＴＯＮＥ　ツールケース（メタル）　Ｖ形３段式　４３３Ｘ２２０Ｘ２４０ｍｍ【BX331】(3698009) 受注単位1,作業用品\工具箱・ツールバッグ\スチール製工具箱。『カード対応OK！』■〒前田金属工業/ＴＯＮＥ　ツールケース（メタル）　Ｖ形３段式　４３３Ｘ２２０Ｘ２４０ｍｍ【BX331】(3698009) 受注単位1[rn]
11-27029,http://tshop.r10s.jp/clover9608/cabinet/pb7/t010004587509.jpg?fitin=700:700,1383.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　山型工具箱　４１６Ｘ１８７Ｘ２００　ブルー【Y-420-B】(3017478) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ハードな使用に耐える頑丈なプレス一体型です。<br>●内部で工具が盛り上ってもフタが凸状になっているのでらくらくフタが閉まる便利な設計です。<br>●中皿は、ついていません。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　山型工具箱　４１６Ｘ１８７Ｘ２００　ブルー【Y-420-B】(3017478) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　山型工具箱　４１６Ｘ１８７Ｘ２００　ブルー【Y-420-B】(3017478) 受注単位1,(3017478)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　山型工具箱　４１６Ｘ１８７Ｘ２００　ブルー【Y-420-B】(3017478) 受注単位1[rn]
11-27030,http://tshop.r10s.jp/clover9608/cabinet/pb7/t010004587490.jpg?fitin=700:700,897.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　山型工具箱　３５９Ｘ１５０Ｘ１２４　ブルー【Y-350-B (ﾌﾞﾙｰ)】(1624822) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ハードな使用に耐える頑丈なプレス一体型です。<br>●内部で工具が盛り上ってもフタが凸状になっているのでらくらくフタが閉まる便利な設計です。<br>●中皿は、ついていません。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　山型工具箱　３５９Ｘ１５０Ｘ１２４　ブルー【Y-350-B (ﾌﾞﾙｰ)】(1624822) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　山型工具箱　３５９Ｘ１５０Ｘ１２４　ブルー【Y-350-B (ﾌﾞﾙｰ)】(1624822) 受注単位1,(1624822)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　山型工具箱　３５９Ｘ１５０Ｘ１２４　ブルー【Y-350-B (ﾌﾞﾙｰ)】(1624822) 受注単位1[rn]
11-27031,http://tshop.r10s.jp/clover9608/cabinet/pb1/t010002607678.jpg?fitin=700:700,1409.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　トランク工具箱　４１８Ｘ２２２Ｘ１１０　ブルー【T-410】(1201085) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ハードな使用に耐える頑丈なプレス一体型です。<br>●サイドフックです。<br>●積み重ね自由の便利な設計です。<br>●片開き開閉式です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　トランク工具箱　４１８Ｘ２２２Ｘ１１０　ブルー【T-410】(1201085) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　トランク工具箱　４１８Ｘ２２２Ｘ１１０　ブルー【T-410】(1201085) 受注単位1,(1201085)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　トランク工具箱　４１８Ｘ２２２Ｘ１１０　ブルー【T-410】(1201085) 受注単位1[rn]
11-27032,http://tshop.r10s.jp/clover9608/cabinet/pb7/t010004584531.jpg?fitin=700:700,908.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　山型ツールボックス　３３０Ｘ１４０Ｘ９６　シルバー【TY-320SV】(3365069) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ハードな使用に耐える頑丈なプレス一体型です。<br>●R形状のコーナー部と取手収納を一体化した新デザインです。<br>●中皿は、ついていません。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　山型ツールボックス　３３０Ｘ１４０Ｘ９６　シルバー【TY-320SV】(3365069) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　山型ツールボックス　３３０Ｘ１４０Ｘ９６　シルバー【TY-320SV】(3365069) 受注単位1,(3365069)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　山型ツールボックス　３３０Ｘ１４０Ｘ９６　シルバー【TY-320SV】(3365069) 受注単位1[rn]
11-27033,,604.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒明邦化学工業/メイホー　メイホー　ノベルティＢＯＸ　赤【103152 (ﾉﾍﾞﾙﾃｨﾎﾞｯｸｽM-ｱｶ)R】(4028643) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●カッターナイフやドライバーなど、ちょっとしたライトツール入れに最適です。<br>●中皿は取り外し可です。",『カード対応OK！』■〒明邦化学工業/メイホー　メイホー　ノベルティＢＯＸ　赤【103152 (ﾉﾍﾞﾙﾃｨﾎﾞｯｸｽM-ｱｶ)R】(4028643) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒明邦化学工業/メイホー　メイホー　ノベルティＢＯＸ　赤【103152 (ﾉﾍﾞﾙﾃｨﾎﾞｯｸｽM-ｱｶ)R】(4028643) 受注単位1,作業用品\工具箱・ツールバッグ\樹脂製工具箱。『カード対応OK！』■〒明邦化学工業/メイホー　メイホー　ノベルティＢＯＸ　赤【103152 (ﾉﾍﾞﾙﾃｨﾎﾞｯｸｽM-ｱｶ)R】(4028643) 受注単位1[rn]
11-27034,,604.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒明邦化学工業/メイホー　ノベルティＢＯＸ　青【103169 (ﾉﾍﾞﾙﾃｨﾎﾞｯｸｽM-ｱｵ)B】(4028651) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●カッターナイフやドライバーなど、ちょっとしたライトツール入れに最適です。<br>●中皿は取り外し可です。",『カード対応OK！』■〒明邦化学工業/メイホー　ノベルティＢＯＸ　青【103169 (ﾉﾍﾞﾙﾃｨﾎﾞｯｸｽM-ｱｵ)B】(4028651) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒明邦化学工業/メイホー　ノベルティＢＯＸ　青【103169 (ﾉﾍﾞﾙﾃｨﾎﾞｯｸｽM-ｱｵ)B】(4028651) 受注単位1,作業用品\工具箱・ツールバッグ\樹脂製工具箱。『カード対応OK！』■〒明邦化学工業/メイホー　ノベルティＢＯＸ　青【103169 (ﾉﾍﾞﾙﾃｨﾎﾞｯｸｽM-ｱｵ)B】(4028651) 受注単位1[rn]
11-27035,,2120.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　スーパーハードボッックス　全長５００ｍｍ【TSHB-500】(2994836) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●Wロックシステム（PAT.P）:バックルをはめ忘れても持ち上げた際ロックがかかり、工具の飛び出しを回避します。<br>●ハンドルは持ちやすく、滑りにくいラバーグリップを採用しています。<br>●両サイドにはベルト通しとツールホルダを設置しています。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　スーパーハードボッックス　全長５００ｍｍ【TSHB-500】(2994836) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　スーパーハードボッックス　全長５００ｍｍ【TSHB-500】(2994836) 受注単位1,(2994836)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　スーパーハードボッックス　全長５００ｍｍ【TSHB-500】(2994836) 受注単位1[rn]
11-27036,,1088.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒明邦化学工業/メイホー【NO2020】(4818792) フィットボックス２０２０ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●スタンダードなミドルクラスのツールボックスです。<br>●小・中型のツールボックスの収納に最適です。<br>●2段重ね式のトレー付です。<br>●トレーが一部スルーになっている為スプレー缶など立てて入れる事ができます。<br><br>●現場・家庭での小型中型ツール、ライトツールの収納<br><br>●色：グレー<br>●外寸(mm)間口×奥行×高さ：320×198×157<br>●有効内寸(mm)間口×奥行×高さ：300×157×70<br><br>●蓋・2段トレー/クリアー<br><br>●本体：耐衝撃性コーポリマー(PP)<br>●蓋：中トレー：ポリプロピレン<br>",『カード対応OK！』■〒明邦化学工業/メイホー【NO2020】(4818792) フィットボックス２０２０ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒明邦化学工業/メイホー【NO2020】(4818792) フィットボックス２０２０ 受注単位1,作業用品\工具箱・ツールバッグ\樹脂製工具箱。『カード対応OK！』■〒明邦化学工業/メイホー【NO2020】(4818792) フィットボックス２０２０ 受注単位1[rn]
11-27037,,1807.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　バンパーボックス　全長４２０ｍｍ【TFP-410】(1335006) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●耐衝撃性コーポリマー使用のため軽量の上、衝撃に強く、高強度です。<br>●バックルはポリカーボネートです。<br>●二重構造のため、高強度で防滴性に優れています。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　バンパーボックス　全長４２０ｍｍ【TFP-410】(1335006) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　バンパーボックス　全長４２０ｍｍ【TFP-410】(1335006) 受注単位1,(1335006)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　バンパーボックス　全長４２０ｍｍ【TFP-410】(1335006) 受注単位1[rn]
11-27038,,3144.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アイリスオーヤマ/ＩＲＩＳ【HM-46】(7633505) ハードプロ　４６　レッド 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ドリルドライバーとインパクトドライバーを同時に収納できる職人向けの工具ケースです。<br><br>●工具収納に。<br><br>●色：レッド<br>●外寸(mm)間口×奥行×高さ：460×280×270<br>●有効内寸(mm)間口×奥行×高さ：380×220×210<br><br>●耐荷重：30kg<br><br>●ポリプロピレン<br>",『カード対応OK！』■〒アイリスオーヤマ/ＩＲＩＳ【HM-46】(7633505) ハードプロ　４６　レッド 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒アイリスオーヤマ/ＩＲＩＳ【HM-46】(7633505) ハードプロ　４６　レッド 受注単位1,作業用品\工具箱・ツールバッグ\樹脂製工具箱。『カード対応OK！』■〒アイリスオーヤマ/ＩＲＩＳ【HM-46】(7633505) ハードプロ　４６　レッド 受注単位1[rn]
11-27039,http://tshop.r10s.jp/clover9608/cabinet/pb9/t010005466947.jpg?fitin=700:700,2098.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プロツールボックス【TTB-800】(3894835) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ポケット付で小物の整理に便利です。<br>●仕切板は工具のサイズによって、自由に差替えできます。<br>●耐荷重30kgの工具箱です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プロツールボックス【TTB-800】(3894835) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プロツールボックス【TTB-800】(3894835) 受注単位1,(3894835)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　プロツールボックス【TTB-800】(3894835) 受注単位1[rn]
11-27040,,869.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　樹脂山型工具箱　ブルー【YP-350B (ﾌﾞﾙｰ)】(1337459) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●サビに強く、金属部はステンレスを使用しています。<br>●雨に強く、水の入りにくい設計です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　樹脂山型工具箱　ブルー【YP-350B (ﾌﾞﾙｰ)】(1337459) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　樹脂山型工具箱　ブルー【YP-350B (ﾌﾞﾙｰ)】(1337459) 受注単位1,(1337459)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　樹脂山型工具箱　ブルー【YP-350B (ﾌﾞﾙｰ)】(1337459) 受注単位1[rn]
11-27041,,1047.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三甲/サンコー　ハンディボックス赤【200803RE00R (ﾚｯﾄﾞ)】(2967499) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●収納物の大きさに合わせて選んでいただけるよう豊富な品揃えです。<br>●コンパクトなので、保管場所を取らず、持ち運びにも便利です。",『カード対応OK！』■〒三甲/サンコー　ハンディボックス赤【200803RE00R (ﾚｯﾄﾞ)】(2967499) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒三甲/サンコー　ハンディボックス赤【200803RE00R (ﾚｯﾄﾞ)】(2967499) 受注単位1,作業用品\工具箱・ツールバッグ\樹脂製工具箱。『カード対応OK！』■〒三甲/サンコー　ハンディボックス赤【200803RE00R (ﾚｯﾄﾞ)】(2967499) 受注単位1[rn]
11-27042,,1590.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ウォーターガードボックス　３４０Ｘ１９０Ｘ１６８【TWG-72】(2994810) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●特殊パッキン構造による防滴仕様なので、水の浸入を防ぎます。<br>●フタが半透明で中身が見やすいインナートレー付で小物・小物ケースの収納に大変便利です。<br>●フタ部に小物入れがあり使用頻度の高い小物の収納に大変便利です。（TWG-108）",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ウォーターガードボックス　３４０Ｘ１９０Ｘ１６８【TWG-72】(2994810) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ウォーターガードボックス　３４０Ｘ１９０Ｘ１６８【TWG-72】(2994810) 受注単位1,(2994810)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ウォーターガードボックス　３４０Ｘ１９０Ｘ１６８【TWG-72】(2994810) 受注単位1[rn]
11-27043,,1961.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ウォーターガードボックス　４１４Ｘ２１９Ｘ２００【TWG-108】(2994801) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●特殊パッキン構造による防滴仕様なので、水の浸入を防ぎます。<br>●フタが半透明で中身が見やすいインナートレー付で小物・小物ケースの収納に大変便利です。<br>●フタ部に小物入れがあり使用頻度の高い小物の収納に大変便利です。（TWG-108）",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ウォーターガードボックス　４１４Ｘ２１９Ｘ２００【TWG-108】(2994801) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ウォーターガードボックス　４１４Ｘ２１９Ｘ２００【TWG-108】(2994801) 受注単位1,(2994801)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ウォーターガードボックス　４１４Ｘ２１９Ｘ２００【TWG-108】(2994801) 受注単位1[rn]
11-27044,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004377051.jpg?fitin=700:700,3552.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　２段式ハードツールボックス　ホワイト【TP-410-W】(3668631) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●PP自動車用バンパーグレード使用のため、軽量かつ高強度です。(TP-410-Wは、複合PP)<br>●上部中皿は、スライドの自動開閉タイプです。<br>●上部はフルフラットになります。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　２段式ハードツールボックス　ホワイト【TP-410-W】(3668631) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　２段式ハードツールボックス　ホワイト【TP-410-W】(3668631) 受注単位1,(3668631)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　２段式ハードツールボックス　ホワイト【TP-410-W】(3668631) 受注単位1[rn]
