16-23201,,19008.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒三和製作所/ｓａｎｗａ 衛生用品【102-842】(8194132) ｓａｎｗａ エキスパンダースクリーン 90×125．5～187ｃｍピンク 発注単位1,オフィス住設用品\防災・防犯用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●自由に高さを変えられる伸縮式のつい立てで、組み立て不要ですぐに使用できます。<br>
●ストッパー付キャスターで移動・設置も簡単にできます。<br>
●幅×奥行×高さ(mm):900×400×1290～1870<br>
●フレーム：スチールパイプ（粉体塗装）<br>
●布：ポリエステル100％（帝人ファイバーエコペット）",■〒三和製作所/ｓａｎｗａ 衛生用品【102-842】(8194132) ｓａｎｗａ エキスパンダースクリーン 90&times;125．5～187ｃｍピンク 発注単位1：クローバー資材館,■〒三和製作所/ｓａｎｗａ 衛生用品【102-842】(8194132) ｓａｎｗａ エキスパンダースクリーン 90&times;125．5～187ｃｍピンク 発注単位1,オフィス住設用品\防災・防犯用品。■〒三和製作所/ｓａｎｗａ 衛生用品【102-842】(8194132) ｓａｎｗａ エキスパンダースクリーン 90&times;125．5～187ｃｍピンク 発注単位1[rn]
16-23232,,125.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒（株）リングスター/リングスター【F-180-BK】(4872681)すべりま専用ファミリータイプＦ－１８０ブラック 受注単位1,オフィス住設用品\床材用品\ノンスリップマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●敷くだけでずれ落ち、滑りを防ぐ効果を発揮します。<br>●棚、車の搭載に。<br>●工具箱の下敷きに。<br>●色:ブラック<br>●幅(mm):180<br>●厚み(mm):1.5<br>●長さ(mm):155<br>●質量（ｇ）：30<br>●PVC（ポリ塩化ビニール）<br>",『カード対応OK！』■〒（株）リングスター/リングスター【F-180-BK】(4872681)すべりま専用ファミリータイプＦ&minus;１８０ブラック 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）リングスター/リングスター【F-180-BK】(4872681)すべりま専用ファミリータイプＦ&minus;１８０ブラック 受注単位1,オフィス住設用品\床材用品\ノンスリップマット。『カード対応OK！』■〒（株）リングスター/リングスター【F-180-BK】(4872681)すべりま専用ファミリータイプＦ&minus;１８０ブラック 受注単位1[rn]
16-23233,,160.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒山崎産業（株）/コンドル 【F-226-FC】(4414268)ノンスリップ メタルグリップ コーナー 受注単位1,オフィス住設用品\床材用品\ノンスリップマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●高耐久性のスチール溶融亜鉛メッキを採用したスパイク状の表面が、足元をしっかりグリップし、油や水によるスリップを軽減し、作業の安全性を高めます。<br>●16分割のブロックで構成されているので、必要なサイズにカットし、設置場所に合わせた施工が可能です。<br>●サビが発生しにくい材質です。（※アンモニア、次亜塩素酸ナトリウムをご使用の現場には適しません。)<br>●表面の突起はアール状で安全に配慮しております。<br>●ノンスリップメタルグリップ(F-226)用コーナーです。<br>●黄色の縁駒が注意を喚起します。<br>●色:黄<br>●幅(mm):75<br>●厚み(mm):14<br>●長さ(mm):75<br>●タイプ:コーナー<br>●質量(g):40<br>●再生ＰＶＣ<br>",『カード対応OK！』■〒山崎産業（株）/コンドル 【F-226-FC】(4414268)ノンスリップ メタルグリップ コーナー 受注単位1：クローバー資材館,『カード対応OK！』■〒山崎産業（株）/コンドル 【F-226-FC】(4414268)ノンスリップ メタルグリップ コーナー 受注単位1,オフィス住設用品\床材用品\ノンスリップマット。『カード対応OK！』■〒山崎産業（株）/コンドル 【F-226-FC】(4414268)ノンスリップ メタルグリップ コーナー 受注単位1[rn]
16-23234,,3283.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒生方製作所/ＵＢＵＫＡＴＡ【UGL3-W】(7737076) ＰｉｏｍａここだよライトＳ 受注単位1,オフィス住設用品\防災・防犯用品\防犯用センサーライト,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ガスマイコンメーターで実績のある感震器を使用しています。地震・停電で自動点灯するので、懐中電灯を探す不安を解消しました。<br><br><br>●幅(mm)：62<br>●奥行(mm)：32<br>●高さ(mm)：96<br>●使用電球(W)：0.5<br><br>●電源：AC100V<br>●消費電力：0.4Ｗ<br>●内蔵電池：ニッケル水素電池(2.4V650mAh)<br>●点灯震度：4相当以上<br>●点灯時間：地震ライト：約10分、停電ライト：約１０分、消灯後の足元灯：約30秒、携帯灯：約６時間（満充電時）<br><br>●ABS樹脂<br>",『カード対応OK！』■〒生方製作所/ＵＢＵＫＡＴＡ【UGL3-W】(7737076) ＰｉｏｍａここだよライトＳ 受注単位1：クローバー資材館,『カード対応OK！』■〒生方製作所/ＵＢＵＫＡＴＡ【UGL3-W】(7737076) ＰｉｏｍａここだよライトＳ 受注単位1,オフィス住設用品\防災・防犯用品\防犯用センサーライト。『カード対応OK！』■〒生方製作所/ＵＢＵＫＡＴＡ【UGL3-W】(7737076) ＰｉｏｍａここだよライトＳ 受注単位1[rn]
16-23235,,6389.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒山崎産業（株）/コンドル 【F-95-7-2】(4384229)ゴムマットベース ＃７ マジッククロスなし 受注単位1,オフィス住設用品\床材用品\ノンスリップマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●マジッククロスなしのゴムマットベースです。<br>●粘着マットDP-2用ゴムマットベース。<br>●色:ブラック<br>●幅(mm):750<br>●長さ(mm):900<br>●厚み(mm):8<br>●質量(kg):2.5<br>●合成ゴム<br>",『カード対応OK！』■〒山崎産業（株）/コンドル 【F-95-7-2】(4384229)ゴムマットベース ＃７ マジッククロスなし 受注単位1：クローバー資材館,『カード対応OK！』■〒山崎産業（株）/コンドル 【F-95-7-2】(4384229)ゴムマットベース ＃７ マジッククロスなし 受注単位1,オフィス住設用品\床材用品\ノンスリップマット。『カード対応OK！』■〒山崎産業（株）/コンドル 【F-95-7-2】(4384229)ゴムマットベース ＃７ マジッククロスなし 受注単位1[rn]
16-23236,,1318.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒（株）リングスター/リングスター【TM-2-BK】(4842286)すべりま専用ＴＭ－２ブラック 受注単位1,オフィス住設用品\床材用品\ノンスリップマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●敷くだけでずれ落ち、滑りを防ぐ効果を発揮します。<br>●プロ仕様でピタッと吸着します。<br>●車の荷台に。<br>●工具箱の下敷きに。<br>●色:ブラック<br>●幅(mm):450<br>●厚み(mm):3<br>●長さ(m):1.8<br>●質量（ｋｇ）：0.45<br>●PVC（ポリ塩化ビニール）<br>",『カード対応OK！』■〒（株）リングスター/リングスター【TM-2-BK】(4842286)すべりま専用ＴＭ&minus;２ブラック 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）リングスター/リングスター【TM-2-BK】(4842286)すべりま専用ＴＭ&minus;２ブラック 受注単位1,オフィス住設用品\床材用品\ノンスリップマット。『カード対応OK！』■〒（株）リングスター/リングスター【TM-2-BK】(4842286)すべりま専用ＴＭ&minus;２ブラック 受注単位1[rn]
16-23237,,1428.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アイリスオーヤマ/ＩＲＩＳ【BSL40MN-W】(4953134) 乾電池式ＬＥＤ屋内センサーライト　ホワイト　マルチタイプ　昼白色 受注単位1,オフィス住設用品\防災・防犯用品\防犯用センサーライト,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●2段階の明るさ切り替えができます（Hi/Lo）。<br>●壁紙には両面テープ、壁フックは収納式フック、天井にはねじ、金属面にはマグネットで取り付けられます。<br>●センサーが人の動きを感知して自動的に点灯する乾電池式LED室内センサーライトマルチタイプです。<br><br>●乾電池式で電源や配線が不要なので、いろいろな場所に簡単に設置できます。<br><br>●幅(mm)：95<br>●奥行(mm)：95<br>●高さ(mm)：37<br>●使用電球(W)：0.3×4<br>●点灯保持時間：（ＯＮ）常時点灯、（ＡＵＴO）約10秒（感知中は常時点灯）<br>●光源色：昼白色<br><br>●電源：単三形アルカリ電池×3本（別売）<br>●マルチタイプ<br>●点灯時間ＯＮ：常時点灯　ＡＵＴＯ：約10秒（感知中は常時点灯）<br><br>●ポリカーボネート<br>",『カード対応OK！』■〒アイリスオーヤマ/ＩＲＩＳ【BSL40MN-W】(4953134) 乾電池式ＬＥＤ屋内センサーライト　ホワイト　マルチタイプ　昼白色 受注単位1：クローバー資材館,『カード対応OK！』■〒アイリスオーヤマ/ＩＲＩＳ【BSL40MN-W】(4953134) 乾電池式ＬＥＤ屋内センサーライト　ホワイト　マルチタイプ　昼白色 受注単位1,オフィス住設用品\防災・防犯用品\防犯用センサーライト。『カード対応OK！』■〒アイリスオーヤマ/ＩＲＩＳ【BSL40MN-W】(4953134) 乾電池式ＬＥＤ屋内センサーライト　ホワイト　マルチタイプ　昼白色 受注単位1[rn]
16-23238,,125.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒（株）リングスター/リングスター【F-180-IY】(4872690)すべりま専用ファミリータイプＦ－１８０アイボリー 受注単位1,オフィス住設用品\床材用品\ノンスリップマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●敷くだけでずれ落ち、滑りを防ぐ効果を発揮します。<br>●棚、車の搭載に。<br>●工具箱の下敷きに。<br>●色:アイボリー<br>●幅(mm):180<br>●厚み(mm):1.5<br>●長さ(mm):155<br>●質量（ｇ）：30<br>●PVC（ポリ塩化ビニール）<br>",『カード対応OK！』■〒（株）リングスター/リングスター【F-180-IY】(4872690)すべりま専用ファミリータイプＦ&minus;１８０アイボリー 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）リングスター/リングスター【F-180-IY】(4872690)すべりま専用ファミリータイプＦ&minus;１８０アイボリー 受注単位1,オフィス住設用品\床材用品\ノンスリップマット。『カード対応OK！』■〒（株）リングスター/リングスター【F-180-IY】(4872690)すべりま専用ファミリータイプＦ&minus;１８０アイボリー 受注単位1[rn]
16-23239,,460.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒（株）リングスター/リングスター【S-450-B】(4873777)すべりま専用２Ｓ－４５０ブルー 受注単位1,オフィス住設用品\床材用品\ノンスリップマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●敷くだけでずれ落ち、滑りを防ぐ効果を発揮します。<br>●車の荷台に。<br>●工具箱の下敷きに。<br>●色:ブルー<br>●幅(mm):450<br>●厚み(mm):2<br>●長さ(m):1.25<br>●質量（ｋｇ）：0.3<br>●無臭<br>●水洗い可<br>●防カビ<br>●PVC（ポリ塩化ビニール）<br>",『カード対応OK！』■〒（株）リングスター/リングスター【S-450-B】(4873777)すべりま専用２Ｓ&minus;４５０ブルー 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）リングスター/リングスター【S-450-B】(4873777)すべりま専用２Ｓ&minus;４５０ブルー 受注単位1,オフィス住設用品\床材用品\ノンスリップマット。『カード対応OK！』■〒（株）リングスター/リングスター【S-450-B】(4873777)すべりま専用２Ｓ&minus;４５０ブルー 受注単位1[rn]
16-23240,,994.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒（株）カーボーイ/カーボーイ【TM-05】(4403444)止まるんです ６００ｍｍ×１２５０ｍｍ ホワイト 受注単位1,オフィス住設用品\床材用品\ノンスリップマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●敷くだけですべり止め効果を発揮します。<br>●好きなサイズにハサミでカットして使用できます。<br>●トランクルーム、荷台のすべり止めに。<br>●色:ホワイト<br>●幅(mm):600<br>●厚み(mm):3<br>●長さ(m):1.25<br>●質量(kg):0.42<br>●ポリ塩化ビニール（PVC）<br>",『カード対応OK！』■〒（株）カーボーイ/カーボーイ【TM-05】(4403444)止まるんです ６００ｍｍ&times;１２５０ｍｍ ホワイト 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）カーボーイ/カーボーイ【TM-05】(4403444)止まるんです ６００ｍｍ&times;１２５０ｍｍ ホワイト 受注単位1,オフィス住設用品\床材用品\ノンスリップマット。『カード対応OK！』■〒（株）カーボーイ/カーボーイ【TM-05】(4403444)止まるんです ６００ｍｍ&times;１２５０ｍｍ ホワイト 受注単位1[rn]
16-23241,,596.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒（株）リングスター/リングスター【S-600-BK】(4873815)すべりま専用２Ｓ－６００ブラック 受注単位1,オフィス住設用品\床材用品\ノンスリップマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●敷くだけでずれ落ち、滑りを防ぐ効果を発揮します。<br>●車の荷台に。<br>●工具箱の下敷きに。<br>●色:ブラック<br>●幅(mm):600<br>●厚み(mm):2<br>●長さ(m):1.25<br>●質量（ｋｇ）：0.4<br>●PVC（ポリ塩化ビニール）<br>",『カード対応OK！』■〒（株）リングスター/リングスター【S-600-BK】(4873815)すべりま専用２Ｓ&minus;６００ブラック 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）リングスター/リングスター【S-600-BK】(4873815)すべりま専用２Ｓ&minus;６００ブラック 受注単位1,オフィス住設用品\床材用品\ノンスリップマット。『カード対応OK！』■〒（株）リングスター/リングスター【S-600-BK】(4873815)すべりま専用２Ｓ&minus;６００ブラック 受注単位1[rn]
16-23242,,38384.8000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【TCM-5050】(7624875) コインマット　１０００Ｘ５０００ｍｍ 受注単位1,オフィス住設用品\床材用品\ノンスリップマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●環境に優しい使用済タイヤチューブの再生品です。<br>●簡単に施工でき、繰り返し使用可能です。<br>●表面形状を工夫して滑りにくくしてあります。<br>●カッターにて切断可能です。<br><br>●駅舎・道路などの工事現場の歩行路仮設用。<br>●立体駐車場。<br>●病院・学校などの静粛を要する通路。<br>●イベント会場の養生用。<br>●道路仮歩道用。<br>●仮設トイレ。<br>●階段ステップ。<br><br>●色：ブラック<br>●幅(mm)：1000<br>●厚み(mm)：5<br>●長さ(m)：5<br><br>●ロールタイプ<br><br>●表面：天然ゴム<br>●裏面：天然ゴム<br>",【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【TCM-5050】(7624875) コインマット　１０００Ｘ５０００ｍｍ 受注単位1：クローバー資材館,【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【TCM-5050】(7624875) コインマット　１０００Ｘ５０００ｍｍ 受注単位1,オフィス住設用品\床材用品\ノンスリップマット。【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【TCM-5050】(7624875) コインマット　１０００Ｘ５０００ｍｍ 受注単位1[rn]
16-23243,,324.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒（株）リングスター/リングスター【S-300-BK】(4873751)すべりま専用２Ｓ－３００ブラック 受注単位1,オフィス住設用品\床材用品\ノンスリップマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●敷くだけでずれ落ち、滑りを防ぐ効果を発揮します。<br>●車の荷台に。<br>●工具箱の下敷きに。<br>●色:ブラック<br>●幅(mm):300<br>●厚み(mm):2<br>●長さ(m):1.25<br>●質量（ｋｇ）：0.2<br>●無臭<br>●水洗い可<br>●防カビ<br>●PVC（ポリ塩化ビニール）<br>",『カード対応OK！』■〒（株）リングスター/リングスター【S-300-BK】(4873751)すべりま専用２Ｓ&minus;３００ブラック 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）リングスター/リングスター【S-300-BK】(4873751)すべりま専用２Ｓ&minus;３００ブラック 受注単位1,オフィス住設用品\床材用品\ノンスリップマット。『カード対応OK！』■〒（株）リングスター/リングスター【S-300-BK】(4873751)すべりま専用２Ｓ&minus;３００ブラック 受注単位1[rn]
16-23244,,1339.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒山崎産業（株）/コンドル 【F-226】(4414250)ノンスリップ メタルグリップ 本駒 受注単位1,オフィス住設用品\床材用品\ノンスリップマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●高耐久性のスチール溶融亜鉛メッキを採用したスパイク状の表面が、足元をしっかりグリップし、油や水によるスリップを軽減し、作業の安全性を高めます。<br>●16分割のブロックで構成されているので、必要なサイズにカットし、設置場所に合わせた施工が可能です。<br>●サビが発生しにくい材質です。（※アンモニア、次亜塩素酸ナトリウムをご使用の現場には適しません。)<br>●表面の突起はアール状で安全に配慮しております。<br>●高耐久性のスチール溶融亜鉛メッキを採用した、スパイク状の表面が足元をしっかりグリップし、油や水によるスリップを軽減し、作業の安全性も高めます。<br>●16分割のブロックで構成されているので、必要なサイズにカットし、設置場所に合わせた施工が可能です。<br>●油や水によるスリップ防止に最適です。<br>●色:シルバー<br>●幅(mm):300<br>●厚み(mm):16.5<br>●長さ(mm):300<br>●タイプ:本駒<br>●質量(g):1200<br>●ベース：再生ＰＶＣ、金属：スチール溶融亜鉛メッキ<br>",『カード対応OK！』■〒山崎産業（株）/コンドル 【F-226】(4414250)ノンスリップ メタルグリップ 本駒 受注単位1：クローバー資材館,『カード対応OK！』■〒山崎産業（株）/コンドル 【F-226】(4414250)ノンスリップ メタルグリップ 本駒 受注単位1,オフィス住設用品\床材用品\ノンスリップマット。『カード対応OK！』■〒山崎産業（株）/コンドル 【F-226】(4414250)ノンスリップ メタルグリップ 本駒 受注単位1[rn]
16-23245,,5929.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒山崎産業（株）/コンドル 【F-195-7】(4384211)粘着マットＤＰ－２ ＃７ 受注単位1,オフィス住設用品\床材用品\ノンスリップマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●粘着力で細かいチリやホコリを除去。抗菌効果のある使い捨て靴拭きマットです。<br>●枚数表示付で汚れたらはがせ、30枚はがせます。<br>●衛生面のクリーンさが要求される医療施設をはじめ、製薬工場、製菓工場などにおすすめです。<br>●色:グリーン<br>●幅(mm):694<br>●長さ(mm):840<br>●厚み(mm):2.5<br>●質量(kg):1.4<br>●1シート：フィルム30枚<br>●フィルム厚み：2.5μm<br>●フィルム：低密度ポリエチレン(LDPE)<br>●粘着剤：アクリル系<br>●PE・抗菌剤入り<br>",『カード対応OK！』■〒山崎産業（株）/コンドル 【F-195-7】(4384211)粘着マットＤＰ&minus;２ ＃７ 受注単位1：クローバー資材館,『カード対応OK！』■〒山崎産業（株）/コンドル 【F-195-7】(4384211)粘着マットＤＰ&minus;２ ＃７ 受注単位1,オフィス住設用品\床材用品\ノンスリップマット。『カード対応OK！』■〒山崎産業（株）/コンドル 【F-195-7】(4384211)粘着マットＤＰ&minus;２ ＃７ 受注単位1[rn]
16-23246,,880.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒（株）リングスター/リングスター【TM-1-BK】(4842278)すべりま専用ＴＭ－１ブラック 受注単位1,オフィス住設用品\床材用品\ノンスリップマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●敷くだけでずれ落ち、滑りを防ぐ効果を発揮します。<br>●プロ仕様でピタッと吸着します。<br>●車の荷台に。<br>●工具箱の下敷きに。<br>●色:ブラック<br>●幅(mm):300<br>●厚み(mm):3<br>●長さ(m):1.8<br>●質量（ｋｇ）：0.3<br>●PVC（ポリ塩化ビニール）<br>",『カード対応OK！』■〒（株）リングスター/リングスター【TM-1-BK】(4842278)すべりま専用ＴＭ&minus;１ブラック 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）リングスター/リングスター【TM-1-BK】(4842278)すべりま専用ＴＭ&minus;１ブラック 受注単位1,オフィス住設用品\床材用品\ノンスリップマット。『カード対応OK！』■〒（株）リングスター/リングスター【TM-1-BK】(4842278)すべりま専用ＴＭ&minus;１ブラック 受注単位1[rn]
16-23247,,994.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒（株）カーボーイ/カーボーイ【TM-04】(4403436)止まるんです ６００ｍｍ×１２５０ｍｍ ブラック 受注単位1,オフィス住設用品\床材用品\ノンスリップマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●敷くだけですべり止め効果を発揮します。<br>●好きなサイズにハサミでカットして使用できます。<br>●トランクルーム、荷台のすべり止めに。<br>●色:ブラック<br>●幅(mm):600<br>●厚み(mm):3<br>●長さ(m):1.25<br>●質量(kg):0.42<br>●ポリ塩化ビニール（PVC）<br>",『カード対応OK！』■〒（株）カーボーイ/カーボーイ【TM-04】(4403436)止まるんです ６００ｍｍ&times;１２５０ｍｍ ブラック 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）カーボーイ/カーボーイ【TM-04】(4403436)止まるんです ６００ｍｍ&times;１２５０ｍｍ ブラック 受注単位1,オフィス住設用品\床材用品\ノンスリップマット。『カード対応OK！』■〒（株）カーボーイ/カーボーイ【TM-04】(4403436)止まるんです ６００ｍｍ&times;１２５０ｍｍ ブラック 受注単位1[rn]
16-23248,,324.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒（株）リングスター/リングスター【S-300-B】(4873742)すべりま専用２Ｓ－３００ブルー 受注単位1,オフィス住設用品\床材用品\ノンスリップマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●敷くだけでずれ落ち、滑りを防ぐ効果を発揮します。<br>●車の荷台に。<br>●工具箱の下敷きに。<br>●色:ブルー<br>●幅(mm):300<br>●厚み(mm):2<br>●長さ(m):1.25<br>●質量（ｋｇ）：0.2<br>●無臭<br>●水洗い可<br>●防カビ<br>●PVC（ポリ塩化ビニール）<br>",『カード対応OK！』■〒（株）リングスター/リングスター【S-300-B】(4873742)すべりま専用２Ｓ&minus;３００ブルー 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）リングスター/リングスター【S-300-B】(4873742)すべりま専用２Ｓ&minus;３００ブルー 受注単位1,オフィス住設用品\床材用品\ノンスリップマット。『カード対応OK！』■〒（株）リングスター/リングスター【S-300-B】(4873742)すべりま専用２Ｓ&minus;３００ブルー 受注単位1[rn]
16-23249,,460.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒（株）リングスター/リングスター【S-450-LN】(4873793)すべりま専用２Ｓ－４５０レモン 受注単位1,オフィス住設用品\床材用品\ノンスリップマット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●敷くだけでずれ落ち、滑りを防ぐ効果を発揮します。<br>●車の荷台に。<br>●工具箱の下敷きに。<br>●色:レモン<br>●幅(mm):450<br>●厚み(mm):2<br>●長さ(m):1.25<br>●質量（ｋｇ）：0.3<br>●PVC（ポリ塩化ビニール）<br>",『カード対応OK！』■〒（株）リングスター/リングスター【S-450-LN】(4873793)すべりま専用２Ｓ&minus;４５０レモン 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）リングスター/リングスター【S-450-LN】(4873793)すべりま専用２Ｓ&minus;４５０レモン 受注単位1,オフィス住設用品\床材用品\ノンスリップマット。『カード対応OK！』■〒（株）リングスター/リングスター【S-450-LN】(4873793)すべりま専用２Ｓ&minus;４５０レモン 受注単位1[rn]
16-23250,,918.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒大進/ＤＡＩＳＨＩＮ 緑化用品【700945】(8184416) ＤＡＩＳＨＩＮ ステンレスマルチ鎌 発注単位1,オフィス住設用品\緑化用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●平刃と波刃2種類の刃が雑草処理に最適です。<br>
●平刃と波刃2種類の刃が雑草処理に最適です。<br>
●握りやすい形状のグリップが長時間の作業の疲れを軽減します。<br>
●雑草処理、縄切り。<br>
●雑草処理、縄切り。<br>
●刃長(mm):80<br>
●刃幅(mm):54<br>
●全長(mm):235<br>
●全長(mm)235<br>
●刃長(mm)80<br>
●刃幅(mm)54<br>
●刃先：ステンレス刃物鋼<br>
●柄：ポリプロピレン(PP)＋TPR樹脂<br>
●使用後は、汚れや水気をよく拭き取り保管して下さい。",■〒大進/ＤＡＩＳＨＩＮ 緑化用品【700945】(8184416) ＤＡＩＳＨＩＮ ステンレスマルチ鎌 発注単位1：クローバー資材館,■〒大進/ＤＡＩＳＨＩＮ 緑化用品【700945】(8184416) ＤＡＩＳＨＩＮ ステンレスマルチ鎌 発注単位1,オフィス住設用品\緑化用品。■〒大進/ＤＡＩＳＨＩＮ 緑化用品【700945】(8184416) ＤＡＩＳＨＩＮ ステンレスマルチ鎌 発注単位1[rn]
16-23251,,4050.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒五十嵐刃物工業/鋼典 農機具【A-4】(8188017) 鋼典 芝生刈鋏 鋼付 ムク柄入 発注単位1,オフィス住設用品\緑化用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●火造り鍛造による鍛えられた刃物です。<br>
●日立安来鋼を貼り合せてあり、刃研ぎが楽にできます。<br>
●地面に刺さらないように、反り刃になっています。<br>
●芝刈、草刈りに。<br>
●切断能力(mm):8<br>
●刃長(mm):165<br>
●全長(mm):655<br>
●刃：日立安来鋼付<br>
●柄：ムク<br>
●木以外の使用はしないでください。<br>
●けが防止のため手袋等をはめて作業を行ってください.。<br>
●無理な使用は刃欠け、刃折れの原因となります。",■〒五十嵐刃物工業/鋼典 農機具【A-4】(8188017) 鋼典 芝生刈鋏 鋼付 ムク柄入 発注単位1：クローバー資材館,■〒五十嵐刃物工業/鋼典 農機具【A-4】(8188017) 鋼典 芝生刈鋏 鋼付 ムク柄入 発注単位1,オフィス住設用品\緑化用品。■〒五十嵐刃物工業/鋼典 農機具【A-4】(8188017) 鋼典 芝生刈鋏 鋼付 ムク柄入 発注単位1[rn]
