16-164601,http://tshop.r10s.jp/cps-mm/cabinet/gt3/imgms303-10001.jpg?fitin=700:700,54400.0000,,車用品・バイク用品 > カー用品 > 補強パーツ > その他,TRD MS303-10001 MCB(モーションコントロールビーム) C-HR(1#系),,"走行中に発生する微振動や、わずかな変形を吸収・減衰し、ボディ剛性も高めて応答性を向上。
車両のロール速度を減速させ、四輪の接地感を高めます。 

※MCBはアイシン精機株式会社の登録商標です。
 

■適合
 
C-HR(1#系) 

※適合につきましては、必ずメーカーサイトにてご確認ください。",TRD MS303-10001 MCB(モーションコントロールビーム) C-HR(1#系)：Car Parts Shop MM,ホイールバッテリー充電器カー用品オーディオスピーカーオイルナビゲーションプラグチェーンetcハーネス取付金具地デジドライブレコーダーTRD工具ツールセットオートエグゼMUGENNISMOTRD MS303-10001 MCB(モーションコントロールビーム) C-HR(1#系),TRD MS303-10001 MCB(モーションコントロールビーム) C-HR(1#系)[rn]
16-164655,http://tshop.r10s.jp/parts/cabinet/detail-aa04/aa04-pd.jpg?fitin=700:700,12191.2000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,DIXCEL（ディクセル）三菱 ミラージュ リア ブレーキディスクローター PDタイプ CJ4A ミラージュ アスティ (RX  4H  PCD114.3 (14インチ) 95/11～97/6)PD3450869,【！！DIXCEL送料無料！！】PD3450869,ディスク面の平行度、ランナウト、厚み変動といった基本的かつ重要な要件を高いレベルで実現。さらに防錆コーティングを導入し錆の発生を抑制し耐食性を向上。ローターの減りが気になる方やパッド交換を検討してる方におすすめ。<br>素材にはブレーキパッドとのミュー特性を考慮し定評のあるFC材を採用。さらにカーボン、シリコン、を始めとする各種添加剤を絶妙に配合し強度、耐熱性耐クラック性を向上。<br>※防錆処理・熱処理は一部車種によって異なります。 防錆コーティングは錆の発生を抑制するもので完全に阻止できるものではございません。<br><br>対応車種：CJ4A ミラージュ アスティ (RX  4H  PCD114.3 (14インチ) 95/11～97/6)<br><br>ブレーキ | ブレーキローター<br>三菱 | ミラージュ | CJ/CK/CM/CL系,DIXCEL（ディクセル）三菱 ミラージュ リア ブレーキディスクローター PDタイプ CJ4A ミラージュ アスティ (RX  4H  PCD114.3 (14インチ) 95/11～97/6)PD3450869：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンDIXCEL（ディクセル）三菱 ミラージュ リア ブレーキディスクローター PDタイプ CJ4A ミラージュ アスティ (RX  4H  PCD114.3 (14インチ) 95/11～97/6)PD3450869,【！！DIXCEL送料無料！！】PD3450869。DIXCEL（ディクセル）三菱 ミラージュ リア ブレーキディスクローター PDタイプ CJ4A ミラージュ アスティ (RX  4H  PCD114.3 (14インチ) 95/11～97/6)PD3450869[rn]
16-164656,http://tshop.r10s.jp/parts/cabinet/detail-aa04/aa04-pd.jpg?fitin=700:700,15776.8000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,DIXCEL（ディクセル）メルセデス・ベンツ 190E フロント ブレーキディスクローター PDタイプ 84～93 メルセデスベンツ W201 190 2.3 16V/2.5 16V (201034/201035)PD1112345,【！！DIXCEL送料無料！！】PD1112345,ディスク面の平行度、ランナウト、厚み変動といった基本的かつ重要な要件を高いレベルで実現。ローターの減りが気になる方やパッドの交換を検討してる方におすすめ。<br>素材にはブレーキパッドとのミュー特性を考慮し定評のあるFC材を採用。 さらにカーボン、シリコン、を始めとする各種添加剤を絶妙に配合し強度、耐熱性耐クラック性を向上。<br>※画像は防錆処理されていない物での掲載ですが実際の商品には防錆処理が行ってあります。 <br><br>対応車種：84～93 メルセデスベンツ W201 190 2.3 16V/2.5 16V (201034/201035)<br><br>ブレーキ | ブレーキローター<br>メルセデス・ベンツ | 190E | W201,DIXCEL（ディクセル）メルセデス・ベンツ 190E フロント ブレーキディスクローター PDタイプ 84～93 メルセデスベンツ W201 190 2.3 16V/2.5 16V (201034/201035)PD1112345：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンDIXCEL（ディクセル）メルセデス・ベンツ 190E フロント ブレーキディスクローター PDタイプ 84～93 メルセデスベンツ W201 190 2.3 16V/2.5 16V (201034/201035)PD1112345,【！！DIXCEL送料無料！！】PD1112345。DIXCEL（ディクセル）メルセデス・ベンツ 190E フロント ブレーキディスクローター PDタイプ 84～93 メルセデスベンツ W201 190 2.3 16V/2.5 16V (201034/201035)PD1112345[rn]
16-164657,http://tshop.r10s.jp/parts/cabinet/detail-aa04/aa04-pd.jpg?fitin=700:700,10756.8000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,DIXCEL（ディクセル）BMW BMWミニ リア ブレーキディスクローター PDタイプ 02/03～07/02 BMW R50/52/53 ミニ (RA/RE/RF/RH16)PD1251126,【！！DIXCEL送料無料！！】PD1251126,ディスク面の平行度、ランナウト、厚み変動といった基本的かつ重要な要件を高いレベルで実現。ローターの減りが気になる方やパッドの交換を検討してる方におすすめ。<br>素材にはブレーキパッドとのミュー特性を考慮し定評のあるFC材を採用。 さらにカーボン、シリコン、を始めとする各種添加剤を絶妙に配合し強度、耐熱性耐クラック性を向上。<br>※画像は防錆処理されていない物での掲載ですが実際の商品には防錆処理が行ってあります。 <br><br>対応車種：02/03～07/02 BMW R50/52/53 ミニ (RA/RE/RF/RH16) ※JCW GP KIT<br><br>ブレーキ | ブレーキローター<br>BMW | BMWミニ | R50～53,DIXCEL（ディクセル）BMW BMWミニ リア ブレーキディスクローター PDタイプ 02/03～07/02 BMW R50/52/53 ミニ (RA/RE/RF/RH16)PD1251126：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンDIXCEL（ディクセル）BMW BMWミニ リア ブレーキディスクローター PDタイプ 02/03～07/02 BMW R50/52/53 ミニ (RA/RE/RF/RH16)PD1251126,【！！DIXCEL送料無料！！】PD1251126。DIXCEL（ディクセル）BMW BMWミニ リア ブレーキディスクローター PDタイプ 02/03～07/02 BMW R50/52/53 ミニ (RA/RE/RF/RH16)PD1251126[rn]
16-164658,http://tshop.r10s.jp/parts/cabinet/detail-aa04/aa04-hs.jpg?fitin=700:700,21513.6000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,DIXCEL（ディクセル）スズキ アルト フロント ブレーキディスクローター HSタイプ HA22S アルト (TURBO 98/10～04/08)HS3714011,【！！DIXCEL送料無料！！】HS3714011,より高い安定性とより高い制動力、熱処理ローターとスリットローターのメリットを融合して生まれたHSタイプ。ストリートではスリットの効果が得られ低温時から高い摩擦係数を体感でき、サーキットでは比類なき安定性と高温時においても高い摩擦係数を維持します。<br>制動力と安定性を高次元で融合。ストリートからサーキットまであらゆるシチュエーションでパフォーマンスを発揮するディクセルのハイエンドモデルです。※通常商品は6本スリットですが、12本スリット仕様への加工も承ります（加工費税別6000円）。ご注文時にお申し付けください。<br>※スリットローターはパッドの摩耗を早めます。装着の際は左右の向きにご注意下さい。防錆処理・熱処理は一部車種によって異なります。 防錆コーティングは錆の発生を抑制するもので完全に阻止できるものではございません。※必ず当たり付けは行って下さい。<br><br>対応車種：HA22S アルト (TURBO 98/10～04/08)<br><br>ブレーキ | ブレーキローター<br>スズキ | アルト | HA12S/22S/23S、HA12V/23V,DIXCEL（ディクセル）スズキ アルト フロント ブレーキディスクローター HSタイプ HA22S アルト (TURBO 98/10～04/08)HS3714011：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンDIXCEL（ディクセル）スズキ アルト フロント ブレーキディスクローター HSタイプ HA22S アルト (TURBO 98/10～04/08)HS3714011,【！！DIXCEL送料無料！！】HS3714011。DIXCEL（ディクセル）スズキ アルト フロント ブレーキディスクローター HSタイプ HA22S アルト (TURBO 98/10～04/08)HS3714011[rn]
16-164659,http://tshop.r10s.jp/parts/cabinet/detail-aa04/aa04-hs.jpg?fitin=700:700,21513.6000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,DIXCEL（ディクセル）ダイハツ ブーン フロント ブレーキディスクローター HSタイプ M312S ブーンX4 (標準ブレーキ車 06/03～)HS3818013,【！！DIXCEL送料無料！！】HS3818013,より高い安定性とより高い制動力、熱処理ローターとスリットローターのメリットを融合して生まれたHSタイプ。ストリートではスリットの効果が得られ低温時から高い摩擦係数を体感でき、サーキットでは比類なき安定性と高温時においても高い摩擦係数を維持します。<br>制動力と安定性を高次元で融合。ストリートからサーキットまであらゆるシチュエーションでパフォーマンスを発揮するディクセルのハイエンドモデルです。※通常商品は6本スリットですが、12本スリット仕様への加工も承ります（加工費税別6000円）。ご注文時にお申し付けください。<br>※スリットローターはパッドの摩耗を早めます。装着の際は左右の向きにご注意下さい。防錆処理・熱処理は一部車種によって異なります。 防錆コーティングは錆の発生を抑制するもので完全に阻止できるものではございません。※必ず当たり付けは行って下さい。<br><br>対応車種：M312S ブーンX4 (標準ブレーキ車 06/03～)<br><br>ブレーキ | ブレーキローター<br>ダイハツ | ブーン | M300系,DIXCEL（ディクセル）ダイハツ ブーン フロント ブレーキディスクローター HSタイプ M312S ブーンX4 (標準ブレーキ車 06/03～)HS3818013：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンDIXCEL（ディクセル）ダイハツ ブーン フロント ブレーキディスクローター HSタイプ M312S ブーンX4 (標準ブレーキ車 06/03～)HS3818013,【！！DIXCEL送料無料！！】HS3818013。DIXCEL（ディクセル）ダイハツ ブーン フロント ブレーキディスクローター HSタイプ M312S ブーンX4 (標準ブレーキ車 06/03～)HS3818013[rn]
16-164660,http://tshop.r10s.jp/parts/cabinet/detail-aa04/aa04-pd.jpg?fitin=700:700,12191.2000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,DIXCEL（ディクセル）三菱 RVR フロント ブレーキディスクローター PDタイプ N11W/13W RVR (ABS付 91/1～97/11)PD3416045,【！！DIXCEL送料無料！！】PD3416045,ディスク面の平行度、ランナウト、厚み変動といった基本的かつ重要な要件を高いレベルで実現。さらに防錆コーティングを導入し錆の発生を抑制し耐食性を向上。ローターの減りが気になる方やパッド交換を検討してる方におすすめ。<br>素材にはブレーキパッドとのミュー特性を考慮し定評のあるFC材を採用。さらにカーボン、シリコン、を始めとする各種添加剤を絶妙に配合し強度、耐熱性耐クラック性を向上。<br>※防錆処理・熱処理は一部車種によって異なります。 防錆コーティングは錆の発生を抑制するもので完全に阻止できるものではございません。<br><br>対応車種：N11W/13W RVR (ABS付 91/1～97/11)<br><br>ブレーキ | ブレーキローター<br>三菱 | RVR | N10W/20W系,DIXCEL（ディクセル）三菱 RVR フロント ブレーキディスクローター PDタイプ N11W/13W RVR (ABS付 91/1～97/11)PD3416045：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンDIXCEL（ディクセル）三菱 RVR フロント ブレーキディスクローター PDタイプ N11W/13W RVR (ABS付 91/1～97/11)PD3416045,【！！DIXCEL送料無料！！】PD3416045。DIXCEL（ディクセル）三菱 RVR フロント ブレーキディスクローター PDタイプ N11W/13W RVR (ABS付 91/1～97/11)PD3416045[rn]
16-164661,http://tshop.r10s.jp/parts/cabinet/detail-aa04/aa04-sd.jpg?fitin=700:700,15776.8000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,DIXCEL（ディクセル）日産 プリメーラ リア ブレーキディスクローター SDタイプ HP10/FHP10 プリメーラ/カミノ ( 90/2～95/9)SD3252633,【！！DIXCEL送料無料！！】SD3252633,スリットのシェービング効果により、パッドから発生するガスや粉をディスク表面より効率よく排出。およそ20％の制動性能が向上し高い食付き感が得られ、タッチも良くなります。<br>スリットの角度、深さなども実践データにより最適化。防錆コーティングを導入し錆の発生を抑制。ブレーキの効きを良くしたい・フィーリングに不満があるという方やワインディングやサーキット走行を楽しむ方にお勧め。※通常商品は6本スリットですが、12本スリット仕様への加工も承ります（加工費税別6000円）。ご注文時にお申し付けください。<br>※スリットローターはパッドの摩耗を早めます。装着の際は左右の向きにご注意下さい。防錆処理・熱処理は一部車種によって異なります。 防錆コーティングは錆の発生を抑制するもので完全に阻止できるものではございません。<br><br>対応車種：HP10/FHP10 プリメーラ/カミノ ( 90/2～95/9)<br><br>ブレーキ | ブレーキローター<br>日産 | プリメーラ | P10系,DIXCEL（ディクセル）日産 プリメーラ リア ブレーキディスクローター SDタイプ HP10/FHP10 プリメーラ/カミノ ( 90/2～95/9)SD3252633：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンDIXCEL（ディクセル）日産 プリメーラ リア ブレーキディスクローター SDタイプ HP10/FHP10 プリメーラ/カミノ ( 90/2～95/9)SD3252633,【！！DIXCEL送料無料！！】SD3252633。DIXCEL（ディクセル）日産 プリメーラ リア ブレーキディスクローター SDタイプ HP10/FHP10 プリメーラ/カミノ ( 90/2～95/9)SD3252633[rn]
16-164662,http://tshop.r10s.jp/parts/cabinet/detail-aa04/aa04-hs.jpg?fitin=700:700,23665.6000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,DIXCEL（ディクセル）トヨタ ハイラックスサーフ フロント ブレーキディスクローター HSタイプ RZN185W ハイラックス サーフ (ワイドボディ 00/08～02/11)HS3118256,【！！DIXCEL送料無料！！】HS3118256,より高い安定性とより高い制動力、熱処理ローターとスリットローターのメリットを融合して生まれたHSタイプ。ストリートではスリットの効果が得られ低温時から高い摩擦係数を体感でき、サーキットでは比類なき安定性と高温時においても高い摩擦係数を維持します。<br>制動力と安定性を高次元で融合。ストリートからサーキットまであらゆるシチュエーションでパフォーマンスを発揮するディクセルのハイエンドモデルです。※通常商品は6本スリットですが、12本スリット仕様への加工も承ります（加工費税別6000円）。ご注文時にお申し付けください。<br>※スリットローターはパッドの摩耗を早めます。装着の際は左右の向きにご注意下さい。防錆処理・熱処理は一部車種によって異なります。 防錆コーティングは錆の発生を抑制するもので完全に阻止できるものではございません。※必ず当たり付けは行って下さい。<br><br>対応車種：RZN185W ハイラックス サーフ (ワイドボディ 00/08～02/11)<br><br>ブレーキ | ブレーキローター<br>トヨタ | ハイラックスサーフ | N180系,DIXCEL（ディクセル）トヨタ ハイラックスサーフ フロント ブレーキディスクローター HSタイプ RZN185W ハイラックス サーフ (ワイドボディ 00/08～02/11)HS3118256：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンDIXCEL（ディクセル）トヨタ ハイラックスサーフ フロント ブレーキディスクローター HSタイプ RZN185W ハイラックス サーフ (ワイドボディ 00/08～02/11)HS3118256,【！！DIXCEL送料無料！！】HS3118256。DIXCEL（ディクセル）トヨタ ハイラックスサーフ フロント ブレーキディスクローター HSタイプ RZN185W ハイラックス サーフ (ワイドボディ 00/08～02/11)HS3118256[rn]
16-164663,http://tshop.r10s.jp/parts/cabinet/detail-aa04/aa04-sd.jpg?fitin=700:700,15776.8000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,DIXCEL（ディクセル）三菱 ミラージュ リア ブレーキディスクローター SDタイプ CK6A ミラージュ ( 95/8～00/08)SD3458098,【！！DIXCEL送料無料！！】SD3458098,スリットのシェービング効果により、パッドから発生するガスや粉をディスク表面より効率よく排出。およそ20％の制動性能が向上し高い食付き感が得られ、タッチも良くなります。<br>スリットの角度、深さなども実践データにより最適化。防錆コーティングを導入し錆の発生を抑制。ブレーキの効きを良くしたい・フィーリングに不満があるという方やワインディングやサーキット走行を楽しむ方にお勧め。※通常商品は6本スリットですが、12本スリット仕様への加工も承ります（加工費税別6000円）。ご注文時にお申し付けください。<br>※スリットローターはパッドの摩耗を早めます。装着の際は左右の向きにご注意下さい。防錆処理・熱処理は一部車種によって異なります。 防錆コーティングは錆の発生を抑制するもので完全に阻止できるものではございません。<br><br>対応車種：CK6A ミラージュ ( 95/8～00/08)<br><br>ブレーキ | ブレーキローター<br>三菱 | ミラージュ | CJ/CK/CM/CL系,DIXCEL（ディクセル）三菱 ミラージュ リア ブレーキディスクローター SDタイプ CK6A ミラージュ ( 95/8～00/08)SD3458098：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンDIXCEL（ディクセル）三菱 ミラージュ リア ブレーキディスクローター SDタイプ CK6A ミラージュ ( 95/8～00/08)SD3458098,【！！DIXCEL送料無料！！】SD3458098。DIXCEL（ディクセル）三菱 ミラージュ リア ブレーキディスクローター SDタイプ CK6A ミラージュ ( 95/8～00/08)SD3458098[rn]
16-164664,http://tshop.r10s.jp/parts/cabinet/detail-aa04/aa04-sd.jpg?fitin=700:700,19362.4000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,DIXCEL（ディクセル）フォード モンデオ リア ブレーキディスクローター SDタイプ 01/05～ フォード モンデオ 2.O/2.5 V6 (WF0CJB/WF0LCB)SD1051131,【！！DIXCEL送料無料！！】SD1051131,スリットのシェービング効果により、パッドから発生するガスや粉をディスク表面より効率よく排出。およそ20％の制動性能が向上し高い食付き感が得られ、タッチも良くなります。<br>スリットの角度、深さなども実践データにより最適化。防錆コーティングを導入し錆の発生を抑制。ブレーキの効きを良くしたい・フィーリングに不満があるという方やワインディングやサーキット走行を楽しむ方にお勧め。※通常商品は6本スリットですが、12本スリット仕様への加工も承ります（加工費税別6000円）。ご注文時にお申し付けください。<br>※スリットローターはパッドの摩耗を早めます。装着の際は左右の向きにご注意下さい。防錆処理・熱処理は一部車種によって異なります。 防錆コーティングは錆の発生を抑制するもので完全に阻止できるものではございません。 <br><br>対応車種：01/05～ フォード モンデオ 2.O/2.5 V6 (WF0CJB/WF0LCB)<br><br>ブレーキ | ブレーキローター<br>フォード | モンデオ | 全モデル,DIXCEL（ディクセル）フォード モンデオ リア ブレーキディスクローター SDタイプ 01/05～ フォード モンデオ 2.O/2.5 V6 (WF0CJB/WF0LCB)SD1051131：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンDIXCEL（ディクセル）フォード モンデオ リア ブレーキディスクローター SDタイプ 01/05～ フォード モンデオ 2.O/2.5 V6 (WF0CJB/WF0LCB)SD1051131,【！！DIXCEL送料無料！！】SD1051131。DIXCEL（ディクセル）フォード モンデオ リア ブレーキディスクローター SDタイプ 01/05～ フォード モンデオ 2.O/2.5 V6 (WF0CJB/WF0LCB)SD1051131[rn]
16-164665,http://tshop.r10s.jp/parts/cabinet/detail-aa04/aa04-sd.jpg?fitin=700:700,18645.6000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,DIXCEL（ディクセル）プジョー 206 フロント ブレーキディスクローター SDタイプ 02/08～ プジョー 206SW 1.6/2.0 FAB番号9079→ (2EKＮFU/2EKRFＮ)SD2111118,【！！DIXCEL送料無料！！】SD2111118,スリットのシェービング効果により、パッドから発生するガスや粉をディスク表面より効率よく排出。およそ20％の制動性能が向上し高い食付き感が得られ、タッチも良くなります。<br>スリットの角度、深さなども実践データにより最適化。防錆コーティングを導入し錆の発生を抑制。ブレーキの効きを良くしたい・フィーリングに不満があるという方やワインディングやサーキット走行を楽しむ方にお勧め。※通常商品は6本スリットですが、12本スリット仕様への加工も承ります（加工費税別6000円）。ご注文時にお申し付けください。<br>※スリットローターはパッドの摩耗を早めます。装着の際は左右の向きにご注意下さい。防錆処理・熱処理は一部車種によって異なります。 防錆コーティングは錆の発生を抑制するもので完全に阻止できるものではございません。 ※純正品はドリルドタイプですが、DIXCELでは前後ともプレーンタイプになります 　　 ※ＦＡＢナンバー/車体番号を確認が必要な場合がございます。注文時は記事欄に車体番号/FAB番号をお知らせください。<br><br>対応車種：02/08～ プジョー 206SW 1.6/2.0 FAB番号9079→ (2EKＮFU/2EKRFＮ)<br><br>ブレーキ | ブレーキローター<br>プジョー | 206 | 全モデル,DIXCEL（ディクセル）プジョー 206 フロント ブレーキディスクローター SDタイプ 02/08～ プジョー 206SW 1.6/2.0 FAB番号9079&rarr; (2EKＮFU/2EKRFＮ)SD2111118：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンDIXCEL（ディクセル）プジョー 206 フロント ブレーキディスクローター SDタイプ 02/08～ プジョー 206SW 1.6/2.0 FAB番号9079&rarr; (2EKＮFU/2EKRFＮ)SD2111118,【！！DIXCEL送料無料！！】SD2111118。DIXCEL（ディクセル）プジョー 206 フロント ブレーキディスクローター SDタイプ 02/08～ プジョー 206SW 1.6/2.0 FAB番号9079&rarr; (2EKＮFU/2EKRFＮ)SD2111118[rn]
16-164666,http://tshop.r10s.jp/parts/cabinet/detail-aa04/aa04-hs.jpg?fitin=700:700,21513.6000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,DIXCEL（ディクセル）マツダ アクセラ リア ブレーキディスクローター HSタイプ BK5P アクセラ (05/11～)HS3553038,【！！DIXCEL送料無料！！】HS3553038,より高い安定性とより高い制動力、熱処理ローターとスリットローターのメリットを融合して生まれたHSタイプ。ストリートではスリットの効果が得られ低温時から高い摩擦係数を体感でき、サーキットでは比類なき安定性と高温時においても高い摩擦係数を維持します。<br>制動力と安定性を高次元で融合。ストリートからサーキットまであらゆるシチュエーションでパフォーマンスを発揮するディクセルのハイエンドモデルです。※通常商品は6本スリットですが、12本スリット仕様への加工も承ります（加工費税別6000円）。ご注文時にお申し付けください。<br>※スリットローターはパッドの摩耗を早めます。装着の際は左右の向きにご注意下さい。防錆処理・熱処理は一部車種によって異なります。 防錆コーティングは錆の発生を抑制するもので完全に阻止できるものではございません。※必ず当たり付けは行って下さい。  ※2009/07更新<br><br>対応車種：BK5P アクセラ  (05/11～)<br><br>ブレーキ | ブレーキローター<br>マツダ | アクセラ | BK3P/BK5P/BKEP,DIXCEL（ディクセル）マツダ アクセラ リア ブレーキディスクローター HSタイプ BK5P アクセラ (05/11～)HS3553038：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンDIXCEL（ディクセル）マツダ アクセラ リア ブレーキディスクローター HSタイプ BK5P アクセラ (05/11～)HS3553038,【！！DIXCEL送料無料！！】HS3553038。DIXCEL（ディクセル）マツダ アクセラ リア ブレーキディスクローター HSタイプ BK5P アクセラ (05/11～)HS3553038[rn]
16-164667,http://tshop.r10s.jp/parts/cabinet/detail-aa04/aa04-pd.jpg?fitin=700:700,12908.8000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,DIXCEL（ディクセル）トヨタ カローラ/スプリンター フロント ブレーキディスクローター PDタイプ AE101 セレス/マリノ (X (エンジン：4A-FE) 92/5～98/4)PD3119149,【！！DIXCEL送料無料！！】PD3119149,ディスク面の平行度、ランナウト、厚み変動といった基本的かつ重要な要件を高いレベルで実現。さらに防錆コーティングを導入し錆の発生を抑制し耐食性を向上。ローターの減りが気になる方やパッド交換を検討してる方におすすめ。<br>素材にはブレーキパッドとのミュー特性を考慮し定評のあるFC材を採用。さらにカーボン、シリコン、を始めとする各種添加剤を絶妙に配合し強度、耐熱性耐クラック性を向上。<br>※防錆処理・熱処理は一部車種によって異なります。 防錆コーティングは錆の発生を抑制するもので完全に阻止できるものではございません。<br><br>対応車種：AE101 セレス/マリノ (X (エンジン：4A-FE) 92/5～98/4)<br><br>ブレーキ | ブレーキローター<br>トヨタ | カローラ/スプリンター | AE/CE/EE100系,DIXCEL（ディクセル）トヨタ カローラ/スプリンター フロント ブレーキディスクローター PDタイプ AE101 セレス/マリノ (X (エンジン：4A-FE) 92/5～98/4)PD3119149：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンDIXCEL（ディクセル）トヨタ カローラ/スプリンター フロント ブレーキディスクローター PDタイプ AE101 セレス/マリノ (X (エンジン：4A-FE) 92/5～98/4)PD3119149,【！！DIXCEL送料無料！！】PD3119149。DIXCEL（ディクセル）トヨタ カローラ/スプリンター フロント ブレーキディスクローター PDタイプ AE101 セレス/マリノ (X (エンジン：4A-FE) 92/5～98/4)PD3119149[rn]
16-164668,http://tshop.r10s.jp/parts/cabinet/detail-aa04/aa04-hs.jpg?fitin=700:700,22231.2000,,車用品・バイク用品 > カー用品 > ブレーキ > ブレーキローター,DIXCEL（ディクセル）トヨタ カローラ/スプリンター フロント ブレーキディスクローター HSタイプ AE91 スプリンタートレノ (エンジン：5AFHE/ABS無 89/5～91/6)HS3112424,【！！DIXCEL送料無料！！】HS3112424,より高い安定性とより高い制動力、熱処理ローターとスリットローターのメリットを融合して生まれたHSタイプ。ストリートではスリットの効果が得られ低温時から高い摩擦係数を体感でき、サーキットでは比類なき安定性と高温時においても高い摩擦係数を維持します。<br>制動力と安定性を高次元で融合。ストリートからサーキットまであらゆるシチュエーションでパフォーマンスを発揮するディクセルのハイエンドモデルです。※通常商品は6本スリットですが、12本スリット仕様への加工も承ります（加工費税別6000円）。ご注文時にお申し付けください。<br>※スリットローターはパッドの摩耗を早めます。装着の際は左右の向きにご注意下さい。防錆処理・熱処理は一部車種によって異なります。 防錆コーティングは錆の発生を抑制するもので完全に阻止できるものではございません。※必ず当たり付けは行って下さい。<br><br>対応車種：AE91 スプリンタートレノ (エンジン：5AFHE/ABS無 89/5～91/6)<br><br>ブレーキ | ブレーキローター<br>トヨタ | カローラ/スプリンター | ～AE90系まで,DIXCEL（ディクセル）トヨタ カローラ/スプリンター フロント ブレーキディスクローター HSタイプ AE91 スプリンタートレノ (エンジン：5AFHE/ABS無 89/5～91/6)HS3112424：ＰＡＲＴＳ,ヘッドライトテールライトコーナーライトサイドマーカーカーボンアンテナドアミラーエアロメーターパネルリップスポイラーウイングホイールカバーペダル車高調ブレーキドライブレコーダーワイパーグリルボンネットローダウンDIXCEL（ディクセル）トヨタ カローラ/スプリンター フロント ブレーキディスクローター HSタイプ AE91 スプリンタートレノ (エンジン：5AFHE/ABS無 89/5～91/6)HS3112424,【！！DIXCEL送料無料！！】HS3112424。DIXCEL（ディクセル）トヨタ カローラ/スプリンター フロント ブレーキディスクローター HSタイプ AE91 スプリンタートレノ (エンジン：5AFHE/ABS無 89/5～91/6)HS3112424[rn]
