28-45901,http://tshop.r10s.jp/takisyo/cabinet/01211869/img56420620.jpg?fitin=700:700,3840.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,マックス野菜結束機おびまる 専用粘着テープTP-129VP　20巻単位,,,マックス野菜結束機おびまる 専用粘着テープTP-129VP　20巻単位：瀧商店,屋外照明農業用品農機具藤棚ぶどう棚パーゴラ園芸用品家庭菜園ミソノ包丁温室バーベキューコンロ温室ハラックスタカショーピカ防草シートザバーン除草剤マックス野菜結束機おびまる 専用粘着テープTP-129VP　20巻単位,マックス野菜結束機おびまる 専用粘着テープTP-129VP　20巻単位[rn]
28-45947,http://tshop.r10s.jp/monju/cabinet/bond/332-5920.jpg?fitin=700:700,1414.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,LOCTITE(ロックタイト)　硬化促進剤 712 (高粘度接着剤用)　ボトル　100ml,,"<center>
<table border=""0"">
  <tr>
    <td align=""left""><font SIZE=""-1"">【特長】</font></td>
  </tr><tr>
    <td align=""left""><font size=""-1"">●高粘度接着剤の硬化促進、白化防止に後塗布としての使用に適した促進剤です</font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">【用途】</font></td>
  </tr><tr>
    <td align=""left""><font size=""-1"">●プリント基板のワイヤ固定</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">●微調整部品の固定</font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">【仕様】</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">●塗布後有効時間：1分</font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">【材質】</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">●主成分：希釈溶剤IPA</font></td>
  </tr>
</table>
</center><br>",LOCTITE(ロックタイト)　硬化促進剤 712 (高粘度接着剤用)　ボトル　100ml：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアLOCTITE(ロックタイト)　硬化促進剤 712 (高粘度接着剤用)　ボトル　100ml,LOCTITE(ロックタイト)　硬化促進剤 712 (高粘度接着剤用)　ボトル　100ml[rn]
28-45948,http://tshop.r10s.jp/monju/cabinet/bond/293-0765.jpg?fitin=700:700,1414.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,LOCTITE(ロックタイト)　硬化促進剤 7452(白化防止用)　ボトル　100ml,,"<center>
<table border=""0"">
  <tr>
    <td align=""left""><font SIZE=""-1"">【特長】</font></td>
  </tr><tr>
    <td align=""left""><font size=""-1"">●瞬間接着剤用の硬化を促進、白化防止に適します</font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">【用途】</font></td>
  </tr><tr>
    <td align=""left""><font size=""-1"">●瞬間接着剤の表面硬化を瞬時に行いたいときプリント基板のワイヤ固定</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">●プリント基板のリード線、配線の固定、微調整部品の保持</font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">【仕様】</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">●塗布後有効時間：1分</font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">【材質】</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">●主成分：希釈溶剤アセトン</font></td>
  </tr>
</table>
</center><br>",LOCTITE(ロックタイト)　硬化促進剤 7452(白化防止用)　ボトル　100ml：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアLOCTITE(ロックタイト)　硬化促進剤 7452(白化防止用)　ボトル　100ml,LOCTITE(ロックタイト)　硬化促進剤 7452(白化防止用)　ボトル　100ml[rn]
28-45949,http://tshop.r10s.jp/monju/cabinet/bond/336-8386.jpg?fitin=700:700,2264.8000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,セメダイン樹脂接着用プライマー　PP-7F（下地処理剤）　220ml,,"<center>
<TABLE border=""0"">
  <TR>
    <TD><B><FONT size=""-1"">&lt;特長&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●PP樹脂への接着性を改善する下地処理剤です</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD><B><FONT size=""-1"">&lt;用途&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●自動車、電機、建材等のポリプロピレン樹脂部品の接着</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD rowspan=""3""><B><FONT size=""-1"">&lt;仕様&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●適用接着剤：スーパーX、EP001、No.575Fなど</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●ポリプロピレン対応</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●色：透明</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD><FONT size=""-1""><B>&lt;材質&gt;</B></FONT></TD>
    <TD><FONT size=""-1"">●主成分：ポリオレフィン樹脂</FONT></TD>
  </TR></TABLE></center><br>",セメダイン樹脂接着用プライマー　PP-7F（下地処理剤）　220ml：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアセメダイン樹脂接着用プライマー　PP-7F（下地処理剤）　220ml,セメダイン樹脂接着用プライマー　PP-7F（下地処理剤）　220ml[rn]
28-45950,http://tshop.r10s.jp/monju/cabinet/bond/215-0905.jpg?fitin=700:700,1414.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,LOCTITE(ロックタイト)　硬化促進剤 7649　嫌気性接着剤用　ボトル　100ml,,"★特徴★<BR>
●嫌気性接着剤やシール剤の硬化速度を促進します<BR>●材料費の節減、工数の削減、作業時間の短縮<BR>
●メッキ面や金、銀、アルマイトなど不活性面を接着したい場合<BR>
●硬化を速めたい場合<BR>
●すき間が大きい場合<BR>
●15℃以下で硬化させる場合<BR>
<BR>
★仕様★<BR>
●塗布後有効時間:30日<BR>
●容器:ボトル<BR>
●色:緑<BR>
●容量(ml):100<BR>
●質量(g):180<BR>
●主成分:希釈溶剤アセトン<br>",LOCTITE(ロックタイト)　硬化促進剤 7649　嫌気性接着剤用　ボトル　100ml：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアLOCTITE(ロックタイト)　硬化促進剤 7649　嫌気性接着剤用　ボトル　100ml,LOCTITE(ロックタイト)　硬化促進剤 7649　嫌気性接着剤用　ボトル　100ml[rn]
28-45951,http://tshop.r10s.jp/monju/cabinet/bond/293-0676.jpg?fitin=700:700,1571.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,LOCTITE(ロックタイト)　硬化促進剤 770(難接着材用)　100ml　38497,,"<center>
<table border=""0"">
  <tr>
    <td align=""left""><font SIZE=""-1"">【特長】</font></td>
  </tr><tr>
    <td align=""left""><font size=""-1"">●瞬間接着剤用の難接着に適した促進剤です</font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">【用途】</font></td>
  </tr><tr>
    <td align=""left""><font size=""-1"">●難接着(ポリプロピレン、ポリエチレン、シリコーンゴムなど)とされている材料の接着</font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">【仕様】</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">●塗布後有効時間：8時間</font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">【材質】</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">●主成分：希釈溶剤ヘプタン</font></td>
  </tr>
</table>
</center><br>",LOCTITE(ロックタイト)　硬化促進剤 770(難接着材用)　100ml　38497：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアLOCTITE(ロックタイト)　硬化促進剤 770(難接着材用)　100ml　38497,LOCTITE(ロックタイト)　硬化促進剤 770(難接着材用)　100ml　38497[rn]
28-45952,http://tshop.r10s.jp/monju/cabinet/bond/332-5911.jpg?fitin=700:700,3534.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,LOCTITE(ロックタイト)　硬化促進剤 7109(プラスチック用)　スプレー　55ml,,"<center>
<table border=""0"">
  <tr>
    <td align=""left""><font SIZE=""-1"">【特長】</font></td>
  </tr><tr>
    <td align=""left""><font size=""-1"">●手軽に使えるスプレータイプの瞬間接着剤用促進剤です</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">●高粘度接着剤の硬化促進、白化防止が可能です</font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">【用途】</font></td>
  </tr><tr>
    <td align=""left""><font size=""-1"">●婦活性材質表面で硬化させたり、活性材質表面での硬化速度を上げる、面接着における硬化促進</font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">【仕様】</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">●塗布後有効時間：1分</font></td>
  </tr><tr>
    <td align=""left"">　</td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">【材質】</font></td>
  </tr><tr>
    <td align=""left""><font SIZE=""-1"">●主成分：希釈溶剤パーフロロカーボン</font></td>
  </tr>
</table>
</center><br>",LOCTITE(ロックタイト)　硬化促進剤 7109(プラスチック用)　スプレー　55ml：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアLOCTITE(ロックタイト)　硬化促進剤 7109(プラスチック用)　スプレー　55ml,LOCTITE(ロックタイト)　硬化促進剤 7109(プラスチック用)　スプレー　55ml[rn]
28-45953,http://tshop.r10s.jp/monju/cabinet/one_item/img60582670.jpg?fitin=700:700,5498.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,LOCTITE(ロックタイト)　紫外線可視光硬化型接着剤　4304　28G,,"＜用途＞<br>
●非常に迅速な接着や、はみ出し部、又は表面への硬化が必要な箇所に。<br>
●ゴムと金属、プラスチック部品の接着に<br>
<p>
＜特徴＞<br>
●紫外線・可視光・湿気硬化付加です。<br>
●一液性 混合不要です。<br>
●ISO-10993生物学的適合性テスト・プログラムに適合していますので、医療用器具の組み立てに使用することができます。<br>
●無白化対応です。<br>
<p>
＜仕様＞<br>
●表面硬化時間:1秒<br>
●粘度:10～35mPa・s<br>
●低粘度型<br>
●硬度（HdD）:72<br>
●色:薄黄緑-濃青緑<br>
●容量(g):28<br>
<P>
＜注意事項＞<br>
●紫外線照射装置、LED照射装置にて硬化可能です。<br>",LOCTITE(ロックタイト)　紫外線可視光硬化型接着剤　4304　28G：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアLOCTITE(ロックタイト)　紫外線可視光硬化型接着剤　4304　28G,LOCTITE(ロックタイト)　紫外線可視光硬化型接着剤　4304　28G[rn]
28-45954,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0065754670.jpg?fitin=700:700,248.8000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,コニシボンド　雨どい用ボンド　100G,,"★特徴★<br>
●中粘度の速乾タイプです。<br>
●塗布性に優れています。<br>
●塩化ビニル製の雨どい・パイプ・波板の接着と補修に。<br>
<br>
★仕様★<br>
●色:透明<br>
●容量(g):100<br>
●質量(ｇ):133<br>
●主成分：塩化ビニル樹脂系<br>",コニシボンド　雨どい用ボンド　100G：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアコニシボンド　雨どい用ボンド　100G,コニシボンド　雨どい用ボンド　100G[rn]
28-45955,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0065707235.jpg?fitin=700:700,1814.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,ThreeBond(スリーボンド)　一液湿気硬化型弾性接着剤　黒色　150ml,,"★特徴★<br>
●弾性接着剤のため、はく離性と振動・衝撃などの応力緩和性が良好、異種材の接着性も良好です。<br>
●難接着材にも使える万能接着剤です。<br>
●無溶剤で臭気も少なく、環境に優しい製品です。<br>●シリコーンゴム、硬質塩ビ、EPDMなどの難接着材の接着。<br>
●金属、プラスチック、ゴム、木材、無機質材などの接着。<br>
<br>
★仕様★<br>
●容器:チューブ<br>
●容量(ml):150<br>
●硬化時間:7分<br>
●色:黒色<br>
●質量(g):180<br>
●主成分:シリル基含有特殊ポリマー<br>",ThreeBond(スリーボンド)　一液湿気硬化型弾性接着剤　黒色　150ml：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアThreeBond(スリーボンド)　一液湿気硬化型弾性接着剤　黒色　150ml,ThreeBond(スリーボンド)　一液湿気硬化型弾性接着剤　黒色　150ml[rn]
28-45956,http://tshop.r10s.jp/monju/cabinet/trusco_01/imgrc0065707236.jpg?fitin=700:700,1817.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,ThreeBond(スリーボンド)　一液湿気硬化型弾性接着剤TB1530C-150　透明　150ml,,"★特徴★<br>
●弾性接着剤のため、はく離性と振動・衝撃などの応力緩和性が良好、異種材の接着性も良好です。<br>
●難接着材にも使える万能接着剤です。<br>
●無溶剤で臭気も少なく、環境に優しい製品です。<br>●シリコーンゴム、硬質塩ビ、EPDMなどの難接着材の接着。<br>
●金属、プラスチック、ゴム、木材、無機質材などの接着。<br>
<br>
★仕様★<br>
●容器:チューブ<br>
●容量(ml):150<br>
●硬化時間:7分<br>
●色:透明<br>
●質量(g):189<br>
●主成分:シリル基含有特殊ポリマー<br>",ThreeBond(スリーボンド)　一液湿気硬化型弾性接着剤TB1530C-150　透明　150ml：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアThreeBond(スリーボンド)　一液湿気硬化型弾性接着剤TB1530C-150　透明　150ml,ThreeBond(スリーボンド)　一液湿気硬化型弾性接着剤TB1530C-150　透明　150ml[rn]
28-45957,http://tshop.r10s.jp/monju/cabinet/one_item/img60580764.jpg?fitin=700:700,10577.6000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 粘着テープ,LOCTITE(ロックタイト)　ねじ部品用嫌気性接着剤　272-250　赤色　250ml,,"<center>
<TABLE border=""0"">
  <TR>
    <TD colspan=""2"" align=""center""><img src=""http://image.rakuten.co.jp/monju/cabinet/bond/121-1731-03.jpg""></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD rowspan=""2""><B><FONT size=""-1"">&lt;特長&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●ねじや軸などの金属部品のすき間に入り空気が遮断されると硬化します<BR>
    　(空気にふれているときは硬化しません)</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●1液性のため作業の簡略化や時間の短縮など作業性の能率が図れると<BR>
    　同時に大幅なコストダウンにも貢献します</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD rowspan=""3""><B><FONT size=""-1"">&lt;用途&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●ねじゆるみ止め・シール</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●永久固定(耐熱用(230℃)ねじ用)</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●耐熱を要求されるM36以下のスタッドボルトやボルトの固定シールに適します</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD rowspan=""2""><B><FONT size=""-1"">&lt;仕様&gt;</FONT></B></TD>
    <TD><FONT size=""-1"">●嫌気性</FONT></TD>
  </TR><TR>
    <TD><FONT size=""-1"">●色：赤</FONT></TD>
  </TR><TR>
    <TD></TD>
    <TD>　</TD>
  </TR><TR>
    <TD><FONT size=""-1""><B>&lt;材質&gt;</B></FONT></TD>
    <TD><FONT size=""-1"">●主成分：合成樹脂</FONT></TD>
  </TR></TABLE></center><br>",LOCTITE(ロックタイト)　ねじ部品用嫌気性接着剤　272-250　赤色　250ml：工具のお店　モンジュＳＨＯＰ,TONE（トネ）PROXXON(プロクソン)アーテック（ARTEC)夏休みの工作ホーザン　HOZANジェフコム圧着工具工具箱電気工事士ロブテックスMCCKTCOLFAはんだごて電気工事士技能試験ベッセル工具ANEX（兼古製作所）シリコンエンジニアLOCTITE(ロックタイト)　ねじ部品用嫌気性接着剤　272-250　赤色　250ml,LOCTITE(ロックタイト)　ねじ部品用嫌気性接着剤　272-250　赤色　250ml[rn]
