20-139901,http://tshop.r10s.jp/tuzukiya/cabinet/r04/r04-0115.jpg?fitin=700:700,2376.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,ロブテックス ポケットモンキー   UM48SB,,"●Short & Wide のイキなやつ。<br>
●ＵＭ48Ｓは二面幅４８mmまでOK!<br>
●ポケットインの手のひらサイズで込み入った狭い空間での作業に最適。<br>
●手のひらサイズのショートタイプモンキレンチで、軽く、薄く、口開きワイドでスケルトングリップ。おまけにうれしいメモリ付の便利な逸品。<br>
◆仕様<br>
口開きS(mm)：0～48<br>
ボルト・ナット最大寸法：M30<br>
L(mm)：185<br>
a(mm)：8<br>
b(mm)：16.5<br>
重量(g)：440<br>
※品番の末尾はグリップカラーを表示しています。<br>
B(ブルー)<br>",ロブテックス ポケットモンキー   UM48SB：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドロブテックス ポケットモンキー   UM48SB,【ポイント2倍】【在庫限り処分品】。ロブテックス ポケットモンキー   UM48SB[rn]
20-139934,http://tshop.r10s.jp/mutsuura/cabinet/00793723/img55635413.jpg?fitin=700:700,1496.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,ショートエコワイド　HY-26S　トップ工業(TOP)【あす楽対応】,,"※画像は代表イメージです。<br>
★発送日目安：営業日15時迄のご注文で即日発送<br>
★当店在庫品",ショートエコワイド　HY-26S　トップ工業(TOP)【あす楽対応】：工具屋のプロ 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得東日　トルクレンチKTC圧着工具折りたたみコンテナ電気工事士 技能試験セット 消火器 家庭用コーケン　工具圧着ペンチドライバーロックタイトマキタ　makitaHOZAN　ホーザン砂時計ユタカメイク土壌酸度計ベルトポーチモンキーレンチツールバッグガーデニング用品リョービ　RYOBIショートエコワイド　HY-26S　トップ工業(TOP)【あす楽対応】,&amp;#8203;。ショートエコワイド　HY-26S　トップ工業(TOP)【あす楽対応】[rn]
20-139935,http://tshop.r10s.jp/mutsuura/cabinet/00793723/img55635411.jpg?fitin=700:700,1784.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,ハイパーレンチ　HM-200TBS(目盛付)　トップ工業(TOP)【あす楽対応】,,"●呼び寸法 150mm、最大口開 24mm<br>
●目盛付(二面幅が分かりやすい)<br>
●呼び寸法に対しひとクラス上の口開き<br>
●口開きの再調整不要。スパナ感覚で使えます。<br>
●口開き平行だから、両方向で使えます。<br>",ハイパーレンチ　HM-200TBS(目盛付)　トップ工業(TOP)【あす楽対応】：工具屋のプロ 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得東日　トルクレンチKTC圧着工具折りたたみコンテナ電気工事士 技能試験セット 消火器 家庭用コーケン　工具圧着ペンチドライバーロックタイトマキタ　makitaHOZAN　ホーザン砂時計ユタカメイク土壌酸度計ベルトポーチモンキーレンチツールバッグガーデニング用品リョービ　RYOBIハイパーレンチ　HM-200TBS(目盛付)　トップ工業(TOP)【あす楽対応】,&amp;#8203;。ハイパーレンチ　HM-200TBS(目盛付)　トップ工業(TOP)【あす楽対応】[rn]
20-139936,http://tshop.r10s.jp/kys/cabinet/tone01/gbhw-25.jpg?fitin=700:700,411.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,TONE トネ グリップヘキサゴンレンチ GBHW-05,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●ＴＯＮＥ（株）<br>
<br>
【特長】<br>
●T形樹脂グリップです。<br>
●グリップ部にはすべり止め処理を施しています。<br>
●5～10mmのサイズにはグリップの端に同サイズの六角棒を配置しています。<br>
<br>
【仕様】<br>
●全長(mm):158<br>
●全幅(mm):91<br>
●対辺寸法(mm):5.0<br>
●軸長(mm):81<br>
●質量(g):80<br>
●T形樹脂グリップ<br>
<br>
【原産国】<br>
●日本<br>
<br>
【質量】<br>
●80G</p>",TONE トネ グリップヘキサゴンレンチ GBHW-05：KanamonoYaSan  ＫＹＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSTONE トネ グリップヘキサゴンレンチ GBHW-05,TONE トネ グリップヘキサゴンレンチ GBHW-05[rn]
20-139937,http://tshop.r10s.jp/kys/cabinet/asahi01/aw1600.jpg?fitin=700:700,777.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,アサヒ ASH AW六角棒レンチ AW1600,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●旭金属工業（株）<br>
<br>
【仕様】<br>
●対辺寸法(mm):16<br>
●首下寸法(mm):63<br>
●全長(mm):160<br>
●硬度:HRC50～54<br>
●質量(g):400<br>
●材質:クロムバナジウム鋼<br>
●表面処理:カチオン電着塗装</p>",アサヒ ASH AW六角棒レンチ AW1600：KanamonoYaSan  ＫＹＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSアサヒ ASH AW六角棒レンチ AW1600,アサヒ ASH AW六角棒レンチ AW1600[rn]
20-139938,http://tshop.r10s.jp/kys/cabinet/ts-40/t010005859669.jpg?fitin=700:700,414.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,TRUSCO T型ハンドルボールポイントレンチ 3.0mm TTB-30,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●トラスコ中山（株）<br>
<br>
【特長】<br>
●Tハンドル形の2ポイント締めタイプです。<br>
●ボールポイント部は片角25°まで傾斜させて作業ができますので、手の届きにくい狭い場所で威力を発揮します。<br>
●硬度はHRC55～60です。<br>
<br>
<br>
<br>
【仕様】<br>
●対辺寸法(mm):3.0<br>
●全長(mm):153<br>
●全幅(mm):80<br>
●軸長(mm):107<br>
●C(mm):14<br>
●ハンドル長さ(mm):80<br>
<br>
【材質・仕上げ】<br>
●クロムバナジウム鋼<br>
<br>
【質量】<br>
●30G</p>",TRUSCO T型ハンドルボールポイントレンチ 3.0mm TTB-30：KanamonoYaSan  ＫＹＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSTRUSCO T型ハンドルボールポイントレンチ 3.0mm TTB-30,【代表画像 色/サイズ等注意】。TRUSCO T型ハンドルボールポイントレンチ 3.0mm TTB-30[rn]
20-139939,http://tshop.r10s.jp/kys/cabinet/tone01/bsb-02s.jpg?fitin=700:700,536.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,TONE トネ 首下ショートボールポイントL形レンチ(インチサイズ) BSB-10S,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●ＴＯＮＥ（株）<br>
<br>
【特長】<br>
●高トルク、耐久力、耐摩耗性を高める特殊合金鋼を採用しています。<br>
●高度な熱処理と硬質クロムメッキ処理により、六角部の摩耗を防ぎ、高強度でありながら靭性（破断しにくい）を高め、確実な作業と安全性を向上させました。<br>
●ボールポイント加工で、斜め作業の早回し、仮締めが可能です。<br>
●材質は、特殊合金鋼（MASTER TOOL）です。<br>
<br>
【用途】<br>
●六角穴付きボルト・ねじの締付け、緩め作業用。<br>
<br>
【仕様】<br>
●首下寸法(mm):16<br>
●全長(mm):112<br>
●対辺寸法(インチ):5/16<br>
●質量(g):70<br>
<br>
【材質・仕上げ】<br>
●特殊合金鋼（MASTER TOOL）<br>
<br>
【注意】<br>
●ボールポイント部は細くなっています。力の入れ過ぎに注意してください。<br>
<br>
【原産国】<br>
●日本<br>
<br>
【質量】<br>
●70G</p>",TONE トネ 首下ショートボールポイントL形レンチ(インチサイズ) BSB-10S：KanamonoYaSan  ＫＹＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSTONE トネ 首下ショートボールポイントL形レンチ(インチサイズ) BSB-10S,TONE トネ 首下ショートボールポイントL形レンチ(インチサイズ) BSB-10S[rn]
20-139940,http://tshop.r10s.jp/kys/cabinet/ts-11/t010002867269.jpg?fitin=700:700,420.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,ワイズ ボールポイントT型レンチ3mm 620-30,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●（株）若穂囲製作所<br>
<br>
【特長】<br>
●ボールポイント部は応力分散の特許加工により、折れにくく、強いトルクで締められます。<br>
●硬度はHRC59±1です。<br>
<br>
【用途】<br>
●早回しと最後の締め付けが同時にでき作業性が非常に上る。<br>
<br>
【仕様】<br>
●対辺寸法(mm):3.0<br>
●全長(mm):190<br>
●全幅(mm):70<br>
●軸長(mm):48<br>
●ハンドル長さ(mm):70<br>
●硬度:HRC59±1<br>
<br>
【質量】<br>
●70G</p>",ワイズ ボールポイントT型レンチ3mm 620-30：KanamonoYaSan  ＫＹＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSワイズ ボールポイントT型レンチ3mm 620-30,【代表画像 色/サイズ等注意】。ワイズ ボールポイントT型レンチ3mm 620-30[rn]
20-139941,http://tshop.r10s.jp/kys/cabinet/ts-16/t010003824127.jpg?fitin=700:700,484.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,TONE グリップボールポイントヘキサゴンレンチ 5mm GBHW-05,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●ＴＯＮＥ（株）<br>
<br>
【特長】<br>
●T形樹脂グリップです。<br>
●グリップ部にはすべり止め処理を施しています。<br>
●5～10mmのサイズにはグリップの端に同サイズの六角棒を配置しています。<br>
<br>
<br>
<br>
【仕様】<br>
●対辺寸法(mm):5.0<br>
●全長(mm):158<br>
●全幅(mm):91<br>
●軸長(mm):81<br>
●T形樹脂グリップ<br>
<br>
【質量】<br>
●80G</p>",TONE グリップボールポイントヘキサゴンレンチ 5mm GBHW-05：KanamonoYaSan  ＫＹＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSTONE グリップボールポイントヘキサゴンレンチ 5mm GBHW-05,【代表画像 色/サイズ等注意】。TONE グリップボールポイントヘキサゴンレンチ 5mm GBHW-05[rn]
20-139942,http://tshop.r10s.jp/kys/cabinet/ts-37/t010005776968.jpg?fitin=700:700,1169.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,PBスイスツールズ クロスハンドル六角棒ドライバー(ロング) 207L-3,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●ＰＢスイスツールズ社<br>
<br>
【特長】<br>
●手の中に収まるグリップは、手にフィットする形状で、狭い場所でトルクをかけたい時に最適です。<br>
●207L-3のグリップエンドには早回しに便利な軸を設け、指先で回すことができます。※グリップの穴にパイプ等を入れて回さないでください。<br>
<br>
<br>
<br>
【仕様】<br>
●対辺寸法(mm):3<br>
●全長(mm):140<br>
●軸長(mm):100<br>
●適合キャップスクリュー:M4<br>
●適合セットスクリュー:M6<br>
<br>
【材質・仕上げ】<br>
●ブレード：クロムバナジウム鋼、ハンドル：ポリプロピレン<br>
<br>
【質量】<br>
●20G</p>",PBスイスツールズ クロスハンドル六角棒ドライバー(ロング) 207L-3：KanamonoYaSan  ＫＹＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSPBスイスツールズ クロスハンドル六角棒ドライバー(ロング) 207L-3,PBスイスツールズ クロスハンドル六角棒ドライバー(ロング) 207L-3[rn]
20-139943,http://tshop.r10s.jp/kys/cabinet/ts-34/t010005476374.jpg?fitin=700:700,473.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,Wera 950PKL ヘックスキー 6.0 022062,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●Ｗｅｒａ社<br>
<br>
【特長】<br>
●Wera独自のHex-Plusと呼ばれる面接触構造により、六角ねじ穴の内側を傷めず、ねじの長寿命化に貢献します。<br>
●高いトルク伝達率により作業効率もアップします。<br>
<br>
<br>
<br>
【仕様】<br>
●対辺寸法(mm):6.0<br>
●首下寸法(mm):32<br>
●全長(mm):180<br>
<br>
【注意】<br>
●対辺１．５サイズは通常の六角棒レンチです。Hex-Plus仕様ではありません。<br>
●ボール部では本締めできません。<br>
<br>
【質量】<br>
●48.7G</p>",Wera 950PKL ヘックスキー 6.0 022062：KanamonoYaSan  ＫＹＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSWera 950PKL ヘックスキー 6.0 022062,【代表画像 色/サイズ等注意】。Wera 950PKL ヘックスキー 6.0 022062[rn]
20-139944,http://tshop.r10s.jp/kys/cabinet/ts-39/t010005847296.jpg?fitin=700:700,46.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,TRUSCO 六角棒レンチ(ショートタイプ) 0.89mm TRRS-0.89,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●トラスコ中山（株）<br>
<br>
【特長】<br>
●ミリサイズの極小レンチです。<br>
●表面は黒染め処理をしています。<br>
<br>
【用途】<br>
●組み立て保守作業等に最適です。<br>
<br>
【仕様】<br>
●対辺寸法(mm):0.89<br>
●首下寸法(mm):10<br>
●全長(mm):38<br>
●表面処理:黒染め<br>
<br>
【材質・仕上げ】<br>
●クロムバナジウム鋼（Cr-V）<br>
<br>
【質量】<br>
●0.27G</p>",TRUSCO 六角棒レンチ(ショートタイプ) 0.89mm TRRS-0.89：KanamonoYaSan  ＫＹＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSTRUSCO 六角棒レンチ(ショートタイプ) 0.89mm TRRS-0.89,【代表画像 色/サイズ等注意】。TRUSCO 六角棒レンチ(ショートタイプ) 0.89mm TRRS-0.89[rn]
20-139945,http://tshop.r10s.jp/kys/cabinet/handtool03/kik-212zl-1-16sb.jpg?fitin=700:700,776.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,PBスイスツールズ 212ZL-1/16SB ボール付レインボーレンチ (ロング) 水色,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p><font color=""#ff0000"">※画像はイメージになります、商品説明をご確認下さい。</font></p><p>【特長】<br>●PBレインボーレンチはそれぞれのカラーにより使用寸法を一目で判別できるようにしました。また、特殊パウダーコートにより、耐錆性があります。<br>●エッジは軽く隅取りしてあり、レンチをたやすくネジ穴に差し込むことができます。<br>●レンチには5桁の生産番号が記されており、この番号で原料段階の製造過程まで遡ることができます。<br>●硬度はHRC59と大変高く、しかも強靭に作られているので、耐摩擦性、持久性に優れ、高トルクをかけることができます。<br>●精密に作られたボールポイントで角度のついたところのネジを回すことが可能です。（斜め30°の角度までOK）<br><br>【仕様】<br>●サイズ(インチ)：1/16<br>●レンチのキーの内側の長さ(mm)：15<br>●レンチのハンドルの内側の長さ(mm)：80<br>●質量(g)：2<br>●適合キャップスクリュー：-<br>●適合セットスクリュー：1/8<br><br>※ボール部では本締めできません。</p>",PBスイスツールズ 212ZL-1/16SB ボール付レインボーレンチ (ロング) 水色：KanamonoYaSan  ＫＹＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSPBスイスツールズ 212ZL-1/16SB ボール付レインボーレンチ (ロング) 水色,PBスイスツールズ 212ZL-1/16SB ボール付レインボーレンチ (ロング) 水色[rn]
20-139946,http://tshop.r10s.jp/kys/cabinet/ts-15/t010003496262.jpg?fitin=700:700,4626.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,ASH ロングボールポイント六角棒レンチ19mm AQ1900,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●旭金属工業（株）<br>
<br>
【特長】<br>
●先端のボールポイント加工により最大25°の角度からねじをまわすことができます。<br>
●硬度：HRC55～59<br>
●六角棒の先端平面角は、各辺均等に面取りを行っていますので、六角穴へ差込が容易となっています。<br>
<br>
<br>
<br>
【仕様】<br>
●対辺寸法(mm):19<br>
●首下寸法(mm):70<br>
●全長(mm):360<br>
●硬度:HRC54～58<br>
<br>
【材質・仕上げ】<br>
●超強力合金鋼<br>
●表面処理:ニッケルクロムメッキ<br>
<br>
【質量】<br>
●1055G</p>",ASH ロングボールポイント六角棒レンチ19mm AQ1900：KanamonoYaSan  ＫＹＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSASH ロングボールポイント六角棒レンチ19mm AQ1900,【代表画像 色/サイズ等注意】。ASH ロングボールポイント六角棒レンチ19mm AQ1900[rn]
20-139947,http://tshop.r10s.jp/kys/cabinet/ts-37/t010005777280.jpg?fitin=700:700,4636.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,PBスイスツールズ クロスハンドル六角棒ドライバー(ロング) 207LT-10,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●ＰＢスイスツールズ社<br>
<br>
【特長】<br>
●手の中に収まるグリップは、手にフィットする形状で、狭い場所でトルクをかけたい時に最適です。<br>
●軸部には早回し用のカラーを装備しています。<br>
●207LT-3のグリップエンドには早回しに便利な軸を設け、指先で回すことができます。※グリップの穴にパイプ等を入れて回さないでください。<br>
<br>
<br>
<br>
【仕様】<br>
●対辺寸法(mm):10<br>
●全長(mm):245<br>
●軸長(mm):200<br>
●適合キャップスクリュー:M12<br>
●適合セットスクリュー:M18-20<br>
<br>
【材質・仕上げ】<br>
●ブレード：クロムバナジウム鋼、ハンドル：ポリプロピレン<br>
<br>
【質量】<br>
●208G</p>",PBスイスツールズ クロスハンドル六角棒ドライバー(ロング) 207LT-10：KanamonoYaSan  ＫＹＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSPBスイスツールズ クロスハンドル六角棒ドライバー(ロング) 207LT-10,【代表画像 色/サイズ等注意】。PBスイスツールズ クロスハンドル六角棒ドライバー(ロング) 207LT-10[rn]
20-139948,http://tshop.r10s.jp/kys/cabinet/ts-20/t010004383000.jpg?fitin=700:700,102.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,TRUSCO ボールポイント六角棒レンチ ショートタイプ 4.5mm TBRS-45,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●トラスコ中山（株）<br>
<br>
【特長】<br>
●ホルダが回転でき、各サイズの六角棒レンチの出し入れがしやすいです。<br>
●表面処理は黒染め加工です。<br>
●硬度はHRC50～58です。<br>
<br>
<br>
<br>
【仕様】<br>
●対辺寸法(mm):4.5<br>
●首下寸法(mm):26<br>
●全長(mm):75<br>
●表面処理:黒染め<br>
<br>
【材質・仕上げ】<br>
●クロムバナジウム鋼（Cr-V）<br>
<br>
【質量】<br>
●14.1G</p>",TRUSCO ボールポイント六角棒レンチ ショートタイプ 4.5mm TBRS-45：KanamonoYaSan  ＫＹＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSTRUSCO ボールポイント六角棒レンチ ショートタイプ 4.5mm TBRS-45,【代表画像 色/サイズ等注意】。TRUSCO ボールポイント六角棒レンチ ショートタイプ 4.5mm TBRS-45[rn]
20-139949,http://tshop.r10s.jp/kys/cabinet/ts-21/t010004395748.jpg?fitin=700:700,1466.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,スーパー エクストラロングボールポイント六角棒レンチ(7本組)1.5~6mm HKXB7S,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●（株）スーパーツール<br>
<br>
【特長】<br>
●高トルク、高靱性、優れた耐久性・耐摩耗性・耐食性で高品質です。<br>
●ボールポイントにより、最大約２５゜まで傾けられます。<br>
●ロングサイズです。<br>
●硬度はHRC55～60です。<br>
●材質は、SNCM・Vです。<br>
●マットクロムメッキです。<br>
●エクストラロングサイズです。<br>
●硬度はHRC55～60です。<br>
●材質は、SNCM・Vです。<br>
●マットクロムメッキです。<br>
<br>
【用途】<br>
●各種六角穴付ボルトの締付け作業に。<br>
<br>
【仕様】<br>
●セット内容(本):7<br>
●セット内容:HKX1.5、2、HKXB2.5、3、4、5、6<br>
●二面幅寸法(mm):1.5、2、2.5、3、4、5、6<br>
<br>
【材質・仕上げ】<br>
●SNCM・V<br>
●マットクロムメッキ<br>
<br>
【セット内容・付属品】<br>
●ホルダ<br>
<br>
【注意】<br>
●1.5・2ｍｍのサイズは、通常の六角です。<br>
<br>
【1注文あたり入数】<br>
●7本<br>
<br>
【質量】<br>
●122G</p>",スーパー エクストラロングボールポイント六角棒レンチ(7本組)1.5~6mm HKXB7S：KanamonoYaSan  ＫＹＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSスーパー エクストラロングボールポイント六角棒レンチ(7本組)1.5~6mm HKXB7S,スーパー エクストラロングボールポイント六角棒レンチ(7本組)1.5~6mm HKXB7S[rn]
20-139950,http://tshop.r10s.jp/kys/cabinet/handtool03/kik-212l-1-5ti-1161.jpg?fitin=700:700,2360.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,PBスイスツールズ 212L-1.5TI チタン製ボール付ロング六角棒レンチ,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p><font color=""#ff0000"">※画像はイメージになります、商品説明をご確認下さい。</font></p><p>【特長】<br>●軽量で耐食性・非磁性・剛性に優れたチタン製六角棒レンチ。<br>●硬度は最高40HRC。<br>●ボールポイントでネジ回し可能。（斜め30°の角度までOK）<br><br>【仕様】<br>●サイズ(mm)：1.5<br>●レンチのキーの内側の長さ(mm)：14<br>●レンチのハンドルの内側の長さ(mm)：80<br>●質量(g)：3<br>●適合キャップスクリュー：M1.6-2<br>●適合セットスクリュー：M3<br><br>※ボールポイント部では本締めできません。</p>",PBスイスツールズ 212L-1.5TI チタン製ボール付ロング六角棒レンチ：KanamonoYaSan  ＫＹＳ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSPBスイスツールズ 212L-1.5TI チタン製ボール付ロング六角棒レンチ,PBスイスツールズ 212L-1.5TI チタン製ボール付ロング六角棒レンチ[rn]
